year,film,person,is_winner,raw_text,source_url
1995,K.K. Singh,Krantiveer,False,1995 | K.K. Singh | Krantiveer,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
1996,Ashok Kaul,Param Vir Chakra,False,1996 | Ashok Kaul | Param Vir Chakra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
1997,Gulzar,Maachis,False,1997 | Gulzar | Maachis [ 1 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
1998,Kamal Haasan,Virasat,False,1998 | Kamal Haasan | Virasat,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
1999,Mahesh Bhatt,Zakhm,False,1999 | Mahesh Bhatt | Zakhm,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2000,John Matthew Matthan,Sarfarosh,False,2000 | John Matthew Matthan | Sarfarosh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2001,Mahesh Manjrekar,Astitva,False,2001 | Mahesh Manjrekar | Astitva,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2002,Madhur Bhandarkar,Chandni Bar,False,2002 | Madhur Bhandarkar | Chandni Bar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2003,Meghna Gulzar,Filhaal,False,2003 | Meghna Gulzar | Filhaal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2004,Amrita Pritam,Pinjar,False,2004 | Amrita Pritam | Pinjar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2005,Aditya Chopra,Veer-Zaara,False,2005 | Aditya Chopra | Veer-Zaara,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2006,Nagesh Kukunoor,Iqbal,False,2006 | Nagesh Kukunoor | Iqbal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2007,Rajkumar Hirani & Abhijat Joshi,Lage Raho Munnabhai,False,2007 | Rajkumar Hirani & Abhijat Joshi | Lage Raho Munnabhai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2008,Amol Gupte,Taare Zameen Par,False,2008 | Amol Gupte | Taare Zameen Par,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2009,Neeraj Pandey,A Wednesday!,False,2009 | Neeraj Pandey | A Wednesday!,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2010,Imtiaz Ali,Love Aaj Kal,False,2010 | Imtiaz Ali | Love Aaj Kal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2011,Amit Rai,Road to Sangam,False,2011 | Amit Rai | Road to Sangam,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2012,Akshat Verma,Delhi Belly,False,2012 | Akshat Verma | Delhi Belly,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2013,Sujoy Ghosh & Advaita Kala,Kahaani,False,2013 | Sujoy Ghosh & Advaita Kala | Kahaani,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2014,Mohan Sikka,B.A. Pass,False,2014 | Mohan Sikka | B.A. Pass,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2015,Rajat Kapoor,Ankhon Dekhi,False,2015 | Rajat Kapoor | Ankhon Dekhi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2016,V. Vijayendra Prasad,Bajrangi Bhaijaan,False,2016 | V. Vijayendra Prasad | Bajrangi Bhaijaan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2017,Saiwyn Quadras,Neerja,False,2017 | Saiwyn Quadras | Neerja,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
2019,Arijit Biswas & Sriram Raghavan,Andhadhun,False,2019 | Arijit Biswas & Sriram Raghavan | Andhadhun,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Story
