year,film,person,is_winner,raw_text,source_url
,Saif Ali Khan,,False,3 | Saif Ali Khan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
,"Amrish Puri , Arshad Warsi , Rishi Kapoor",,False,"2 | Amrish Puri , Arshad Warsi , Rishi Kapoor",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
1995,Anupam Kher,1942: A Love Story,False,1995 | Anupam Kher | 1942: A Love Story | Raghuvir Pathak,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
1996,Paresh Rawal,Raja,False,1996 | Paresh Rawal | Raja | Brijnath Patangwala,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
1997,Amrish Puri,Ghatak: Lethal,False,1997 | Amrish Puri | Ghatak: Lethal | Shambhu Nath,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
1998,Virasat,Raja Thakur,False,1998 | Virasat | Raja Thakur,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
1999,Manoj Bajpayee,Satya,False,1999 | Manoj Bajpayee | Satya | Bhiku Mhatre,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2000,Anil Kapoor,Taal,False,2000 | Anil Kapoor | Taal | Vikrant Kapoor,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2001,Sanjay Dutt,Mission Kashmir,False,2001 | Sanjay Dutt | Mission Kashmir | SSP Inayat Khan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2002,Saif Ali Khan,Dil Chahta Hai,False,2002 | Saif Ali Khan | Dil Chahta Hai | Sameer Mulchandni,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2003,Mohanlal,Company,False,2003 | Mohanlal | Company | Veerappalli Srinivasan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2004,Saif Ali Khan,Kal Ho Naa Ho,False,2004 | Saif Ali Khan | Kal Ho Naa Ho | Rohit Patel,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2005,Abhishek Bachchan,Yuva,False,2005 | Abhishek Bachchan | Yuva | Lallan Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2006,Naseeruddin Shah,Iqbal,False,2006 | Naseeruddin Shah | Iqbal | Mohit,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2007,Arshad Warsi,Lage Raho Munnabhai,False,"2007 | Arshad Warsi | Lage Raho Munnabhai | Sarkeshwar ""Circuit""",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2008,Aamir Khan,Taare Zameen Par,False,2008 | Aamir Khan | Taare Zameen Par (Like Stars on Earth) | Ram Shankar Nikumbh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2009,Arjun Rampal,Rock On!!,False,2009 | Arjun Rampal | Rock On!! | Joe,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2010,Rishi Kapoor,Luck by Chance,False,2010 | Rishi Kapoor | Luck by Chance | Rommy Rolly,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2011,Arshad Warsi,Ishqiya,False,"2011 | Arshad Warsi | Ishqiya | Razzak Hussain ""Babban""",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2012,Saif Ali Khan,Aarakshan,False,2012 | Saif Ali Khan | Aarakshan | Deepak Kumar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2013,Nawazuddin Siddiqui,Talaash,False,2013 | Nawazuddin Siddiqui | Talaash | Tehmur Hussain,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2014,Saurabh Shukla,Jolly LLB,False,2014 | Saurabh Shukla | Jolly LLB | Justice Sunderlal Tripathi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2015,Inaamulhaq,Filmistaan,False,2015 | Inaamulhaq | Filmistaan [ 1 ] | Aftaab,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2016,Deepak Dobriyal,Tanu Weds Manu: Returns,False,2016 | Deepak Dobriyal | Tanu Weds Manu: Returns [ 2 ] | Pappi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2017,Rishi Kapoor,Kapoor & Sons,False,2017 | Rishi Kapoor | Kapoor & Sons | Amarjeet Kapoor,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2018,Rajkummar Rao,Bareilly Ki Barfi,False,2018 | Rajkummar Rao | Bareilly Ki Barfi | Pritam Vidrohi [ 3 ],https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2019,Pankaj Tripathi,Stree,False,2019 | Pankaj Tripathi | Stree | Rudra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2020,Gulshan Devaiah,Mard Ko Dard Nahi Hota,False,2020 [ 4 ] | Gulshan Devaiah | Mard Ko Dard Nahi Hota | Karate Mani / Jimmy,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
2026,Akshaye Khanna,Dhurandhar,False,2026 | Akshaye Khanna | Dhurandhar | Rehman Dakait,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actor
