year,film,person,is_winner,raw_text,source_url
,Shabana Azmi,,False,2 | Shabana Azmi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
1995,Mita Vashisht,Drohkaal,True,1995 | Mita Vashisht | Drohkaal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
1996,Not awarded,,False,1996 | Not awarded | ,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
1997,Seema Biswas,Khamoshi: The Musical,True,1997 | Seema Biswas | Khamoshi: The Musical,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
1998,Shabana Azmi,Mrityudand,True,1998 | Shabana Azmi | Mrityudand,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
1999,Shefali Shah,Satya,True,1999 | Shefali Shah | Satya,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2000,Sushmita Sen,Biwi No.1,True,2000 | Sushmita Sen | Biwi No.1,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,2001,,True,2001,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,Hamara Dil Aapke Paas Hai,Khushi Malhotra,True,Sonali Bendre | Hamara Dil Aapke Paas Hai | Khushi Malhotra,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,Mohabbatein,Meghna Shankar,False,Aishwarya Rai ‡ | Mohabbatein | Meghna Shankar,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,Dhadkan,Sheetal Varma,False,Mahima Chaudhry ‡ | Dhadkan | Sheetal Varma,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,Nidaan,Suhasini A. 'Suhas' Nadkarni,False,Reema Lagoo | Nidaan | Suhasini A. 'Suhas' Nadkarni,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2001,Mission Kashmir,Neelima Khan,False,Sonali Kulkarni ‡ | Mission Kashmir | Neelima Khan,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,2002,,True,2002,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,Aks,Neeta,True,Raveena Tandon | Aks | Neeta,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,Chandni Bar,Deepa Pandey,False,Ananya Khare | Chandni Bar | Deepa Pandey,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,Kabhi Khushi Kabhie Gham,"Pooja ""Poo"" Sharma",False,"Kareena Kapoor ‡ | Kabhi Khushi Kabhie Gham | Pooja ""Poo"" Sharma",https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,Lajja,Janki,False,Madhuri Dixit ‡ | Lajja | Janki,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2002,Ramdulaari,,False,Rekha ‡ | Ramdulaari,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,2003,,True,2003,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,Devdas,Chandramukhi,True,Madhuri Dixit † | Devdas | Chandramukhi,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,Company,Kannu,False,Antara Mali ‡ | Company | Kannu,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,Devdas,Sumitra Mukherji,False,Kirron Kher ‡ | Devdas | Sumitra Mukherji,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,Company,Ranibai,False,Seema Biswas | Company | Ranibai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2003,Filhaal...,Sia Sheth,False,Sushmita Sen ‡ | Filhaal... | Sia Sheth,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,2004,,True,2004,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,3 Deewarein,Chandrika,True,Juhi Chawla | 3 Deewarein | Chandrika,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,Kal Ho Naa Ho,Jennifer Kapur,False,Jaya Bachchan † | Kal Ho Naa Ho | Jennifer Kapur,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,Dhoop,Sarita Kapoor,False,Revathi | Dhoop | Sarita Kapoor,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,Bhoot,Bai,False,Seema Biswas | Bhoot | Bai,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2004,Tehzeeb,Rukhsana Jamal,False,Shabana Azmi ‡ | Tehzeeb | Rukhsana Jamal,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,2005,,True,2005,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,Yuva,Sashi L. Singh,True,Rani Mukerji † | Yuva | Sashi L. Singh,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,Veer-Zaara,Shabbo,False,Divya Dutta ‡ | Veer-Zaara | Shabbo,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,Hum Tum,Parminder Prakash / Bobby Aunty,False,Kirron Kher | Hum Tum | Parminder Prakash / Bobby Aunty,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,Yuva,Mira,False,Kareena Kapoor | Yuva | Mira,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2005,Veer-Zaara,Saamiya Siddiqui,False,Rani Mukerji ‡ | Veer-Zaara | Saamiya Siddiqui,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
2006,2006,,True,2006,https://en.wikipedia.org/wiki/Screen_Award_for_Best_Supporting_Actress
