year,film,person,is_winner,raw_text,source_url
2009,Amrita Rao,Welcome to Sajjanpur,False,2009 | Amrita Rao | Welcome to Sajjanpur,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2010,Preity Zinta,Videsh,False,2010 | Preity Zinta | Videsh,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2011,Neetu Kapoor,Do Dooni Chaar,False,2011 | Neetu Kapoor | Do Dooni Chaar,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2012,Shraddha Kapoor,Luv Ka The End,False,2012 | Shraddha Kapoor | Luv Ka The End,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2013,Farah Khan,Shirin Farhad Ki Toh Nikal Padi,False,2013 | Farah Khan | Shirin Farhad Ki Toh Nikal Padi,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2014,no award,no award,False,2014 | no award | no award,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2015,Kangana Ranaut,Queen,False,2015 | Kangana Ranaut | Queen,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2016,Deepika Padukone,Piku / Tamasha,False,2016 | Deepika Padukone | Piku / Tamasha [ 1 ],https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2017,Anushka Sharma,Sultan / Ae Dil Hai Mushkil,False,2017 | Anushka Sharma | Sultan / Ae Dil Hai Mushkil,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
2018,Kriti Sanon,Bareilly Ki Barfi / Raabta,False,2018 | Kriti Sanon | Bareilly Ki Barfi / Raabta,https://en.wikipedia.org/wiki/Stardust_Award_for_Best_Actress
