year,film,person,is_winner,raw_text,source_url
,"Divya Dutta , Madhuri Dixit , Sushmita Sen , Swara Bhaskar , Shabana Azmi",,False,"2 | Divya Dutta , Madhuri Dixit , Sushmita Sen , Swara Bhaskar , Shabana Azmi",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
1998,Karisma Kapoor,Dil To Pagal Hai,False,1998 | Karisma Kapoor | Dil To Pagal Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
1999,Rani Mukerji,Kuch Kuch Hota Hai,False,1999 | Rani Mukerji | Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2000,Sushmita Sen,Biwi No.1,False,2000 | Sushmita Sen | Biwi No.1,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2001,Jaya Bachchan,Fiza,False,2001 | Jaya Bachchan | Fiza,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2002,Madhuri Dixit,Lajja,False,2002 | Madhuri Dixit | Lajja,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2003,Sushmita Sen,Filhaal...,False,2003 | Sushmita Sen | Filhaal...,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2004,Shabana Azmi,Tehzeeb,False,2004 | Shabana Azmi | Tehzeeb,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2005,Divya Dutta,Veer-Zaara,False,2005 | Divya Dutta | Veer-Zaara,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2006,Ayesha Kapur,Black,False,2006 | Ayesha Kapur | Black,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2007,Konkona Sen Sharma,Omkara,False,2007 | Konkona Sen Sharma | Omkara,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2008,Shilpa Shetty,Life in a... Metro,False,2008 | Shilpa Shetty | Life in a... Metro,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
2009,Not held,,False,2009 | Not held,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Actor_in_a_Supporting_Role_%E2%80%93_Female
