year,film,person,is_winner,raw_text,source_url
,Sanjay Leela Bhansali,,False,5 | Sanjay Leela Bhansali,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
,"Rakesh Roshan , Karan Johar , Ayan Mukerji",,False,"2 | Rakesh Roshan , Karan Johar , Ayan Mukerji",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
1998,J.P. Dutta,Border,False,1998 | J.P. Dutta | Border,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
1999,Karan Johar,Kuch Kuch Hota Hai,False,1999 | Karan Johar | Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2000,Sanjay Leela Bhansali,Hum Dil De Chuke Sanam,False,2000 | Sanjay Leela Bhansali | Hum Dil De Chuke Sanam,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2001,Rakesh Roshan,Kaho Naa... Pyaar Hai,False,2001 | Rakesh Roshan | Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2002,Ashutosh Gowariker,Lagaan,False,2002 | Ashutosh Gowariker | Lagaan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2003,Sanjay Leela Bhansali,Devdas,False,2003 | Sanjay Leela Bhansali | Devdas,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2004,Rakesh Roshan,Koi... Mil Gaya,False,2004 | Rakesh Roshan | Koi... Mil Gaya,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2005,Yash Chopra,Veer-Zaara,False,2005 | Yash Chopra | Veer-Zaara,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2006,Sanjay Leela Bhansali,Black,False,2006 | Sanjay Leela Bhansali | Black,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2007,Rakeysh Omprakash Mehra,Rang De Basanti,False,2007 | Rakeysh Omprakash Mehra | Rang De Basanti,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2008,Aamir Khan,Taare Zameen Par,False,2008 | Aamir Khan | Taare Zameen Par (Like Stars on Earth),https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2011,Karan Johar,My Name is Khan,False,2011 | Karan Johar | My Name is Khan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2012,Imtiaz Ali,Rockstar,False,2012 | Imtiaz Ali | Rockstar,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2013,Anurag Basu,Barfi!,False,2013 | Anurag Basu | Barfi!,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2014,Ayan Mukerji,Yeh Jawaani Hai Deewani,False,2014 | Ayan Mukerji | Yeh Jawaani Hai Deewani,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2016,Sanjay Leela Bhansali,Bajirao Mastani,False,2016 | Sanjay Leela Bhansali | Bajirao Mastani,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2017,Ram Madhvani,Neerja,False,2017 | Ram Madhvani | Neerja,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2018,Ashwiny Iyer Tiwari,Bareilly Ki Barfi,False,2018 | Ashwiny Iyer Tiwari | Bareilly Ki Barfi,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2019,Sanjay Leela Bhansali,Padmaavat,False,2019 | Sanjay Leela Bhansali | Padmaavat,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2020,Zoya Akhtar,Gully Boy,False,2020 | Zoya Akhtar | Gully Boy,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2023,Ayan Mukerji,Brahmāstra: Part One – Shiva,False,2023 [ 2 ] | Ayan Mukerji | Brahmāstra: Part One – Shiva,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2024,Atlee,Jawan,False,2024 [ 3 ] | Atlee | Jawan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2025,Amar Kaushik,Stree 2,False,2025 | Amar Kaushik | Stree 2,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2025,Laapataa Ladies,,False,Kiran Rao | Laapataa Ladies,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
2026,Mohit Suri,Saiyaara,False,2026 | Mohit Suri | Saiyaara,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Director
