year,film,person,is_winner,raw_text,source_url
1998,Dil To Pagal Hai,Yash Raj Films,True,1998 (1st) | Dil To Pagal Hai ‡ | Yash Raj Films | [ 1 ] [ 2 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1998,J. P. Films,,False,Border | J. P. Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1998,Trimurti Films,,False,Gupt | Trimurti Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1998,Baba Films,,False,Ishq | Baba Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1998,Mukta Arts Ltd.,,False,Pardes | Mukta Arts Ltd.,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1999,Kuch Kuch Hota Hai,Dharma Productions,True,1999 (2nd) | Kuch Kuch Hota Hai ‡ | Dharma Productions | [ 3 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1999,Tips Industries,,False,Jab Pyaar Kisise Hota Hai | Tips Industries,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1999,"Pooja Entertainment , GS Worldwide Entertainment , Sohail Khan Productions",,False,"Pyaar Kiya To Darna Kya | Pooja Entertainment , GS Worldwide Entertainment , Sohail Khan Productions",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1999,Baba Films,,False,Pyaar To Hona Hi Tha | Baba Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
1999,RGV Production House,,False,Satya | RGV Production House,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2000,Hum Dil De Chuke Sanam,SLB Films,True,2000 (3rd) | Hum Dil De Chuke Sanam ‡ | SLB Films | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2001,Kaho Naa... Pyaar Hai,Filmkraft Productions Pvt. Ltd,True,2001 (4th) | Kaho Naa... Pyaar Hai ‡ | Filmkraft Productions Pvt. Ltd | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2002,Lagaan,Aamir Khan Productions,True,2002 (5th) | Lagaan ‡ | Aamir Khan Productions | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2003,Devdas,Mega Bollywood,True,2003 (6th) | Devdas ‡ | Mega Bollywood | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2004,Koi... Mil Gaya,Filmkraft Productions Pvt. Ltd,True,2004 (7th) | Koi... Mil Gaya ‡ | Filmkraft Productions Pvt. Ltd | [ 4 ] [ 5 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2004,B. R. Films,,False,Baghban | B. R. Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2004,"Dreamz Unlimited , UTV Motion Pictures",,False,"Chalte Chalte | Dreamz Unlimited , UTV Motion Pictures",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2004,Dharma Productions,,False,Kal Ho Naa Ho | Dharma Productions,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2004,Vinod Chopra Films,,False,Munna Bhai M.B.B.S. | Vinod Chopra Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2005,Veer-Zaara,Yash Raj Films,True,2005 (8th) | Veer-Zaara ‡ | Yash Raj Films | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Black,"SLB Films , Applause Entertainment",True,"2006 (9th) | Black ‡ | SLB Films , Applause Entertainment | [ 6 ] [ 7 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Prakash Jha Productions,,False,Apaharan | Prakash Jha Productions,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Yash Raj Films,,False,Bunty Aur Babli | Yash Raj Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Sahara One Motion Pictures,,False,No Entry | Sahara One Motion Pictures,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Vinod Chopra Films,,False,Parineeta | Vinod Chopra Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,Yash Raj Films,,False,Salaam Namaste | Yash Raj Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2006,RGV Film Company,,False,Sarkar | RGV Film Company,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Rang De Basanti,Rakeysh Omprakash Mehra Pictures,True,2007 (10th) | Rang De Basanti ‡ | Rakeysh Omprakash Mehra Pictures | [ 8 ] [ 9 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Dharma Productions,,False,Kabhi Alvida Naa Kehna | Dharma Productions,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Filmkraft Productions Pvt. Ltd,,False,Krrish | Filmkraft Productions Pvt. Ltd,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Vinod Chopra Films,,False,Lage Raho Munna Bhai | Vinod Chopra Films,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Shemaroo Entertainment,,False,Omkara | Shemaroo Entertainment,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2007,Rajshri Productions,,False,Vivah | Rajshri Productions,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Chak De! India,Yash Raj Films,True,2008 (11th) | Chak De! India ‡ | Yash Raj Films | [ 10 ] [ 11 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Madras Talkies,,False,Guru | Madras Talkies,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Shree Ashtavinayak Cine Vision,,False,Jab We Met | Shree Ashtavinayak Cine Vision,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Ishana Movies,,False,Life in a... Metro | Ishana Movies,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Red Chillies Entertainment,,False,Om Shanti Om | Red Chillies Entertainment,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2008,Aamir Khan Productions,,False,Taare Zameen Par | Aamir Khan Productions,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2009,Not Awarded,,False,2009 (–) | Not Awarded | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2010,Not Awarded,,False,2010 (–) | Not Awarded | ,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2011,Dabangg,"Shree Ashtavinayak Cine Vision , Arbaaz Khan Productions",True,"2011 (12th) | Dabangg ‡ | Shree Ashtavinayak Cine Vision , Arbaaz Khan Productions | [ 12 ] [ 13 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2011,Shree Ashtavinayak Cine Vision,,False,Golmaal 3 | Shree Ashtavinayak Cine Vision,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
2011,"Dharma Productions , Red Chillies Entertainment",,False,"My Name Is Khan | Dharma Productions , Red Chillies Entertainment",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Film
