year,film,person,is_winner,raw_text,source_url
,Javed Akhtar,,False,4 | Javed Akhtar,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
,"Gulzar , Irshad Kamil",,False,"3 | Gulzar , Irshad Kamil",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
,"Prasoon Joshi , Amitabh Bhattacharya",,False,"2 | Prasoon Joshi , Amitabh Bhattacharya",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
,Anand Bakshi,,False,5 | Anand Bakshi,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
,"Javed Akhtar , Gulzar",,False,"4 | Javed Akhtar , Gulzar",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
,"Prasoon Joshi , Sameer , Manoj Muntashir",,False,"2 | Prasoon Joshi , Sameer , Manoj Muntashir",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1998,,Javed Akhtar,True,"1998 ( 1 st ) |  | Javed Akhtar † | "" Sandese Aate Hai "" | Border | [ 1 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1998,Bholi Si Surat,Dil To Pagal Hai,False,"Anand Bakshi ‡ | ""Bholi Si Surat"" | Dil To Pagal Hai",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1998,Dil To Pagal Hai,,False,"Anand Bakshi | ""Dil To Pagal Hai""",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1998,I Love My India,Pardes,False,"Anand Bakshi ‡ | ""I Love My India"" | Pardes",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1998,Sona Kitna Sona Hai,Hero No. 1,False,"Sameer | ""Sona Kitna Sona Hai"" | Hero No. 1",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
1999,,Sameer,True,"1999 ( 2nd) |  | Sameer ‡ | "" Kuch Kuch Hota Hai "" | Kuch Kuch Hota Hai | [ 2 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2000,,Anand Bakshi,True,"2000 ( 3rd ) |  | Anand Bakshi † | "" Ishq Bina "" | Taal | [ 3 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2000,Taal Se Taal,Taal,False,"Anand Bakshi ‡ | ""Taal Se Taal"" | Taal",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2000,Biwi No.1,Biwi No.1,False,"Dev Kohli | ""Biwi No.1"" | Biwi No.1",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2000,Zindagi Maut Na Ban Jaye,Sarfarosh,False,"Israr Ansari ‡ | ""Zindagi Maut Na Ban Jaye"" | Sarfarosh",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2000,Chand Chupa Badal Mein,Hum Dil De Chuke Sanam,False,"Mehboob | ""Chand Chupa Badal Mein"" | Hum Dil De Chuke Sanam",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2001,,Javed Akhtar,True,"2001 ( 4th) |  | Javed Akhtar † | "" Panchhi Nadiya "" | Refugee | [ 4 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2002,Javed Akhtar,Radha Kaise Na Jale,True,"2002 ( 5th) | Javed Akhtar ‡ | "" Radha Kaise Na Jale "" | Lagaan | [ 5 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2003,,Gulzar,True,"2003 ( 6th) |  | Gulzar † | "" Saathiya "" | Saathiya | [ 6 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2004,,Amrita Pritam,True,"2004 ( 7th) |  | Amrita Pritam | "" Charka Chalati Hai "" | Pinjar | [ 7 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2005,,Javed Akhtar,True,"2005 (8th) |  | Javed Akhtar | "" Yeh Jo Des Hai Tera "" | Swades | [ 8 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2006,,Gulzar,True,"2006 ( 9th) |  | Gulzar † | "" Kajra Re "" | Bunty Aur Babli | [ 9 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2007,,Prasoon Joshi,True,"2007 ( 10th ) |  | Prasoon Joshi | "" Masti Ki Paathshaala "" | Rang De Basanti | [ 10 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
2007,Beedi Jalaile,Omkara,False,"Gulzar ‡ | ""Beedi Jalaile"" | Omkara",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Lyricist
