year,film,person,is_winner,raw_text,source_url
,A. R. Rahman,,False,6 | A. R. Rahman,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
,Pritam,,False,3 | Pritam,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
,"Anu Malik , Mithoon",,False,"2 | Anu Malik , Mithoon",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
1998,Uttam Singh,Dil To Pagal Hai,False,1998 | Uttam Singh | Dil To Pagal Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
1999,Jatin–Lalit,Kuch Kuch Hota Hai,False,1999 | Jatin–Lalit | Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2000,A. R. Rahman,Taal,False,2000 | A. R. Rahman | Taal,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2001,Rajesh Roshan,Kaho Naa... Pyaar Hai,False,2001 | Rajesh Roshan | Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2002,A. R. Rahman,Lagaan,False,2002 | A. R. Rahman | Lagaan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2003,Nadeem-Shravan and A. R. Rahman,Raaz and Saathiya,False,2003 | Nadeem-Shravan and A. R. Rahman | Raaz and Saathiya,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2004,Himesh Reshammiya,Tere Naam,False,2004 | Himesh Reshammiya | Tere Naam,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2005,Anu Malik,Main Hoon Na,False,2005 | Anu Malik | Main Hoon Na,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2006,Shankar–Ehsaan–Loy,Bunty Aur Babli,False,2006 | Shankar–Ehsaan–Loy | Bunty Aur Babli,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2007,A. R. Rahman,Rang De Basanti,False,2007 | A. R. Rahman | Rang De Basanti,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2008,Guru,,False,2008 | Guru,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2011,Sajid–Wajid,Dabangg,False,2011 | Sajid–Wajid | Dabangg,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2012,A. R. Rahman,Rockstar,False,2012 | A. R. Rahman | Rockstar,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2013,Pritam,Cocktail,False,2013 | Pritam | Cocktail,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2014,"Jeet Ganguly , Mithoon & Ankit Tiwari",Aashiqui 2,False,"2014 | Jeet Ganguly , Mithoon & Ankit Tiwari | Aashiqui 2",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2015,"Yo Yo Honey Singh , Himesh Reshammiya , Meet Bros & Anjjan Bhattacharya",Kick,False,"2015 | Yo Yo Honey Singh , Himesh Reshammiya , Meet Bros & Anjjan Bhattacharya | Kick",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2016,Anu Malik,Dum Laga Ke Haisha,False,2016 | Anu Malik | Dum Laga Ke Haisha,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2017,Pritam,Ae Dil Hai Mushkil,False,2017 | Pritam | Ae Dil Hai Mushkil,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2018,Amit Trivedi,Secret Superstar,False,2018 | Amit Trivedi | Secret Superstar,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2019,Ajay–Atul,Dhadak,False,2019 | Ajay–Atul | Dhadak,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2020,"Mithoon , Amaal Mallik , Vishal , Sachet–Parampara , Akhil",Kabir Singh,False,"2020 | Mithoon , Amaal Mallik , Vishal , Sachet–Parampara , Akhil | Kabir Singh",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2023,Pritam,Brahmāstra: Part One – Shiva,False,2023 [ 1 ] | Pritam | Brahmāstra: Part One – Shiva,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2024,Anirudh Ravichander,Jawan,False,2024 [ 2 ] | Anirudh Ravichander | Jawan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
2025,Sachin–Jigar,Stree 2,False,2025 | Sachin–Jigar | Stree 2,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Music_Director
