year,film,person,is_winner,raw_text,source_url
,Ashutosh Rana,,False,2 | Ashutosh Rana,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
1998,Kajol,Gupt: The Hidden Truth,False,1998 | Kajol | Gupt: The Hidden Truth | [ 1 ] [ 2 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
1999,Ashutosh Rana,Dushman,False,1999 | Ashutosh Rana | Dushman | [ 3 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2000,Sangharsh,,False,2000 | Sangharsh | [ 4 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2001,Sushant Singh,Jungle,False,2001 | Sushant Singh | Jungle | [ 5 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2002,Aftab Shivdasani,Kasoor,False,2002 | Aftab Shivdasani | Kasoor | [ 6 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2003,Ajay Devgan,Deewangee,False,2003 | Ajay Devgan | Deewangee | [ 7 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2004,Rahul Dev,Footpath,False,2004 | Rahul Dev | Footpath | [ 8 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2005,John Abraham,Dhoom,False,2005 | John Abraham | Dhoom | [ 9 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2006,Nana Patekar,Apaharan,False,2006 | Nana Patekar | Apaharan | [ 10 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2007,Saif Ali Khan,Omkara,False,2007 | Saif Ali Khan | Omkara | [ 11 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2008,Arjun Rampal,Om Shanti Om,False,2008 | Arjun Rampal | Om Shanti Om | [ 12 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2009,Not Held,,True,2009 | Not Held,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2010,2010,,False,2010,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2011,Ronit Roy,Udaan,False,2011 | Ronit Roy | Udaan | [ 13 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2012,Prakash Raj,Singham,False,2012 | Prakash Raj | Singham | [ 14 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2013,Rishi Kapoor,Agneepath,False,2013 | Rishi Kapoor | Agneepath | [ 15 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2014,Supriya Pathak,Goliyon Ki Raasleela Ram-Leela,False,2014 | Supriya Pathak | Goliyon Ki Raasleela Ram-Leela | [ 16 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2015,Not Held,,True,2015 | Not Held,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2016,Nawazuddin Siddiqui,Badlapur,False,2016 | Nawazuddin Siddiqui | Badlapur | [ 17 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2017,Jim Sarbh,Neerja,False,2017 | Jim Sarbh | Neerja | [ 18 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2018,Raj Arjun,Secret Superstar,False,2018 | Raj Arjun | Secret Superstar | [ 19 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2019,Tabu,Andhadhun,False,2019 | Tabu | Andhadhun | [ 20 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2020,Manoj Pahwa,Article 15,False,2020 | Manoj Pahwa | Article 15 | [ 21 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2021,Not Held,,True,2021 | Not Held,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2022,2022,,False,2022,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2023,Bobby Deol,Love Hostel,False,2023 | Bobby Deol | Love Hostel | [ 22 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2024,Animal,,False,2024 | Animal | [ 23 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
2025,Jaideep Ahlawat,Maharaj,False,2025 | Jaideep Ahlawat | Maharaj | [ 24 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Performance_in_a_Negative_Role
