year,film,person,is_winner,raw_text,source_url
1998,1998,,True,1998,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1998,Dil To Pagal Hai,Dil To Pagal Hai,True,Lata Mangeshkar | Dil To Pagal Hai | Dil To Pagal Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1998,I Love My India,Pardes,False,Kavita Krishnamurthy | I Love My India | Pardes,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1998,Le Gayi,Dil To Pagal Hai,False,Asha Bhosle | Le Gayi | Dil To Pagal Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1998,Sona Kitna Sona Hai,Hero No. 1,False,Poornima | Sona Kitna Sona Hai | Hero No. 1,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,1999,,True,1999,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,True,Alka Yagnik | Kuch Kuch Hota Hai | Kuch Kuch Hota Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,Chamma Chamma,China Gate,False,Alka Yagnik | Chamma Chamma | China Gate,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,Duplicate,,False,Mere Mehboob Mere Sanam | Duplicate,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,Pyaar Kiya To Darna Kya,,False,Odh Li Chunariya | Pyaar Kiya To Darna Kya,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
1999,Chaiyya Chaiyya,Dil Se..,False,Sapna Awasthi | Chaiyya Chaiyya | Dil Se..,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,2000,,True,2000,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,Nimbooda,Hum Dil De Chuke Sanam,True,Kavita Krishnamurthy | Nimbooda | Hum Dil De Chuke Sanam,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,Taal Se Taal Mila,Taal,False,Alka Yagnik | Taal Se Taal Mila | Taal,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,Rang De,Thakshak,False,Asha Bhosle | Rang De | Thakshak,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,Mhare Hiwda,Hum Saath-Saath Hain,False,Kavita Krishnamurthy | Mhare Hiwda | Hum Saath-Saath Hain,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2000,Taal,,False,Ishq Bina | Taal,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2001,2001,,True,2001,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2001,Kaho Naa... Pyaar Hai,Kaho Naa... Pyaar Hai,True,Alka Yagnik | Kaho Naa... Pyaar Hai | Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2002,2002,,True,2002,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2002,Radha Kaise Na Jale,Lagaan,True,Asha Bhosle | Radha Kaise Na Jale | Lagaan,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,2003,,True,2003,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Dola Re Dola,Devdas,True,Kavita Krishnamurthy | Dola Re Dola | Devdas,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Shreya Ghoshal,,True,Shreya Ghoshal,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Maar Dala,Devdas,False,Kavita Krishnamurthy | Maar Dala | Devdas,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Khallas,Company,False,Asha Bhosle | Khallas | Company,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Ishq Samundar,Kaante,False,Sunidhi Chauhan | Ishq Samundar | Kaante,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2003,Sur – The Melody of Life,,False,Dil Mein Jaagi Dhadkan | Sur – The Melody of Life,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2004,2004,,True,2004,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2004,Kuch Naa Kaho,Kuch Naa Kaho,True,Sadhana Sargam | Kuch Naa Kaho | Kuch Naa Kaho,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2004,Jaadu Hai Nasha Hai,Jism,False,Shreya Ghoshal | Jaadu Hai Nasha Hai | Jism,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2004,Odhni,Tere Naam,False,Alka Yagnik | Odhni | Tere Naam,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,2005,,True,2005,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,Dhoom Machale,Dhoom,True,Sunidhi Chauhan | Dhoom Machale | Dhoom,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,Aisa Jadoo Daala Re,Khakee,False,Sunidhi Chauhan | Aisa Jadoo Daala Re | Khakee,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,Musafir,,False,Ishq Kabhi Kario | Musafir,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,Aao Na,Kyun! Ho Gaya Na...,False,Sadhana Sargam | Aao Na | Kyun! Ho Gaya Na...,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2005,Yeh Rishta,Meenaxi,False,Reena Bharadwaz | Yeh Rishta | Meenaxi,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2006,2006,,True,2006,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2006,Piyu Bole,Parineeta,True,Shreya Ghoshal | Piyu Bole | Parineeta,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2006,Kyon Ki Itna,Kyon Ki,False,Alka Yagnik | Kyon Ki Itna | Kyon Ki,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
2006,Kaisi Paheli,Parineeta,False,Sunidhi Chauhan | Kaisi Paheli | Parineeta,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Female
