year,film,person,is_winner,raw_text,source_url
,Arijit Singh,7,False,Most awards | Arijit Singh | 7,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,16,,False,Most nominations | 16,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,Shafqat Amanat Ali,4,False,Most nominations without ever winning | Shafqat Amanat Ali | 4,https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,Arijit Singh,3,False,"Most nominations in a single year | Arijit Singh | 3 (2016, 2018)",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,3 & 4,,False,"Most consecutive awards | 3 (2014, 2016, 2017) & 4 (2019, 2023, 2024, 2025) [ 2 ]",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,16,,False,Most consecutive nominations | 16 (2014-2025) [ 3 ],https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,Udit Narayan,45,False,Oldest winner | Udit Narayan | 45 (2000),https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,Sonu Nigam,25,False,Youngest winner | Sonu Nigam | 25 (1998),https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,7,"2014, 2016, 2017, 2020, 2023, 2024, 2025",False,"Arijit Singh | 7 | 2014, 2016, 2017, 2020, 2023, 2024, 2025",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
,4,"1998, 2002, 2003, 2013",False,"Sonu Nigam | 4 | 1998, 2002, 2003, 2013",https://en.wikipedia.org/wiki/Zee_Cine_Award_for_Best_Playback_Singer_%E2%80%93_Male
