award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
BFJA Awards,1942,,Best Actor,Pahari Sanyal,Pratishruti,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1943,,Best Actor,Jahar Ganguly,Bondi,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1945,,Best Actor,Radhamohan Bhattacharya,Udayer Pathey,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1946,,Best Actor,Devi Mukherjee,Bhabikal,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1952,,Best Actor,Biren Chatterjee,Jighansa,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1953,,Best Actor,Dhiraj Bhattacharya,Hanabari,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1955,,Best Actor,Bikash Roy,Chheley Kaar,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1956,,Best Actor,Uttam Kumar,Hrad,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1957,,Best Actor,Raj Kapoor,Ekdin Ratre,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1958,,Best Actor,Chhabi Biswas,Sandhan,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1959,,Best Actor,Kali Banerjee,Ajantrik,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1960,,Best Actor,Bhanu Banerjee,Nirdharito Shilpir Anupasthititey,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1961,,Best Actor,Soumitra Chatterjee,Teen Kanya,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1962,,Best Actor,Uttam Kumar,Saptapadi,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1963,,Best Actor,Soumitra Chatterjee,Abhijan,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1964,,Best Actor,Anup Kumar,Palatak,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1965,,Best Actor,Shailen Mukherjee,Charulata,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1966,,Best Actor,Basanta Choudhury,Raja Rammohan,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1967,,Best Actor,Uttam Kumar,Nayak,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1968,,Best Actor,Uttam Kumar,Grihadaha,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1969,,Best Actor,Soumitra Chatterjee,Baghini,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1970,,Best Actor,Tapen Chatterjee,Goopy Gyne Bagha Byne,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1971,,Best Actor,Dilip Kumar,Sagina Mahato,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1972,,Best Actor,Uttam Kumar,Ekhane Pinjar,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1973,,Best Actor,Uttam Kumar,Stree,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1974,,Best Actor,Soumitra Chatterjee,Ashani Sanket,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1975,,Best Actor,Uttam Kumar,Amanush,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1976,,Best Actor,Soumitra Chatterjee,Sansar Seemantey,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1977,,Best Actor,Uttam Kumar,Banhishikha,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1981,,Best Actor,Dipankar De,Banchharamer Bagaan,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1982,,Best Actor,Tapas Paul,Dadar Kirti,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1986,,Best Actor,Victor Banerjee,Ghare Baire,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1987,,Best Actor,Soumitra Chatterjee,Kony,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1988,,Best Actor,Sumanta Mukherjee,Nagpash,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1989,,Best Actor,Soumitra Chatterjee,Agni Sanket,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
BFJA Awards,1992,,Best Actor,Utpal Dutt,Path O Prasad,,Winner,Bengali,https://en.wikipedia.org/wiki/Bengal%20Film%20Journalists%27%20Association%20%E2%80%93%20Best%20Actor%20Award
