award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Meril Prothom Alo Awards,1998,,Best Film Actor,Riaz,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,1999,,Best Film Actor,Manna,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2000,,Best Film Actor,Manna,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2001,,Best Film Actor,Riaz,Shoshurbari Zindabad,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2002,,Best Film Actor,Riaz,O Priya Tumi Kothay,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2003,,Best Film Actor,Riaz,Moner Majhe Tumi,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2004,,Best Film Actor,Ferdous,Bachelor,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2005,,Best Film Actor,ATM Shamsuzzaman,Molla Barir Bou,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2006,,Best Film Actor,Riaz,Hridoyer Kotha,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2007,,Best Film Actor,Manna,Machineman,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2008,,Best Film Actor,Shakib Khan,Priya Amar Priya,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2009,,Best Film Actor,Chanchal Chowdhury,Monpura,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2010,,Best Film Actor,Shakib Khan,Bhalobaslei Ghor Bandha Jay Na,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2011,,Best Film Actor,Shakib Khan,King Khan,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2012,,Best Film Actor,Shakib Khan,Don Number One,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2013,,Best Film Actor,Shakib Khan,Purno Doirgho Prem Kahini,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2014,,Best Film Actor,Shakib Khan,Hero: The Superstar,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2015,,Best Film Actor,Arifin Shuvoo,Chuye Dile Mon,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2016,,Best Film Actor,Shakib Khan,Shikari,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2017,,Best Film Actor,Arifin Shuvoo,Dhaka Attack,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2018,,Best Film Actor,Siam Ahmed,PoraMon 2,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2019,,Best Film Actor,Siam Ahmed,Fagun Haway,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2021,,Best Film Actor,Siam Ahmed,Mridha Bonam Mridha,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2022,,Best Film Actor,Chanchal Chowdhury (Hawa (2022 Bangladeshi film)),,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2023,,Best Film Actor,Afran Nisho,Surongo,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2024,,Best Film Actor,Shakib Khan (Toofan (2024 film)),,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2016,,Best TV Actor,Mosharraf Karim,Bougiri,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2018,,Best TV Actor,Afran Nisho,Buker Ba Pashe,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2019,,Best TV Actor,Afran Nisho,Sheshta Sundor,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2021,,Best TV Actor,Afran Nisho,Punorjonmo,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2022,,Best TV Actor,Afran Nisho,Punorjonmo 3,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2023,,Best TV Actor,Afran Nisho,Punorjonmo: Antim Porbo,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2024,,Best TV Actor,Tawsif Mahbub,Love Sab,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2025,,Best TV Actor,Farhan Ahmed Jovan,Tomader Golpo,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2017,,Best Film Actor,Taskin Rahman,Dhaka Attack,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2018,,Best Film Actor,Sabnam Faria,Debi,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2019,,Best Film Actor,Orchita Sporshia,Abar Boshonto,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2021,,Best Film Actor,Jannatul Ferdous Oishee,Mission Extreme,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2022,,Best Film Actor,Rodela Tapur,Deshantor,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2023,,Best Film Actor,Naznin Nahar Niha,Love Semester,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2024,,Best Film Actor,Farrukh Ahmed Rehan,Jugol,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2002,,Best Film Actor,Sabbir Ahmed,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2015,,Best Film Actor,Arifin Shuvoo,Chuye Dile Mon,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2016,,Best Film Actor,Chanchal Chowdhury,Aynabaji,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2017,,Best Film Actor,Arifin Shuvoo,Dhaka Attack,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2015,,Best TV Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2016,,Best TV Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2017,,Best TV Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2015,,Best Film Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2015,,Best TV Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
Meril Prothom Alo Awards,2016,,Best TV Actor,,,,Winner,Bengali,https://en.wikipedia.org/wiki/Meril-Prothom_Alo_Awards
