year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1954,1955,1,Best Film,BEST PICTURE,Bimal Roy Productions,Do Bigha Zamin,True
1955,1956,2,Best Film,BEST PICTURE,R. K. Films,Boot Polish,True
1956,1957,3,Best Film,BEST PICTURE,Filmistan Productions,Jagriti,True
1956,1957,3,Best Film,BEST PICTURE,Pakshiraja Studios,Azaad,False
1956,1957,3,Best Film,BEST PICTURE,Hiten Chaudhary Productions,Biraj Bahu,False
1957,1958,4,Best Film,BEST PICTURE,Rajkamal Kala Mandir,Jhanak Jhanak Payal Baaje,True
1958,1959,5,Best Film,BEST PICTURE,Mehboob Productions,Mother India,True
1959,1960,6,Best Film,BEST PICTURE,Bimal Roy Productions,Madhumati,True
1959,1960,6,Best Film,BEST PICTURE,B. R. Films,Sadhna,False
1959,1960,6,Best Film,BEST PICTURE,Anupam Chitra,Talaaq,False
1960,1961,7,Best Film,BEST PICTURE,Prasad Studios,Chhoti Bahen,True
1960,1961,7,Best Film,BEST PICTURE,L. B. Films,Anari,False
1960,1961,7,Best Film,BEST PICTURE,Bimal Roy Productions,Sujata,False
1961,1962,8,Best Film,BEST PICTURE,Sterling Investments,Mughal-e-Azam,True
1961,1962,8,Best Film,BEST PICTURE,Bani Rupa Chitra,Masoom,False
1961,1962,8,Best Film,BEST PICTURE,Bimal Roy Productions,Parakh,False
1962,1963,9,Best Film,BEST PICTURE,R. K. Films,Jis Desh Men Ganga Behti Hai,True
1962,1963,9,Best Film,BEST PICTURE,Citizen Films,Gunga Jumna,False
1962,1963,9,Best Film,BEST PICTURE,B. R. Films,Kanoon,False
1963,1964,10,Best Film,BEST PICTURE,Guru Dutt Movies Pvt. Ltd.,Sahib Bibi Aur Ghulam,True
1963,1964,10,Best Film,BEST PICTURE,Geetanjali Pictures,Bees Saal Baad,False
1963,1964,10,Best Film,BEST PICTURE,Prabhuram Pictures,Rakhi,False
1964,1965,11,Best Film,BEST PICTURE,Bimal Roy Productions,Bandini,True
1964,1965,11,Best Film,BEST PICTURE,Chitralaya,Dil Ek Mandir,False
1964,1965,11,Best Film,BEST PICTURE,B. R. Films,Gumrah,False
1965,1966,12,Best Film,BEST PICTURE,Rajshri Productions,Dosti,True
1965,1966,12,Best Film,BEST PICTURE,R. K. Films,Sangam,False
1965,1966,12,Best Film,BEST PICTURE,Naya Sansar,Shehar Aur Sapna,False
1966,1967,13,Best Film,BEST PICTURE,Shri Prakash Pictures,Himalaya Ki God Mein,True
1966,1967,13,Best Film,BEST PICTURE,Himalaya Films,Haqeeqat,False
1966,1967,13,Best Film,BEST PICTURE,B. R. Films,Waqt,False
1967,1968,14,Best Film,BEST PICTURE,Navketan Films,Guide,True
1967,1968,14,Best Film,BEST PICTURE,L. B. Films,Anupama,False
1967,1968,14,Best Film,BEST PICTURE,Charu Chitra,Mamta,False
1968,1969,15,Best Film,BEST PICTURE,V. I. P. Films,Upkar,True
1968,1969,15,Best Film,BEST PICTURE,AVM Productions,Mehrban,False
1968,1969,15,Best Film,BEST PICTURE,Prasad Studios,Milan,False
1969,1970,16,Best Film,BEST PICTURE,Sippy Films,Brahmachari,True
1969,1970,16,Best Film,BEST PICTURE,Sagar Art International,Ankhen,False
1969,1970,16,Best Film,BEST PICTURE,Kalpanalok,Neel Kamal,False
1970,1971,17,Best Film,BEST PICTURE,Shakti Films,Aradhana,True
1970,1971,17,Best Film,BEST PICTURE,Rupam Chitra,Aashirwad,False
1970,1971,17,Best Film,BEST PICTURE,Prasad Studios,Jeene Ki Raah,False
1971,1972,18,Best Film,BEST PICTURE,Prasad Studios,Khilona,True
1971,1972,18,Best Film,BEST PICTURE,Raj Khosla Films,Do Raaste,False
1971,1972,18,Best Film,BEST PICTURE,Filmnagar,Pehchaan,False
1972,1973,19,Best Film,BEST PICTURE,Rupam Chitra,Anand,True
1972,1973,19,Best Film,BEST PICTURE,R. K. Films,Mera Naam Joker,False
1972,1973,19,Best Film,BEST PICTURE,Pramod Films,Naya Zamana,False
1973,1974,20,Best Film,BEST PICTURE,Filmnagar,Be-Imaan,True
1973,1974,20,Best Film,BEST PICTURE,Aarohi Film Makers,Anubhav,False
1973,1974,20,Best Film,BEST PICTURE,Mahal Pictures,Pakeezah,False
1974,1975,21,Best Film,BEST PICTURE,Shakti Films,Anuraag,True
1974,1975,21,Best Film,BEST PICTURE,Kiron Productions,Aaj Ki Taaza Khabar,False
1974,1975,21,Best Film,BEST PICTURE,R. K. Films,Bobby,False
1974,1975,21,Best Film,BEST PICTURE,Romu N. Sippy and Raj N. Sippy,Koshish,False
1974,1975,21,Best Film,BEST PICTURE,Prakash Mehra Productions,Zanjeer,False
1975,1976,22,Best Film,BEST PICTURE,Devki Chitra,Rajnigandha,True
1975,1976,22,Best Film,BEST PICTURE,Blaze Film Enterprises,Ankur,False
1975,1976,22,Best Film,BEST PICTURE,Unit 3 mm,Garm Hava,False
1975,1976,22,Best Film,BEST PICTURE,Shreeji Films,Kora Kagaz,False
1975,1976,22,Best Film,BEST PICTURE,V.I.P. Films,Roti Kapda Aur Makaan,False
1976,1977,23,Best Film,BEST PICTURE,Trimurti Films,Deewaar,True
1976,1977,23,Best Film,BEST PICTURE,Filmyug,Aandhi,False
1976,1977,23,Best Film,BEST PICTURE,Shakti Films,Amanush,False
1976,1977,23,Best Film,BEST PICTURE,Filmnagar,Sanyasi,False
1976,1977,23,Best Film,BEST PICTURE,Sippy Films,Sholay,False
1977,1978,24,Best Film,BEST PICTURE,Sunandini Pictures,Mausam,True
1977,1978,24,Best Film,BEST PICTURE,B. R. Films,Chhoti Si Baat,False
1977,1978,24,Best Film,BEST PICTURE,Rajshri Productions,Chitchor,False
1977,1978,24,Best Film,BEST PICTURE,Yash Raj Films,Kabhi Kabhie,False
1977,1978,24,Best Film,BEST PICTURE,Rajshri Productions,Tapasya,False
1978,1979,25,Best Film,BEST PICTURE,Blaze Film Enterprises,Bhumika,True
1978,1979,25,Best Film,BEST PICTURE,MKD Films Combine,Amar Akbar Anthony,False
1978,1979,25,Best Film,BEST PICTURE,Climb Films,Gharaonda,False
1978,1979,25,Best Film,BEST PICTURE,Gujarat Milk Co-Op Marketing Federation Ltd.,Manthan,False
1978,1979,25,Best Film,BEST PICTURE,Jayasarathy Combine,Swami,False
1979,1980,26,Best Film,BEST PICTURE,Raj Khosla Films,Main Tulsi Tere Aangan Ki,True
1979,1980,26,Best Film,BEST PICTURE,Rajshri Productions,Ankhiyon Ke Jharokhon Se,False
1979,1980,26,Best Film,BEST PICTURE,Prakash Mehra Productions,Muqaddar Ka Sikandar,False
1979,1980,26,Best Film,BEST PICTURE,Suresh Jindal,Shatranj Ke Khilari,False
1979,1980,26,Best Film,BEST PICTURE,Trimurti Films,Trishul,False
1980,1981,27,Best Film,BEST PICTURE,Film-Valas,Junoon,True
1980,1981,27,Best Film,BEST PICTURE,Sujatha International,Amar Deep,False
1980,1981,27,Best Film,BEST PICTURE,Yash Raj Films,Kaala Patthar,False
1980,1981,27,Best Film,BEST PICTURE,,Noorie,False
1980,1981,27,Best Film,BEST PICTURE,N. N. Sippy Productions,Sargam,False
1981,1982,28,Best Film,BEST PICTURE,Rupam Chitra,Khubsoorat,True
1981,1982,28,Best Film,BEST PICTURE,Krsna Movies Enterprises,Aakrosh,False
1981,1982,28,Best Film,BEST PICTURE,Filmyug,Aasha,False
1981,1982,28,Best Film,BEST PICTURE,B. R. Films,Insaaf Ka Tarazu,False
1981,1982,28,Best Film,BEST PICTURE,Konark Kombine International,Thodisi Bewafaii,False
1982,1983,29,Best Film,BEST PICTURE,Film-Valas,Kalyug,True
