Year,Category,Winner,Film
2000,Best Director,Sanjay Leela Bhansali,Hum Dil De Chuke Sanam
2001,Best Director,Rakesh Roshan,Kaho Naa... Pyaar Hai
2002,Best Director,Ashutosh Gowarikar,Lagaan
2003,Best Director,Sanjay Leela Bhansali,Devdas
2004,Best Director,Rakesh Roshan,Koi... Mil Gaya
2005,Best Director,Yash Chopra,Veer-Zaara
2006,Best Director,Sanjay Leela Bhansali,Black
2007,Best Director,Rajkumar Hirani,Lage Raho Munna Bhai
2008,Best Director,Shimit Amin,Chak De India
2009,Best Director,Ashutosh Gowarikar,Jodhaa Akbar
2010,Best Director,Rajkumar Hirani,3 Idiots
2011,Best Director,Karan Johar,My Name Is Khan
2012,Best Director,Zoya Akhtar,Zindagi Na Milegi Dobara
2013,Best Director,Anurag Basu,Barfi!
2014,Best Director,Rakeysh Omprakash Mehra,Bhaag Milkha Bhaag
2015,Best Director,Rajkumar Hirani,PK
2016,Best Director,Sanjay Leela Bhansali,Bajirao Mastani
2017,Best Director,Aniruddha Roy Chowdhury,Pink
2018,Best Director,Saket Chaudhary,Hindi Medium
2019,Best Director,Sriram Raghavan,Andhadhun
2020,Best Director,Aditya Dhar,Uri: The Surgical Strike
2021,Best Director,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC
2022,Best Director,Vishnuvardhan,Shershaah
2023,Best Director,R. Madhavan,Rocketry: The Nambi Effect
2024,Best Director,Vidhu Vinod Chopra,12th Fail
2025,Best Director,Kiran Rao,Laapataa Ladies
2000,Best Music Director,A.R. Rahman,Taal
2001,Best Music Director,Rajesh Roshan,Kaho Naa... Pyaar Hai
2002,Best Music Director,A.R. Rahman,Lagaan
2003,Best Music Director,A.R. Rahman,Saathiya
2004,Best Music Director,Shankar–Ehsaan–Loy,Kal Ho Naa Ho
2005,Best Music Director,Madan Mohan,Veer-Zaara
2006,Best Music Director,Shankar–Ehsaan–Loy,Bunty Aur Babli
2007,Best Music Director,A.R. Rahman,Rang De Basanti
2008,Best Music Director,A.R. Rahman,Guru
2009,Best Music Director,A.R. Rahman,Jodhaa Akbar
2010,Best Music Director,Pritam,Love Aaj Kal
2011,Best Music Director,Sajid–Wajid & Lalit Pandit,Dabangg
2012,Best Music Director,A.R. Rahman,Rockstar
2013,Best Music Director,Pritam,Barfi!
2014,Best Music Director,"Mithoon, Ankit Tiwari, Jeet Ganguly",Aashiqui 2
2015,Best Music Director,Shankar–Ehsaan–Loy,2 States
2016,Best Music Director,"Amaal Mallik, Ankit Tiwari, Meet Bros Anjjan",Roy
2017,Best Music Director,Pritam,Ae Dil Hai Mushkil
2018,Best Music Director,"Amaal Mallik, Tanishk Bagchi, Akhil Sachdeva",Badrinath Ki Dulhania
2019,Best Music Director,"Amaal Mallik, Guru Randhawa, Rochak Kohli, Saurabh-Vaibhav, Yo Yo Honey Singh, Zack Knight",Sonu Ke Titu Ki Sweety
2020,Best Music Director,"Mithoon, Amaal Mallik, Vishal Mishra, Sachet–Parampara and Akhil Sachdeva",Kabir Singh
2021,Best Music Director,AWARDS FUNCTION WAS SUSPENDED DUE TO COVID-19 PANDEMIC,AWARDS FUNCTION WAS SUSPENDED DUE TO COVID-19 PANDEMIC
2022,Best Music Director,A.R. Rahman,Atrangi Re
2023,Best Music Director,Pritam,Brahmāstra: Part One – Shiva
2024,Best Music Director,"Pritam, Vishal Mishra, Manan Bhardwaj, Shreyas Puranik, Jaani, Bhupinder Babbal, Ashim Kemson, Harshavardhan Rameshwar",Animal
2025,Best Music Director,Ram Sampath,Laapataa Ladies
2000,Best Playback Singer Male,,Hum Dil De Chuke Sanam
2000,Best Playback Singer Male,,Taal
2001,Best Playback Singer Male,,Kaho Naa... Pyaar Hai
2001,Best Playback Singer Male,,Dhadkan
2001,Best Playback Singer Male,,Refugee
2001,Best Playback Singer Male,,Fiza
2002,Best Playback Singer Male,,Kabhi Khushi Kabhie Gham ‡
2002,Best Playback Singer Male,,Kabhi Khushi Kabhie Gham
2002,Best Playback Singer Male,,Dil Chahta Hai
2002,Best Playback Singer Male,,Gadar: Ek Prem Katha ‡
2002,Best Playback Singer Male,,Lagaan †
2003,Best Playback Singer Male,,Saathiya †
2004,Best Playback Singer Male,,Kal Ho Naa Ho †
2004,Best Playback Singer Male,,Baghban
2004,Best Playback Singer Male,,Jhankaar Beats
2004,Best Playback Singer Male,,Koi... Mil Gaya
2004,Best Playback Singer Male,,Tere Naam ‡
2005,Best Playback Singer Male,,Murder †
2005,Best Playback Singer Male,,Main Hoon Na ‡
2005,Best Playback Singer Male,,Aitraaz
2005,Best Playback Singer Male,,Mujhse Shaadi Karogi
2005,Best Playback Singer Male,,Swades
