year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1953,1954,1,Best Feature Film,BEST PICTURE,Marathi,Shyamchi Aai,False
1954,1955,1,Best Feature Film,BEST PICTURE,Hindi,Mirza Ghalib,False
1955,1956,2,Best Feature Film,BEST PICTURE,Bengali,Pather Panchali,False
1956,1957,3,Best Feature Film,BEST PICTURE,Bengali,Kabuliwala,False
1957,1958,4,Best Feature Film,BEST PICTURE,Hindi,Do Aankhen Barah Haath,False
1958,1959,5,Best Feature Film,BEST PICTURE,Bengali,Sagar Sangamey,False
1959,1960,6,Best Feature Film,BEST PICTURE,Bengali,Apur Sansar,False
1960,1961,7,Best Feature Film,BEST PICTURE,Hindi,Anuradha,False
1961,1962,8,Best Feature Film,BEST PICTURE,Bengali,Bhagini Nivedita,False
1962,1963,9,Best Feature Film,BEST PICTURE,Bengali,Dada Thakur,False
1963,1964,10,Best Feature Film,BEST PICTURE,Hindi,Shehar Aur Sapna,False
1964,1965,11,Best Feature Film,BEST PICTURE,Bengali,Charulata,False
1965,1966,12,Best Feature Film,BEST PICTURE,Malayalam,Chemmeen,False
1966,1967,13,Best Feature Film,BEST PICTURE,Hindi,Teesri Kasam,False
1967,1968,14,Best Feature Film,BEST PICTURE,Bengali,Hatey Bazarey,False
1968,1969,15,Best Feature Film,BEST PICTURE,Bengali,Goopy Gyne Bagha Byne,False
1969,1970,16,Best Feature Film,BEST PICTURE,Hindi,Bhuvan Shome,False
1970,1971,17,Best Feature Film,BEST PICTURE,Kannada,Samskara,False
1971,1972,18,Best Feature Film,BEST PICTURE,Bengali,Seemabaddha,False
1972,1973,19,Best Feature Film,BEST PICTURE,Malayalam,Swayamvaram,False
1973,1974,20,Best Feature Film,BEST PICTURE,Malayalam,Nirmalyam,False
1974,1975,21,Best Feature Film,BEST PICTURE,Bengali,Chorus,False
1975,1976,22,Best Feature Film,BEST PICTURE,Kannada,Chomana Dudi,False
1976,1977,23,Best Feature Film,BEST PICTURE,Hindi,Mrigayaa,False
1977,1978,24,Best Feature Film,BEST PICTURE,Kannada,Ghatashraddha,False
1978,1979,25,Best Feature Film,BEST PICTURE,,No Award,False
1979,1980,26,Best Feature Film,BEST PICTURE,Hindi,Shodh,False
1980,1981,27,Best Feature Film,BEST PICTURE,Bengali,Akaler Shandhaney,False
1981,1982,28,Best Feature Film,BEST PICTURE,Bengali,Dakhal,False
1982,1983,29,Best Feature Film,BEST PICTURE,Bengali,Chokh,False
1983,1984,30,Best Feature Film,BEST PICTURE,Sanskrit,Adi Shankaracharya,False
1984,1985,31,Best Feature Film,BEST PICTURE,Hindi,Damul,False
1985,1986,32,Best Feature Film,BEST PICTURE,Malayalam,Chidambaram,False
1986,1987,33,Best Feature Film,BEST PICTURE,Kannada,Tabarana Kathe,False
1987,1988,34,Best Feature Film,BEST PICTURE,Assamese,Halodhia Choraye Baodhan Khai,False
1988,1989,35,Best Feature Film,BEST PICTURE,Malayalam,Piravi,False
1989,1990,36,Best Feature Film,BEST PICTURE,Bengali,Bagh Bahadur,False
1990,1991,37,Best Feature Film,BEST PICTURE,Tamil,Marupakkam,False
1991,1992,38,Best Feature Film,BEST PICTURE,Bengali,Agantuk,False
1992,1993,39,Best Feature Film,BEST PICTURE,Sanskrit,Bhagavad Gita,False
1993,1994,40,Best Feature Film,BEST PICTURE,Bengali,Charachar,False
1994,1995,41,Best Feature Film,BEST PICTURE,Bengali,Unishe April,False
1995,1996,42,Best Feature Film,BEST PICTURE,Malayalam,Kathapurushan,False
1996,1997,43,Best Feature Film,BEST PICTURE,Bengali,Lal Darja,False
1997,1998,44,Best Feature Film,BEST PICTURE,Kannada,Thaayi Saheba,False
1998,1999,45,Best Feature Film,BEST PICTURE,Hindi,Samar,False
1999,2000,46,Best Feature Film,BEST PICTURE,Malayalam,Vanaprastham,False
2000,2001,47,Best Feature Film,BEST PICTURE,Malayalam,Shantham,False
2001,2002,48,Best Feature Film,BEST PICTURE,Kannada,Dweepa,False
2002,2003,49,Best Feature Film,BEST PICTURE,Bengali,Mondo Meyer Upakhyan,False
2003,2004,50,Best Feature Film,BEST PICTURE,Marathi,Shwaas,False
2004,2005,51,Best Feature Film,BEST PICTURE,Hindi,Page 3,False
2005,2006,52,Best Feature Film,BEST PICTURE,Bengali,Kaalpurush,False
2006,2007,53,Best Feature Film,BEST PICTURE,Malayalam,Pulijanmam,False
2007,2008,54,Best Feature Film,BEST PICTURE,Tamil,Kanchivaram,False
2008,2009,55,Best Feature Film,BEST PICTURE,Bengali,Antaheen,False
2009,2010,56,Best Feature Film,BEST PICTURE,Malayalam,Kutty Srank,False
2010,2011,57,Best Feature Film,BEST PICTURE,Malayalam,Adaminte Makan Abu,False
2011,2012,58,Best Feature Film,BEST PICTURE,Marathi,Deool,True
2011,2012,58,Best Feature Film,BEST PICTURE,Beary,Byari,True
2012,2013,59,Best Feature Film,BEST PICTURE,Hindi,Paan Singh Tomar,False
2013,2014,60,Best Feature Film,BEST PICTURE,English,Ship of Theseus,False
2014,2015,61,Best Feature Film,BEST PICTURE,Marathi,Court,False
2015,2016,62,Best Feature Film,BEST PICTURE,Telugu,Baahubali: The Beginning,False
2016,2017,63,Best Feature Film,BEST PICTURE,Marathi,Kaasav,False
2017,2018,64,Best Feature Film,BEST PICTURE,Assamese,Village Rockstars,False
2018,2019,65,Best Feature Film,BEST PICTURE,Gujarati,Hellaro,False
2019,2020,66,Best Feature Film,BEST PICTURE,Malayalam,Marakkar: Lion of the Arabian Sea,False
2020,2021,67,Best Feature Film,BEST PICTURE,Tamil,Soorarai Pottru,False
2021,2022,68,Best Feature Film,BEST PICTURE,Tamil,Rocketry: The Nambi Effect,False
2022,2023,69,Best Feature Film,BEST PICTURE,Malayalam,Aattam,False
2023,2024,70,Best Feature Film,BEST PICTURE,Hindi,12th Fail,False
1967,1968,14,Best Direction,DIRECTING,Satyajit Ray,Chiriyakhana,False
1968,1969,15,Best Direction,DIRECTING,Satyajit Ray,Goopy Gyne Bagha Byne,False
1969,1970,16,Best Direction,DIRECTING,Mrinal Sen,Bhuvan Shome,False
1970,1971,17,Best Direction,DIRECTING,Satyajit Ray,Pratidwandi,False
1971,1972,18,Best Direction,DIRECTING,B. V. Karanth,Vamsha Vriksha,False
1971,1972,18,Best Direction,DIRECTING,Girish Karnad,,False
1972,1973,19,Best Direction,DIRECTING,Adoor Gopalakrishnan,Swayamvaram,False
1973,1974,20,Best Direction,DIRECTING,Mani Kaul,Duvidha,False
1974,1975,21,Best Direction,DIRECTING,Satyajit Ray,Sonar Kella,False
1975,1976,22,Best Direction,DIRECTING,Satyajit Ray,Jana Aranya,False
1976,1977,23,Best Direction,DIRECTING,P. Lankesh,Pallavi,False
1977,1978,24,Best Direction,DIRECTING,G. Aravindan,Kanchana Sita,False
1978,1979,25,Best Direction,DIRECTING,G. Aravindan,Thampu,False
1979,1980,26,Best Direction,DIRECTING,Mrinal Sen,Ek Din Pratidin,False
1980,1981,27,Best Direction,DIRECTING,Mrinal Sen,Akaler Shandhaney,False
1981,1982,28,Best Direction,DIRECTING,Aparna Sen,36 Chowringhee Lane,False
1982,1983,29,Best Direction,DIRECTING,Utpalendu Chakrabarty,Chokh,False
1983,1984,30,Best Direction,DIRECTING,Mrinal Sen,Khandhar,False
1984,1985,31,Best Direction,DIRECTING,Adoor Gopalakrishnan,Mukhamukham,False
1985,1986,32,Best Direction,DIRECTING,Shyam Benegal,Trikal,False
1986,1987,33,Best Direction,DIRECTING,G. Aravindan,Oridathu,False
1987,1988,34,Best Direction,DIRECTING,Adoor Gopalakrishnan,Anantaram,False
1988,1989,35,Best Direction,DIRECTING,Shaji N. Karun,Piravi,False
1989,1990,36,Best Direction,DIRECTING,Adoor Gopalakrishnan,Mathilukal,False
1990,1991,37,Best Direction,DIRECTING,Tapan Sinha,Ek Doctor Ki Maut,False
1991,1992,38,Best Direction,DIRECTING,Satyajit Ray,Agantuk,False
1992,1993,39,Best Direction,DIRECTING,Goutom Ghosh,Padma Nadir Majhi,False
1993,1994,40,Best Direction,DIRECTING,T. V. Chandran,Ponthan Mada,False
1994,1995,41,Best Direction,DIRECTING,Jahnu Barua,Xagoroloi Bohudoor,False
1995,1996,42,Best Direction,DIRECTING,Saeed Akhtar Mirza,Naseem,False
1996,1997,43,Best Direction,DIRECTING,Agathiyan,Kadhal Kottai,False
1997,1998,44,Best Direction,DIRECTING,Jayaraj,Kaliyattam,False
1998,1999,45,Best Direction,DIRECTING,Rajeevnath,Janani,False
1999,2000,46,Best Direction,DIRECTING,Buddhadeb Dasgupta,Uttara,False
2000,2001,47,Best Direction,DIRECTING,Rituparno Ghosh,Utsab,False
2001,2002,48,Best Direction,DIRECTING,B. Lenin,Ooruku Nooruper,False
2002,2003,49,Best Direction,DIRECTING,Aparna Sen,Mr. and Mrs. Iyer,False
2003,2004,50,Best Direction,DIRECTING,Goutom Ghosh,Abar Aranye,False
2004,2005,51,Best Direction,DIRECTING,Buddhadeb Dasgupta,Swapner Din,False
2005,2006,52,Best Direction,DIRECTING,Rahul Dholakia,Parzania,False
2006,2007,53,Best Direction,DIRECTING,Madhur Bhandarkar,Traffic Signal,False
2007,2008,54,Best Direction,DIRECTING,Adoor Gopalakrishnan,Naalu Pennungal,False
2008,2009,55,Best Direction,DIRECTING,Bala,Naan Kadavul,False
2009,2010,56,Best Direction,DIRECTING,Rituparno Ghosh,Abohomaan,False
2010,2011,57,Best Direction,DIRECTING,Vetrimaaran,Aadukalam,False
2011,2012,58,Best Direction,DIRECTING,Gurvinder Singh,Anhe Ghore Da Daan,False
