year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2004,2005,1,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar ‡",Bhoot,False
2004,2005,1,"Best Actress","ACTRESS IN A LEADING ROLE","Bhoomika Chawla ‡","Tere Naam",False
2004,2005,1,"Best Actress","ACTRESS IN A LEADING ROLE","Perizaad Zorabian","Joggers' Park",False
2004,2005,1,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta †","Kal Ho Naa Ho",False
2004,2005,1,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar",Pinjar,False
2005,2006,2,"Best Actress","ACTRESS IN A LEADING ROLE","No award",--,False
2006,2007,3,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji †",Black,False
2006,2007,3,"Best Actress","ACTRESS IN A LEADING ROLE","Chitrangada Singh","Hazaaron Khwaishein Aisi",False
2006,2007,3,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji †","Hum Tum",False
2006,2007,3,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar","Maine Gandhi Ko Nahin Mara",False
2006,2007,3,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan ‡",Parineeta,False
2007,2008,4,"Best Actress","ACTRESS IN A LEADING ROLE","No award",--,False
2008,2009,5,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor †","Jab We Met",False
2008,2009,5,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡",Guru,False
2008,2009,5,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡","Laaga Chunari Mein Daag",False
2008,2009,5,"Best Actress","ACTRESS IN A LEADING ROLE","Shilpa Shetty","Life in a... Metro",False
2008,2009,5,"Best Actress","ACTRESS IN A LEADING ROLE",Tabu,"Cheeni Kum",False
2009,2010,6,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra †",Fashion,False
