year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1995,1996,2,"Best Film","BEST PICTURE","Sooraj Barjatya","Hum Aapke Hain Koun...!",False
1996,1997,3,"Best Film","BEST PICTURE","Yash Chopra","Dilwale Dulhania Le Jayenge",False
1997,1998,4,"Best Film","BEST PICTURE","Dharmesh Darshan","Raja Hindustani",False
1998,1999,5,"Best Film","BEST PICTURE","J. P. Dutta",Border,False
1999,2000,6,"Best Film","BEST PICTURE","Karan Johar","Kuch Kuch Hota Hai",False
2000,2001,7,"Best Film","BEST PICTURE","Sanjay Leela Bhansali","Hum Dil De Chuke Sanam",False
2001,2002,8,"Best Film","BEST PICTURE","Rakesh Roshan","Kaho Naa... Pyaar Hai",False
2002,2003,9,"Best Film","BEST PICTURE","Ashutosh Gowariker",Lagaan,False
2003,2004,10,"Best Film","BEST PICTURE","Bharat Shah",Devdas,False
2004,2005,11,"Best Film","BEST PICTURE","Rakesh Roshan","Koi... Mil Gaya",False
2005,2006,12,"Best Film","BEST PICTURE","Ashutosh Gowariker",Swades,False
2006,2007,13,"Best Film","BEST PICTURE","Sanjay Leela Bhansali",Black,False
2007,2008,14,"Best Film","BEST PICTURE","Vidhu Vinod Chopra","Lage Raho Munna Bhai",False
2008,2009,15,"Best Film","BEST PICTURE","Yash Chopra","Chak De! India",False
2009,2010,16,"Best Film","BEST PICTURE","Ashutosh Gowariker","Jodhaa Akbar",False
2010,2011,17,"Best Film","BEST PICTURE","Vidhu Vinod Chopra","3 Idiots",False
2011,2012,18,"Best Film","BEST PICTURE","Anurag Kashyap",Udaan,False
2012,2013,19,"Best Film","BEST PICTURE","Ekta Kapoor","The Dirty Picture",False
2012,2013,19,"Best Film","BEST PICTURE","Farhan Akhtar","Zindagi Na Milegi Dobara",False
2013,2014,20,"Best Film","BEST PICTURE","Ronnie Screwvala","Paan Singh Tomar",False
2014,2015,21,"Best Film","BEST PICTURE","Rakeysh Omprakash Mehra","Bhaag Milkha Bhaag",False
2015,2016,22,"Best Film","BEST PICTURE","Vikas Bahl",Queen,False
2016,2017,23,"Best Film","BEST PICTURE","Vishal Bhardwaj",Talvar,False
2017,2018,24,"Best Film","BEST PICTURE","Pawan Kumar & Rashmi Sharma",Pink,False
2018,2019,25,"Best Film","BEST PICTURE","Aamir Khan Productions",Dangal,False
2019,2020,26,"Best Film","BEST PICTURE","Dinesh Vijan & Raj Nidimoru and Krishna D.K.",Stree,False
2020,2021,27,"Best Film","BEST PICTURE","Excel Entertainment","Gully Boy",False
2026,2027,33,"Best Film","BEST PICTURE","Dharma Productions",Homebound,False
1995,1996,2,"Best Director",DIRECTING,"Sooraj R. Barjatya","Hum Aapke Hain Kaun",False
1996,1997,3,"Best Director",DIRECTING,"Aditya Chopra","Dilwale Dulhaniya Le Jayenge",False
1997,1998,4,"Best Director",DIRECTING,"Dharmesh Darshan","Raja Hindustani",False
1998,1999,5,"Best Director",DIRECTING,"J. P. Dutta",Border,False
1999,2000,6,"Best Director",DIRECTING,"Karan Johar","Kuch Kuch Hota Hai",False
2000,2001,7,"Best Director",DIRECTING,"Sanjay Leela Bhansali","Hum Dil De Chuke Sanam",False
2001,2002,8,"Best Director",DIRECTING,"Rakesh Roshan","Kaho Naa... Pyaar Hai",False
