Year,Category,Winner,Film
2003,Superstar of the Year Male,Vivek Oberoi,Road & Company
2004,Superstar of the Year Male,Shahid Kapoor,Ishq Vishk
2005,Superstar of the Year Male,John Abraham,Paap
2006,Superstar of the Year Male,Kunal Khemu,Kalyug
2007,Superstar of the Year Male,Shiney Ahuja,Gangster
2008,Superstar of the Year Male,Ranbir Kapoor,Saawariya
2009,Superstar of the Year Male,Farhan Akhtar,Rock On
2010,Superstar of the Year Male,Ranbir Kapoor,Wake Up Sid & Ajab Prem Ki Ghazab Kahani
2011,Superstar of the Year Male,Ranveer Singh,Band Baaja Baaraat
2012,Superstar of the Year Male,Ali Zafar,Mere Brother Ki Dulhan
2013,Superstar of the Year Male,Arjun Kapoor,Ishaqzaade
2014,Superstar of the Year Male,Tiger Shroff,Heropanti
2015,Superstar of the Year Male,Sooraj Pancholi,Hero
2016,Superstar of the Year Male,Harshvardhan Kapoor,Mirziya
2017,Superstar of the Year Male,Harshvardhan Rane,Sanam Teri Kasam
2016,Superstar of the Year Female,Disha Patani & Saiyami Kher,M.S. Dhoni: The Untold Story & Mirzya
2015,Superstar of the Year Female,Bhumi Pednekar,Dum Laga Ke Haisha
2014,Superstar of the Year Female,Alia Bhatt,Highway
2013,Superstar of the Year Female,Parineeti Chopra,Ishaqzaade
2012,Superstar of the Year Female,Parineeti Chopra,Ladies VS Ricky Bahl
2011,Superstar of the Year Female,Sonakshi Sinha,Dabangg
2010,Superstar of the Year Female,Mugdha Godse,Jail
2009,Superstar of the Year Female,Asin Thottumkal,Ghajini
2008,Superstar of the Year Female,Sonam Kapoor,Saawariya
2007,Superstar of the Year Female,Kangana Ranaut,Gangster
2006,Superstar of the Year Female,Vidya Balan,Parineeta
2005,Superstar of the Year Female,Priyanka Chopra,Mujhse Shaadi Karogi
2004,Superstar of the Year Female,Amrita Rao,Ishq Vishk
2003,Superstar of the Year Female,Antara Mali,Road & Company
2008,Best Film,,Jab We Met
2009,Best Film,,A Wednesday!
2010,Best Film,,Chintu Ji
2011,Best Film,,Love Sex aur Dhokha
2012,Best Film,,Ragini MMS
2013,Best Film,,Vicky Donor
2014,Best Film,,Queen
2017,Best Director,Saket Chaudhary,Hindi Medium
2016,Best Director,Karan Johar,Ae Dil Hai Mushkil
2015,Best Director,Kabir Khan,Bajrangi Bhaijaan
2014,Best Director,Imtiaz Ali Vikas Bahl,Highway Queen
2013,Best Director,Shoojit Sircar,Vicky Donor
2012,Best Director,Tigmanshu Dhulia,Saheb Biwi Aur Gangster
2011,Best Director,Karan Johar,My Name is Khan
2010,Best Director,Ranjit Kapoor,Chintu Ji
2009,Best Director,Neeraj Pandey,A Wednesday
