year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1998,1999,1,"Best Film","BEST PICTURE","Yash Raj Films","Dil To Pagal Hai ‡",False
1998,1999,1,"Best Film","BEST PICTURE","J. P. Films",Border,False
1998,1999,1,"Best Film","BEST PICTURE","Trimurti Films",Gupt,False
1998,1999,1,"Best Film","BEST PICTURE","Baba Films",Ishq,False
1998,1999,1,"Best Film","BEST PICTURE","Mukta Arts Ltd.",Pardes,False
1999,2000,2,"Best Film","BEST PICTURE","Dharma Productions","Kuch Kuch Hota Hai ‡",False
1999,2000,2,"Best Film","BEST PICTURE","Tips Industries","Jab Pyaar Kisise Hota Hai",False
1999,2000,2,"Best Film","BEST PICTURE","Pooja Entertainment, GS Worldwide Entertainment, Sohail Khan Productions","Pyaar Kiya To Darna Kya",False
1999,2000,2,"Best Film","BEST PICTURE","Baba Films","Pyaar To Hona Hi Tha",False
1999,2000,2,"Best Film","BEST PICTURE","RGV Production House",Satya,False
2000,2001,3,"Best Film","BEST PICTURE","SLB Films","Hum Dil De Chuke Sanam ‡",False
2000,2001,3,"Best Film","BEST PICTURE",,———,False
2001,2002,4,"Best Film","BEST PICTURE","Filmkraft Productions Pvt. Ltd","Kaho Naa... Pyaar Hai ‡",False
2001,2002,4,"Best Film","BEST PICTURE",,———,False
2002,2003,5,"Best Film","BEST PICTURE","Aamir Khan Productions","Lagaan ‡",False
2002,2003,5,"Best Film","BEST PICTURE",,———,False
2003,2004,6,"Best Film","BEST PICTURE","Mega Bollywood","Devdas ‡",False
2003,2004,6,"Best Film","BEST PICTURE",,———,False
2004,2005,7,"Best Film","BEST PICTURE","Filmkraft Productions Pvt. Ltd","Koi... Mil Gaya ‡",False
2004,2005,7,"Best Film","BEST PICTURE","B. R. Films",Baghban,False
2004,2005,7,"Best Film","BEST PICTURE","Dreamz Unlimited, UTV Motion Pictures","Chalte Chalte",False
2004,2005,7,"Best Film","BEST PICTURE","Dharma Productions","Kal Ho Naa Ho",False
2004,2005,7,"Best Film","BEST PICTURE","Vinod Chopra Films","Munna Bhai M.B.B.S.",False
2005,2006,8,"Best Film","BEST PICTURE","Yash Raj Films","Veer-Zaara ‡",False
2005,2006,8,"Best Film","BEST PICTURE",,———,False
2006,2007,9,"Best Film","BEST PICTURE","SLB Films, Applause Entertainment","Black ‡",False
2006,2007,9,"Best Film","BEST PICTURE","Prakash Jha Productions",Apaharan,False
2006,2007,9,"Best Film","BEST PICTURE","Yash Raj Films","Bunty Aur Babli",False
2006,2007,9,"Best Film","BEST PICTURE","Sahara One Motion Pictures","No Entry",False
2006,2007,9,"Best Film","BEST PICTURE","Vinod Chopra Films",Parineeta,False
2006,2007,9,"Best Film","BEST PICTURE","Yash Raj Films","Salaam Namaste",False
2006,2007,9,"Best Film","BEST PICTURE","RGV Film Company",Sarkar,False
2007,2008,10,"Best Film","BEST PICTURE","Rakeysh Omprakash Mehra Pictures","Rang De Basanti ‡",False
2007,2008,10,"Best Film","BEST PICTURE","Dharma Productions","Kabhi Alvida Naa Kehna",False
2007,2008,10,"Best Film","BEST PICTURE","Filmkraft Productions Pvt. Ltd",Krrish,False
2007,2008,10,"Best Film","BEST PICTURE","Vinod Chopra Films","Lage Raho Munna Bhai",False
2007,2008,10,"Best Film","BEST PICTURE","Shemaroo Entertainment",Omkara,False
2007,2008,10,"Best Film","BEST PICTURE","Rajshri Productions",Vivah,False
2008,2009,11,"Best Film","BEST PICTURE","Yash Raj Films","Chak De! India ‡",False
2008,2009,11,"Best Film","BEST PICTURE","Madras Talkies",Guru,False
2008,2009,11,"Best Film","BEST PICTURE","Shree Ashtavinayak Cine Vision","Jab We Met",False
2008,2009,11,"Best Film","BEST PICTURE","Ishana Movies","Life in a... Metro",False
2008,2009,11,"Best Film","BEST PICTURE","Red Chillies Entertainment","Om Shanti Om",False
2008,2009,11,"Best Film","BEST PICTURE","Aamir Khan Productions","Taare Zameen Par",False
2009,2010,12,"Best Film","BEST PICTURE",,"Not Awarded",False
2010,2011,13,"Best Film","BEST PICTURE",,"Not Awarded",False
2011,2012,14,"Best Film","BEST PICTURE","Shree Ashtavinayak Cine Vision, Arbaaz Khan Productions","Dabangg ‡",False
2011,2012,14,"Best Film","BEST PICTURE","Shree Ashtavinayak Cine Vision","Golmaal 3",False
2011,2012,14,"Best Film","BEST PICTURE","Dharma Productions, Red Chillies Entertainment","My Name Is Khan",False
2011,2012,14,"Best Film","BEST PICTURE","Balaji Motion Pictures","Once Upon a Time in Mumbaai",False
2011,2012,14,"Best Film","BEST PICTURE","Aamir Khan Productions","Peepli Live",False
2011,2012,14,"Best Film","BEST PICTURE","Prakash Jha Productions, Walkwater Media Ltd",Raajneeti,False
2012,2013,15,"Best Film","BEST PICTURE","Excel Entertainment","Zindagi Na Milegi Dobara ‡",False
2012,2013,15,"Best Film","BEST PICTURE","Reel Life Productions",Bodyguard,False
2012,2013,15,"Best Film","BEST PICTURE","Excel Entertainment, Red Chillies Entertainment","Don 2",False
2012,2013,15,"Best Film","BEST PICTURE","Eros International, Shree Ashtavinayak Cine Vision",Rockstar,False
2012,2013,15,"Best Film","BEST PICTURE","Reliance Entertainment",Singham,False
2012,2013,15,"Best Film","BEST PICTURE","Balaji Motion Pictures","The Dirty Picture",False
2013,2014,16,"Best Film","BEST PICTURE","UTV Motion Pictures, Ishana Movies","Barfi! ‡",False
2013,2014,16,"Best Film","BEST PICTURE","Dharma Productions",Agneepath,False
2013,2014,16,"Best Film","BEST PICTURE","Hope Productions","English Vinglish",False
2013,2014,16,"Best Film","BEST PICTURE","Boundscript Motion Pictures",Kahaani,False
2013,2014,16,"Best Film","BEST PICTURE","UTV Spotboy","Paan Singh Tomar",False
2014,2015,17,"Best Film","BEST PICTURE","Red Chillies Entertainment, UTV Motion Pictures","Chennai Express ‡",False
2014,2015,17,"Best Film","BEST PICTURE","T-Series Films, Vishesh Films","Aashiqui 2",False
2014,2015,17,"Best Film","BEST PICTURE","ROMP Pictures","Bhaag Milkha Bhaag",False
2014,2015,17,"Best Film","BEST PICTURE","Yash Raj Films","Dhoom 3",False
2014,2015,17,"Best Film","BEST PICTURE","Eros International, Bhansali Productions","Goliyon Ki Raasleela Ram-Leela",False
2014,2015,17,"Best Film","BEST PICTURE","Dharma Productions","Yeh Jawaani Hai Deewani",False
2015,2016,18,"Best Film","BEST PICTURE",,"Not Awarded",False
2016,2017,19,"Best Film","BEST PICTURE","Rockline Entertainments, Salman Khan Films","Bajrangi Bhaijaan ‡",False
2016,2017,19,"Best Film","BEST PICTURE","Friday Filmworks, T-Series Films, Cape Of Good Films, Crouching Tiger",Baby,False
2016,2017,19,"Best Film","BEST PICTURE","Maddock Films",Badlapur,False
2016,2017,19,"Best Film","BEST PICTURE","Eros International, Amber Entertainment, Bhansali Productions","Bajirao Mastani",False
2016,2017,19,"Best Film","BEST PICTURE","MSM Motion Pictures, Rising Sun Films, Saraswati Entertainment Creations",Piku,False
2016,2017,19,"Best Film","BEST PICTURE","Colour Yellow Productions","Tanu Weds Manu: Returns",False
2017,2018,20,"Best Film","BEST PICTURE","T-Series Films, Hari Om Entertainment, Cape of Good Films, Emmay Entertainment, Abundatia Entertainment, Viacom18 Motion Pictures","Airlift ‡",False
2017,2018,20,"Best Film","BEST PICTURE","Friday Filmworks, Fox Star Studios, Inspired Entertainment","M.S. Dhoni: The Untold Story",False
2017,2018,20,"Best Film","BEST PICTURE","Fox Star Studios, Bling Unplugged",Neerja,False
2017,2018,20,"Best Film","BEST PICTURE","Rising Sun Films",Pink,False
2017,2018,20,"Best Film","BEST PICTURE","Fox Star Studios, Dharma Productions","Kapoor & Sons",False
2017,2018,20,"Best Film","BEST PICTURE","Yash Raj Films",Sultan,False
2018,2019,21,"Best Film","BEST PICTURE","Viacom 18 Motion Pictures, KriArj Entertainment, Friday Filmworks, Plan C Studios, Cape of Good Films","Toilet: Ek Prem Katha ‡",False
2018,2019,21,"Best Film","BEST PICTURE","Dharma Productions","Badrinath Ki Dulhania",False
2018,2019,21,"Best Film","BEST PICTURE","Reliance Entertainment, Rohit Shetty Picturez, Mangal Murti Films","Golmaal Again",False
2018,2019,21,"Best Film","BEST PICTURE","Maddock Films, T-Series Films","Hindi Medium",False
2018,2019,21,"Best Film","BEST PICTURE","Fox Star Studios","Jolly LLB 2",False
2018,2019,21,"Best Film","BEST PICTURE","Aamir Khan Productions, Zee Studios","Secret Superstar",False
2019,2020,22,"Best Film","BEST PICTURE","Vinod Chopra Films, Rajkumar Hirani Films","Sanju ‡",False
2019,2020,22,"Best Film","BEST PICTURE","Junglee Pictures, Chrome Pictures, Sradvn Production","Badhaai Ho",False
2019,2020,22,"Best Film","BEST PICTURE","Bhansali Productions, Viacom 18 Motion Pictures",Padmaavat,False
2019,2020,22,"Best Film","BEST PICTURE","Dharma Productions, Reliance Entertainment, Rohit Shetty Picturez",Simmba,False
2019,2020,22,"Best Film","BEST PICTURE","T-Series Films, Luv Films","Sonu Ke Titu Ki Sweety",False
2019,2020,22,"Best Film","BEST PICTURE","Maddock Films, D2R Films",Stree,False
2020,2021,23,"Best Film","BEST PICTURE","Excel Entertainment, Tiger Baby Films","Gully Boy ‡",False
2020,2021,23,"Best Film","BEST PICTURE","Dharma Productions, Cape of Good Films, Zee Studios","Good Newwz",False
2020,2021,23,"Best Film","BEST PICTURE","Balaji Motion Pictures","Dream Girl",False
2020,2021,23,"Best Film","BEST PICTURE","T-Series, Cine1 Studios","Kabir Singh",False
2020,2021,23,"Best Film","BEST PICTURE","RSVP Movies","Uri: The Surgical Strike",False
2020,2021,23,"Best Film","BEST PICTURE","Yash Raj Films",War,False
2021,2022,24,"Best Film","BEST PICTURE",,"Not Awarded due to COVID-19",False
2023,2024,26,"Best Film","BEST PICTURE","Zee Studios","The Kashmir Files ‡",False
2023,2024,26,"Best Film","BEST PICTURE",T-Series,"Bhool Bhulaiyaa 2",False
2023,2024,26,"Best Film","BEST PICTURE","Dharma Productions","Brahmāstra: Part One – Shiva",False
2023,2024,26,"Best Film","BEST PICTURE","Panorama Studios, Viacom18 Studios, T-Series Films","Drishyam 2",False
2023,2024,26,"Best Film","BEST PICTURE","Bhansali Productions, Pen India Limited","Gangubai Kathiawadi",False
2023,2024,26,"Best Film","BEST PICTURE","Dharma Productions","Jugjugg Jeeyo",False
2024,2025,27,"Best Film","BEST PICTURE","Zee Studios","Gadar 2 ‡",False
2024,2025,27,"Best Film","BEST PICTURE","Vinod Chopra Films, Zee Studios","12th Fail",False
2024,2025,27,"Best Film","BEST PICTURE","T-Series, Bhadrakali Pictures, Cine1 Studios",Animal,False
2024,2025,27,"Best Film","BEST PICTURE","Red Chillies Entertainment",Jawan,False
2024,2025,27,"Best Film","BEST PICTURE","Yash Raj Films",Pathaan,False
2024,2025,27,"Best Film","BEST PICTURE","Dharma Productions, Viacom18 Studios","Rocky Aur Rani Kii Prem Kahaani",False
2025,2026,28,"Best Film","BEST PICTURE","Maddock Films","Stree 2 ‡",False
2025,2026,28,"Best Film","BEST PICTURE","T-Series, Cine1 Studios","Bhool Bhulaiyaa 3",False
