award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
SIIMA Awards,2011 (1st),,Best Film,Ko,RS Infotainment,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2011 (1st),,Best Film,Aadukalam,"Group Companys, Five Star Films/ Sun Pictures /S. Kathiresan",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2011 (1st),,Best Film,Azhagarsamiyin Kuthirai,Escape Artists Motion Pictures /P. Madhan,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2011 (1st),,Best Film,Engeyum Eppothum,AR Murugadoss Productions/ A. R. Murugadoss,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2011 (1st),,Best Film,Mayakkam Enna,"Aum Productions/ Selvaraghavan , M. Prasad",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2012 (2nd),,Best Film,Kumki,Thirupathi Brothers,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2012 (2nd),,Best Film,Pizza,Thirukumaran Entertainment,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2012 (2nd),,Best Film,Sundarapandian,Company Productions,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2012 (2nd),,Best Film,Thuppakki,V Creations,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2012 (2nd),,Best Film,Vazhakku Enn 18/9,Thirupathi Brothers,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2013 (3rd),,Best Film,Soodhu Kavvum,Thirukumaran Entertainment,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2013 (3rd),,Best Film,Paradesi,B Studios,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2013 (3rd),,Best Film,Raja Rani,"A.R Murugadoss Productions, The Next Big Film, Fox Star Studios",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2013 (3rd),,Best Film,Singam II,Prince Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2013 (3rd),,Best Film,Vishwaroopam,Raaj Kamal Films International,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2014 (4th),,Best Film,Kaththi,Lyca Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2014 (4th),,Best Film,Goli Soda,Roughnote Productions,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2014 (4th),,Best Film,Jigarthanda,Group Company,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2014 (4th),,Best Film,Madras,Studio Green,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2014 (4th),,Best Film,Velaiyilla Pattathari,Wunderbar Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2015 (5th),,Best Film,Thani Oruvan,AGS Entertainment,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2015 (5th),,Best Film,I,Aascar Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2015 (5th),,Best Film,Kaaka Muttai,"Wunderbar Films , Grass Root Film Company",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2015 (5th),,Best Film,Naanum Rowdy Dhaan,Wunderbar Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2015 (5th),,Best Film,OK Kanmani,Madras Talkies,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2016 (6th),,Best Film,Irudhi Suttru,YNOT Studios,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2016 (6th),,Best Film,Joker,Dream Warrior Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2016 (6th),,Best Film,Pichaikkaran,Vijay Antony Film Corporation,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2016 (6th),,Best Film,Theri,V Creations,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2016 (6th),,Best Film,Visaranai,"Wunderbar Films , Grass Root Film Company",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2017 (7th),,Best Film,Vikram Vedha,YNOT Studios,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2017 (7th),,Best Film,Aramm,KJR Studios,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2017 (7th),,Best Film,Aruvi,Dream Warrior Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2017 (7th),,Best Film,Mersal,Thenandal Studio Limited,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2017 (7th),,Best Film,Theeran Adhigaaram Ondru,Dream Warrior Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2018 (8th),,Best Film,Pariyerum Perumal,Neelam Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2018 (8th),,Best Film,96,Madras Enterprises,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2018 (8th),,Best Film,Kadaikutty Singam,2D Entertainment,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2018 (8th),,Best Film,Sarkar,Sun Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2018 (8th),,Best Film,Vada Chennai,Wunderbar Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2019 (9th),,Best Film,Kaithi,Dream Warrior Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2019 (9th),,Best Film,Peranbu,Shree Rajalakshmi Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2019 (9th),,Best Film,Asuran,V Creations,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2019 (9th),,Best Film,Namma Veettu Pillai,Sun Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2019 (9th),,Best Film,Viswasam,Sathya Jyothi Films,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Sarpatta Parambarai,Neelam Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Doctor,KJR Studios,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Karnan,V Creations,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Maanaadu,V House Productions,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Mandela,YNOT Studios,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2021 (10th),,Best Film,Thalaivii,"Vibri Motion Pictures , Karma Media",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2022 (11th),,Best Film,Ponniyin Selvan: I,"Madras Talkies , Lyca Productions",,Winner,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2022 (11th),,Best Film,Love Today,AGS Entertainment,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2022 (11th),,Best Film,Rocketry: The Nambi Effect,"Tricolour Films, Varghese Moolan Pictures, 27th Entertainment",,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2022 (11th),,Best Film,Thiruchitrambalam,Sun Pictures,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
SIIMA Awards,2022 (11th),,Best Film,Vikram,Raaj Kamal Films International,,Nominee,Tamil,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Tamil
