award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Sun Kudumbam Virudhugal,2010,,Best Actor,Radhika,Arasi,ArasiSelvi,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2010,,Best Serial,Thirumathi Selvam,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2010,,Special Jury Award,Delhi Kumar,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2010,,Special Jury Award,Chetan,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2010,,Special Jury Award,Radhika,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2010,,Special Jury Award,Vadivukkarasi,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2012,,Best Serial,Best Son-in-law,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2012,,Special Jury Award,Best Daughter-in-law,,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Best Serial,"Sathish - ""Manokar"" from Athipookal",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Best Serial,"Deepak Dinkar - ""Thamilarasu"" from Thendral",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Best Serial,"Sharavan - "" Laksupathi "" from Uthiripookkal",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Best Serial,"Shreekumar - ""Shekhar"" from Pillai Nila",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Special Jury Award,"Srithika - ""Malar"" from Nadhaswaram",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
Sun Kudumbam Virudhugal,2014,,Special Jury Award,"Sujitha - ""Meenatchi"" from Maruthani",,,Winner,Tamil,https://en.wikipedia.org/wiki/Sun_Kudumbam_Viruthugal
