award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Tamil Nadu State Film Awards,1967,,Best Film,Kaavalkaaran,Sathya Movies,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1967,,Best Film,Aalayam,Sunbeam Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1967,,Best Film,Bama Vijayam §,Manohar Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1968,,Best Film,Uyarndha Manithan,AVM Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1968,,Best Film,Thillana Mohanambal,Shri Vijayalakshmi Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1968,,Best Film,Thamarai Nenjam §,Bama Films,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1969,,Best Film,Adimaippenn,MGR Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1969,,Best Film,Akka Thangai,Dhandayuthapani Films,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1969,,Best Film,Deiva Magan §,Shanti Films,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1970,,Best Film,Vietnam Veedu,Sivaji Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1970,,Best Film,Thedi Vandha Mappillai,Padmini Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1970,,Best Film,Namma Kuzhanthaigal §,Suresh Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1971,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1972,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1973,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1974,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1975,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1976,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1977,,Best Film,16 Vayathinile,S. A. Rajkannu,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1977,,Best Film,Madhurageetham,Sri Venkatalakshmi Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1977,,Best Film,Bala Pareetchai §,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1978,,Best Film,Mullum Malarum,Venu Chettiyar,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1978,,Best Film,Aval Appadithan,Kumar Arts,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1978,,Best Film,Ilamai Oonjal Aadukirathu §,Kannaiyaa,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1979,,Best Film,Pasi,Lalitha,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1979,,Best Film,Puthiya Vaarpugal,Manoj Creations,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1979,,Best Film,Thisai Maariya Paravaigal §,P.S.V. Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1980,,Best Film,Varumayin Niram Sivappu,R. Venkatraman,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1980,,Best Film,Nenjathai Killathe,K. Rajgopal Chetty,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1980,,Best Film,Vandichakkaram §,Vivekananda Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1981,,Best Film,Alaigal Oivathillai,R. K. Bhaskar,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1981,,Best Film,Keezh Vaanam Sivakkum,Muktha Films,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1981,,Best Film,Moondram Pirai §,G. Thyagarajan,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1982,,Best Film,Enkeyo Ketta Kural,P. A. Art Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1982,,Best Film,Agni Sakshi,Kavithalayaa Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1982,,Best Film,Ezhavathu Manithan §,Lata Creations,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1983,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1984,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1985,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1986,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1987,,Best Film,No Award,,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1988,,Best Film,Poo Pootha Nandavanam,Sri Amman Creation,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1988,,Best Film,Paasa Paravaigal,Poompuhar Production,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1988,,Best Film,Agni Natchathiram §,G. Venkateswaran,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1989,,Best Film,Pudhea Paadhai,A. Sundaram,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1989,,Best Film,Pudhu Pudhu Arthangal,Kavithalayaa Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1989,,Best Film,Nyaya Tharasu §,Menaka Pictures,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1990,,Best Film,Pudhu Vasantham,"R. B. Chowdary, R. Mohan",,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1990,,Best Film,Keladi Kanmani,A. Sundaram,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1990,,Best Film,Kizhakku Vasal §,G. Thyagarajan,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1991,,Best Film,Chinna Thambi,K. Balu,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1991,,Best Film,En Rasavin Manasile,Rajkiran,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1991,,Best Film,Gunaa §,Alamelu Subramaniam,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1992,,Best Film,Roja,Kavithalayaa Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1992,,Best Film,Thevar Magan,Kamal Haasan,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1992,,Best Film,Chinna Gounder §,"Venu Chettiyar, V. Mohan, V. Natarajan",,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1993,,Best Film,Jathi Malli,Kavithalayaa Productions,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1993,,Best Film,Pathini Penn,Best Friends Creations,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1993,,Best Film,Gokulam §,R. B. Choudary,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1994,,Best Film,Naatamai,R. B. Choudary,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1994,,Best Film,Nammavar,B. Venkatarama Reddy,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1994,,Best Film,Pavithra §,K. Subash,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1995,,Best Film,Anthimanthaarai,"Chandraleela Bharathiraja, Thilaka Ganesh",,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1995,,Best Film,Kolangal,Henry,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1995,,Best Film,Avatharam §,Vaidyanathan,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1996,,Best Film,Indian,A. M. Rathnam,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1996,,Best Film,Kadhal Kottai,Sivashakthi Pandian,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1996,,Best Film,Purushan Pondatti §,P. K. Yadav,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1997,,Best Film,Arunachalam † Suryavamsam,Annamalai Cine Combines R. B. Choudary,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1997,,Best Film,Porkkaalam,"M. Kaja Mydeen, V. Gnanavelu, V. Jaya Prakash",,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1997,,Best Film,Arasiyal §,Motherland Movies Internationals,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1998,,Best Film,Natpukkaga,A. M. Rathnam,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1998,,Best Film,Marumalarchi,Henry,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1998,,Best Film,Unnidathil Ennai Koduthen §,Lakshmi Movie Makers,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1999,,Best Film,Padayappa,Arunachala Cine Creations,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1999,,Best Film,Thullatha Manamum Thullum,R. B. Choudary,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,1999,,Best Film,Ethirum Puthirum §,G. S. Madhu,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
Tamil Nadu State Film Awards,2000,,Best Film,Vanathai Pola,V. Ravichandran,,Winner,Tamil,https://en.wikipedia.org/wiki/Tamil_Nadu_State_Film_Award_for_Best_Film
