award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Vijay Awards,2017,,Best Film,Aruvi,S.R.Prabhu,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2014,,Best Film,Velaiilla Pattadhari,Dhanush,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2013,,Best Film,Thanga Meenkal,Gautham Menon,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2012,,Best Film,Vazhakku Enn 18/9,Thirrupathi Brothers,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2011,,Best Film,Engaeyum Eppothum,A.R.Murugadoss Productions and Fox Star Studio,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2010,,Best Film,Angadi Theru,Ayngaran International,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2009,,Best Film,Naadodigal,Michael Rayappan,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2008,,Best Film,Subramaniyapuram,M. Sasikumar,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2007,,Best Film,Paruthi Veeran,Gnanavel Raja,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Film
Vijay Awards,2017,,Best Director,Pushkar-Gayathri,Vikram Vedha,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2014,,Best Director,Karthik Subbaraj,Jigarthanda,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2013,,Best Director,Bala,Paradesi,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2012,,Best Director,Balaji Sakthivel,Vazhakku Enn 18/9,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2011,,Best Director,Vetrimaaran,Aadukalam,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2010,,Best Director,Vasanthabalan,Angadi Theru,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2009,,Best Director,Bala,Naan Kadavul,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2008,,Best Director,M. Sasikumar,Subramaniyapuram,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2007,,Best Director,Vetrimaran,Polladhavan,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Director
Vijay Awards,2017,,Best Actress,Nayanthara,Aramm,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2014,,Best Actress,Amala Paul,Velaiyilla Pattathari,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2013,,Best Actress,Nayanthara,Raja Rani,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2012,,Best Actress,Samantha Ruth Prabhu,Neethane En Ponvasantham,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2011,,Best Actress,Anjali,Engaeyum Eppothum,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2010,,Best Actress,Anjali,Angadi Theru,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2009,,Best Actress,Pooja Umashanker,Naan Kadavul,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2008,,Best Actress,Sneha,Pirivom Santhippom,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
Vijay Awards,2007,,Best Actress,Priyamani,Paruthiveeran,,Winner,Tamil,https://en.wikipedia.org/wiki/Vijay_Award_for_Best_Actress
