award_show,category,year,winner,film,notes
ARY Film Awards,Best Film Jury,2014,Zinda Bhaag,,
ARY Film Awards,Best Director Jury,2014,Bilal Lashari,Waar,
ARY Film Awards,Best Actor Jury,2014,Humayun Saeed,Main Hoon Shahid Afridi,
ARY Film Awards,Best Actress Jury,2014,Amna Ilyas,Zinda Bhaag,
ARY Film Awards,Best Film Viewers Choice,2014,Waar,,
ARY Film Awards,Best Director Viewers Choice,2014,Bilal Lashari,Waar,
ARY Film Awards,Best Actor Viewers Choice,2014,Shaan Shahid,Waar,
ARY Film Awards,Best Actress Viewers Choice,2014,Ayesha Khan,Waar,
ARY Film Awards,Best Supporting Actor,2014,Hamza Ali Abbasi,Waar,
ARY Film Awards,Best Supporting Actress,2014,Misha Shafi,Waar,
ARY Film Awards,Best Star Debut Male,2014,Hamza Ali Abbasi,Main Hoon Shahid Afridi,
ARY Film Awards,Best Star Debut Female,2014,Ayesha Khan,Waar,
ARY Film Awards,Best Actor in a Comic Role,2014,Ismail Tara,Main Hoon Shahid Afridi,
ARY Film Awards,Best Actor in a Negative Role,2014,Shamoon Abbasi,Waar,
ARY Film Awards,Best Independent Film,2014,Lamha,,
ARY Film Awards,Best Original Music,2014,Shani and Kami,Main Hoon Shahid Afridi,
ARY Film Awards,Best Male Playback Singer,2014,Rahat Fateh Ali Khan,Zinda Bhaag,
ARY Film Awards,Best Female Playback Singer,2014,Abida Parveen,Ishq Khuda,
ARY Film Awards,Best Story,2014,Meenu Gaur and Farjad Nabi,Zinda Bhaag,
ARY Film Awards,Best Screenplay,2014,Osman Khalid Butt,Siyaah,
ARY Film Awards,Best Dialogue,2014,Vasay Chaudhry,Main Hoon Shahid Afridi,
ARY Film Awards,Best Action,2014,Hassan Waqas Rana,Waar,
ARY Film Awards,Best Background Score,2014,Sahir Ali Bagga,Zinda Bhaag,
ARY Film Awards,Best Cinematography,2014,Bilal Lashari,Waar,
ARY Film Awards,Best Makeup and Hairstyling,2014,Nabila,Main Hoon Shahid Afridi,
ARY Film Awards,Best Costume Design,2014,Sarah Gandapur,Chambaili,
ARY Film Awards,Best Special Effects,2014,Hassan Waqas Rana,Waar,
ARY Film Awards,Best Editing,2014,Bilal Lashari,Waar,
ARY Film Awards,Best Choreography,2014,Pappu Samrat,Main Hoon Shahid Afridi,
ARY Film Awards,Best Film Jury,2016,Jawani Phir Nahi Ani,,
ARY Film Awards,Best Director Jury,2016,Nadeem Baig,Jawani Phir Nahi Ani,
ARY Film Awards,Best Actor Jury,2016,Sarmad Sultan Khoosat,Manto,
ARY Film Awards,Best Actress Jury,2016,Sania Saeed,Manto,
ARY Film Awards,Best Film Viewers Choice,2016,Jawani Phir Nahi Ani,,
ARY Film Awards,Best Director Viewers Choice,2016,Nadeem Baig,Jawani Phir Nahi Ani,
ARY Film Awards,Best Actor Viewers Choice,2016,Humayun Saeed,Jawani Phir Nahi Ani,
ARY Film Awards,Best Actress Viewers Choice,2016,Sohai Ali Abro,Jawani Phir Nahi Ani,
ARY Film Awards,Best Supporting Actor,2016,Hamza Ali Abbasi,Jawani Phir Nahi Ani,
ARY Film Awards,Best Supporting Actress,2016,Ayesha Khan,Jawani Phir Nahi Ani,
ARY Film Awards,Best Star Debut Male,2016,Danish Taimoor,Jalaibee,
ARY Film Awards,Best Star Debut Female,2016,Ayesha Omer,Karachi Se Lahore,
ARY Film Awards,Best Actor in a Comic Role,2016,Ahmed Ali Butt,Jawani Phir Nahi Ani,
ARY Film Awards,Best Actor in a Negative Role,2016,Ayaz Samoo,Moor,
ARY Film Awards,Best Male Playback Singer,2016,Rahat Fateh Ali Khan,Halla Gulla,
ARY Film Awards,Best Female Playback Singer,2016,Sara Raza Khan,Wrong No.,
ARY Film Awards,Best Background Score,2016,Strings,Moor,
ARY Film Awards,Best Original Music,2016,Shani Arshad,Jawani Phir Nahi Ani,
ARY Film Awards,Best Story,2016,Vasay Chaudhry,Jawani Phir Nahi Ani,
ARY Film Awards,Best Screenplay,2016,Vasay Chaudhry,Jawani Phir Nahi Ani,
ARY Film Awards,Best Dialogue,2016,Vasay Chaudhry,Jawani Phir Nahi Ani,
ARY Film Awards,Best Action,2016,Viktor Krav,Jawani Phir Nahi Ani,
ARY Film Awards,Best Cinematography,2016,Farhan Hafeez,Moor,
ARY Film Awards,Best Choreography,2016,Shabina Khan,Jawani Phir Nahi Ani,
ARY Film Awards,Best Makeup and Hairstyling,2016,Nabila,Jawani Phir Nahi Ani,
ARY Film Awards,Best Costume Design,2016,Jahanzeb Qamar and Nabila,Jawani Phir Nahi Ani,
ARY Film Awards,Best Film Editing,2016,Rizwan AQ,Jawani Phir Nahi Ani,
ARY Film Awards,Best Special Effects Visual,2016,Tahir Moosa,Moor,
