award_show,category,year,winner,film,notes
Hum Style Awards,Best Drama Serial,2013,Shehr-e-Zaat,"Momina Duraid, Asad Qureshi and Abdullah Kadwani",Mere Qatil Mere Dildar – Momina Duraid Maat – Amna Nawaz Khan Roshan Sitara – Abdullah Kadwani and Humayun Saeed Yahan Pyar Nahi Hai – Syed Afzal Ali Bari Aapa – Momina Duraid
Hum Style Awards,Best Director Drama Serial,2013,Farooq Rind,Sanjha,Sarmad Sultan Khoosat –Shehr-e-Zaat Fahim Burney –Yahan Pyar Nahi Hai Amna Nawaz Khan –Maat Asim Ali –Mere Qatil Mere Dildar Siraj ul Haq –Roshan Sitara Haissam Hussain –Durr-e-Shahwar Mehreen Jabbar 
Hum Style Awards,Best Actor,2013,Noman Ejaz,Bari Aapa,Ahsan Khan –Mere Qatil Mere Dildar Adnan Siddiqui –Mere Qatil Mere Dildar Mikaal Zulfiqar –Shehr-e-Zaat Imran Aslam –Sanjha Faisal Rehman –Zard Mausam
Hum Style Awards,Best Actress,2013,Mahira Khan,Shehr-e-Zaat,Mehwish Hayat –Mere Qatil Mere Dildar Saba Qamar –Yahan Pyar Nahi Hai Saba Qamar –Maat Aamina Sheikh –Maat Sanam Baloch –Roshan Sitara Sania Saeed –Zard Mausam Savera Nadeem –Bari Aapa
Hum Style Awards,Best Supporting Actor,2013,Mohib Mirza,Shehr-e-Zaat,Kashif Mehmood – Bilqees Kaur Imran Aslam – Mohabbat Jaye Bhar Mein Rehan Sheikh – Sanjha Babar Khan – Ek Tamanna Lahasil Si
Hum Style Awards,Best Supporting Actress,2013,Shagufta Ejaz,Mere Qatil Mere Dildar,Samina Peerzada – Roshan Sitara Saba Hameed – Ek Tamanna Lahasil Si Sadia Imam – Bilqees Kaur Sajjal Ali – Mere Qatil Mere Dildar Hina Dilpazeer – Mohabbat Jaye Bhar Mein
Hum Style Awards,Best Soap Actor,2013,Imran Aslam,Nikhar Gaye Gulab Sare,Danish Taimoor – Raju Rocket Farhan Ali Agha – Mar Jain Bhi To Kya Junaid Khan – Mujhay Roothnay Na Daina
Hum Style Awards,Best Soap Actress,2013,Sumbul Iqbal,Raju Rocket,Komal Rizvi – Mujhay Roothnay Na Daina Arij Fatyma – Mar Jain Bhi To Kya Mawra Hocane – Nikhar Gaye Gulab Sare
Hum Style Awards,Best Comic Actor,2013,Uroosa Siddiqui,Fun Khana,Ismail Tara – One Way Ticket Danish Nawaz – Extras (The Mango People) Barkat Ali Siddiqui – Halka Na Lo
Hum Style Awards,Best Comic Sitcom,2013,Danish Nawaz,Extras (The Mango People),Samina Ahmad – One Way Ticket Salman Abbas (Nomi) – Halka Na Lo Momina Duraid – Fun Khana
Hum Style Awards,Best Drama Series,2013,Kitni Girhain Baqi Hain,Angeline Malik (Solo Nominee),
