award_show,category,year,winner,film,notes
IPPA Awards,Best Drama,2017,Udaari,,1st IPPA
IPPA Awards,Best Film,2017,Actor in Law,,1st IPPA
IPPA Awards,Best Actor,2017,Ahsan Khan,,1st IPPA
IPPA Awards,Best Actress,2017,Aisha Khan,,1st IPPA
IPPA Awards,Best Director,2017,Mohammed Ehteshamuddin,,1st IPPA
IPPA Awards,Best Supporting Actor,2017,Gohar Rasheed,,1st IPPA
IPPA Awards,Style Icon Male,2017,Hamza Ali Abbasi,,1st IPPA
IPPA Awards,Style Icon Female,2017,Ayesha Omar,,1st IPPA
IPPA Awards,Star of the Year Male,2017,Humayun Saeed,,1st IPPA
IPPA Awards,Star of the Year Female,2017,Mawra Hocane,,1st IPPA
IPPA Awards,Best Jodi Award – Drama,2017,Farhan Saeed and Urwa Hocane,,1st IPPA
IPPA Awards,Outstanding Achievement by a Pakistani Actor on a Global Platform – Male,2017,Adnan Siddiqui,,1st IPPA
IPPA Awards,Outstanding Achievement by a Pakistani Actor on a Global Platform – Female,2017,Humaima Malik,,1st IPPA
IPPA Awards,Legend Award,2017,Javed Sheikh,,1st IPPA
IPPA Awards,Best Singer,2017,Rahat Fateh Ali Khan,,1st IPPA
IPPA Awards,Best Model,2017,Neha Ahmed,,1st IPPA
IPPA Awards,Best Designer Couture,2017,Faraz Manan,,1st IPPA
IPPA Awards,Best Film,2018,Punjab Nahi Jaungi,,2nd IPPA
IPPA Awards,Best Actress Film,2018,Mehwish Hayat,,2nd IPPA
IPPA Awards,Best Actor Film,2018,Humayun Saeed,,2nd IPPA
IPPA Awards,Best Jodi Film,2018,Osman Khalid Butt and Ainy Jaffri,,2nd IPPA
IPPA Awards,Best Director Film,2018,Nadeem Baig,,2nd IPPA
IPPA Awards,Best Supporting Actor Film,2018,Urwa Hocane,,2nd IPPA
IPPA Awards,Best Singer of the Year,2018,Shiraz Uppal,,2nd IPPA
IPPA Awards,Best TV Serial – Jury,2018,Baaghi,,2nd IPPA
IPPA Awards,Best TV Serial – Viewers' Choice,2018,Yaqeen Ka Safar,,2nd IPPA
IPPA Awards,Best Actor Female TV Serial – Viewers' Choice,2018,Saba Qamar,,2nd IPPA
IPPA Awards,Best Actor Female TV Serial – Jury,2018,Sajal Aly,,2nd IPPA
IPPA Awards,Best Actor Male TV Serial – Viewers' Choice,2018,Mikaal Zulfiqar,,2nd IPPA
IPPA Awards,Best Actor Male TV Serial – Jury,2018,Adnan Siddiqui,,2nd IPPA
IPPA Awards,Best Director TV Serial,2018,Syed Ali Raza Usama,,2nd IPPA
IPPA Awards,Best Jodi TV Serial,2018,Ahad Raza Mir and Sajal Aly,,2nd IPPA
IPPA Awards,IPPA Style Icon of the Year,2018,Sonya Hussyn,,2nd IPPA
IPPA Awards,IPPA Star of the Year Female,2018,Sajal Aly,,2nd IPPA
IPPA Awards,Lifetime Achievement,2018,Sultana Siddiqui,,2nd IPPA
IPPA Awards,Best Actor Male in Film,2019,Osman Khalid Butt,,3rd IPPA
IPPA Awards,Best TV Presenter of the Year,2019,Ahsan Khan,,3rd IPPA
IPPA Awards,Best Supporting Actor in Film,2019,Zara Noor Abbas,,3rd IPPA
IPPA Awards,Best Film,2023,,London Nahi Jaunga,Quaid-e-Azam Zindabad Dum Mastam Tich Button Ghabrana Nahi Hai
IPPA Awards,Best Director Film,2023,Mohammed Ehteshamuddin,Dum Mastam,Nabeel Qureshi – Quaid-e-Azam Zindabad Nadeem Baig – London Nahi Jaunga Qasim Ali Mureed – Tich Button Saqib Khan – Ghabrana Nahi Hai
IPPA Awards,Best Actor Male Film,2023,Humayun Saeed,London Nahi Jaunga,Fahad Mustafa – Quaid-e-Azam Zindabad Imran Ashraf – Dum Mastam Farhan Saeed – Tich Button Syed Jibran – Ghabrana Nahi Hai
IPPA Awards,Best Actor Female Film,2023,Mehwish Hayat,London Nahi Jaunga,Mahira Khan – Quaid-e-Azam Zindabad Amar Khan – Dum Mastam Iman Ali and Sonya Hussyn – Tich Button Saba Qamar – Ghabrana Nahi Hai
IPPA Awards,Best Supporting Role Male/Female Film,2023,,Sohail Ahmed – London Nahi Jaunga,Javed Sheikh – Quaid-e-Azam Zindabad Gohar Rasheed and Saleem Mairaj – Dum Mastam Sohail Ahmed – Tich Button Saleem Mairaj – Ghabrana Nahi Hai
IPPA Awards,Best Supporting Role Male/Female Film,2023,,Sources:,
IPPA Awards,Best Drama,2023,Sinf,e-Aahan,Mere Humnasheen Sang-e-Mah Aik Thi Laila Ishq-e-Laa
IPPA Awards,Best Director TV Serial,2023,Saife Hassan,Sang-e-Mah,Nadeem Baig – Sinf-e-Aahan Ali Faizan – Mere Humnasheen Yasir Hussain – Aik Thi Laila Amin Iqbal – Ishq-e-Laa
IPPA Awards,Best Actor Male TV Serial,2023,Ahsan Khan,Mere Humnasheen,Sheheryar Munawar – Sinf-e-Aahan Atif Aslam – Sang-e-Mah Yasir Hussain – Aik Thi Laila Azaan Sami Khan – Ishq-e-Laa
IPPA Awards,Best Actor Female TV Serial,2023,Hania Amir,Sang-e-Mah,Sajal Aly and Yumna Zaidi – Sinf-e-Aahan Hiba Bukhari – Mere Humnasheen Hania Aamir and Kubra Khan – Sang-e-Mah Iqra Aziz – Aik Thi Laila Yumna Zaidi – Ishq-e-Laa
IPPA Awards,Best Supporting Actor TV Serial,2023,Samiya Mumtaz,Sang-e-Mah,Saba Hamid and Ramsha Kanwal – Sinf-e-Aahan Syed Jibran – Mere Humnasheen Samiya Mumtaz and Sania Saeed – Sang-e-Mah Faysal Quraishi – Aik Thi Laila Adnan Samad Khan – Ishq-e-Laa
IPPA Awards,Best On-screen Couple TV Serial,2023,Ahsan Khan and Hiba Bukhari,Mere Humnasheen,Azaan Sami Khan and Yumna Zaidi – Ishq-e-Laa Zaviyar Nauman Ijaz and Hania Aamir – Sang-e-Mah Atif Aslam and Kubra Khan – Sang-e-Mah Iqra Aziz and Yasir Hussain – Aik Thi Laila
IPPA Awards,Best Supporting Actor TV Serial,2023,Sources:,,
