award_show,category,year,winner,film,notes
Lux Style Awards,Film - Best Film,2002,,Tere Pyaar Mein,Ghar Kab Aao Gay Khoey Ho Tum Kahan
Lux Style Awards,Film - Best Film Actor,2002,Shaan Shahid,,Babar Ali Moammar Rana
Lux Style Awards,Film - Best Film Actress,2002,Zara Sheikh,,Meera Reema Khan Saima Noor
Lux Style Awards,Television - Best Television Play,2002,Kabhi Kabhi Pyaar Main,PTV,Aur Zindagi Badalti Hai-PTV Chalte Chalte-Indus Vision
Lux Style Awards,Television - Best Television Actor,2002,Noman Ijaz,,Adnan Siddiqui Humayun Saeed Shabbir Jan
Lux Style Awards,Television - Best Television Actress,2002,Sadia Imam,,Marina Khan Nadia Jamil Saba Hameed Sania Saeed Samina Ahmad
Lux Style Awards,Music - Best Music Act,2002,Abrar Ul Haq,,Hadiqa Kiani Junoon Shazia Manzoor Strings
Lux Style Awards,Music - Best Video Director,2002,Ahsan Rahim & Amna Khan,,Asim Raza Jami
Lux Style Awards,Miscellaneous & general awards - Best Architect,2002,Tie: Habib Fida Ali Nayyar Ali Dada,,Arshad Shahid Abdullah Tariq Hassan Tariq Qaiser
Lux Style Awards,Miscellaneous & general awards - Best Fine Artist,2002,Naiza Khan,,Amin Gulgee Naheed Raza Qudoos Mirza Unver Shafi
Lux Style Awards,Miscellaneous & general awards - Best New Creativity,2002,Food Street,Lahore,Harrapan Project Kara Film Festival Mohatta Palace Museum
Lux Style Awards,Miscellaneous & general awards - Best New Talent,2002,Ayla Hussain,,Angeline Malik Rahim Shah Shazia Manzoor
Lux Style Awards,Miscellaneous & general awards - Humanitarian Award,2002,Adeeb Rizvi,,Abdul Sattar Edhi Asma Jehangir
Lux Style Awards,Film - Best Film,2003,,Yeh Dil Aap Ka Huwa,Buddha Gujjar Dil Dewana Hai
Lux Style Awards,Film - Best Film Actor,2003,Moammar Rana,Yeh Dil Aap Ka Huwa,Moammar Rana-Kon Banega Crorepati Saleem Sheikh-Yeh Dil Aap Ka Huwa Shaan Shahid-Dakoo Yousuf Khan-Buddha Gujjar
Lux Style Awards,Film - Best Film Actress,2003,Sana Fakhar,Yeh Dil Aap Ka Huwa,Meera-Raqqasa Reema Khan-Fire Saima Noor-Dakoo Zara Sheikh-Chalo Ishq Larain
Lux Style Awards,Television - Best Television Play,2003,Chaandni Raatain,PTV,Landa Bazar-PTV Sarmaya-Indus Vision Singhaar-PTV Thori Khusi Thora Ghum-PTV
Lux Style Awards,Television - Best Television Actor,2003,Humayun Saeed,Chaandni Raatain (PTV),Akbar Subhani-Rabia Zinda Rahegi (ARY Digital) Faisal Rehman-Sarmaya (Indus Vision) Faysal Quraishi-Deewar (PTV)
Lux Style Awards,Television - Best Television Actress,2003,Sania Saeed,Shayad Kay Phir Bahar Aaye (PTV),Amna Haq-Singhar (PTV) Faryal Gohar-Chaandni Raatain (PTV) Nadia Jamil-Faisla (??)
Lux Style Awards,Music - Best Music Act,2003,Abrar,ul-Haq,Fuzön Jawad Ahmed Riaz Ali Qadri Sajjad Ali
Lux Style Awards,Music - Best Video Director,2003,Jami,,N/A
Lux Style Awards,Miscellaneous and General Awards - Most Stylish Sportsperson,2003,Wasim Akram,,Aisam-ul-Haq Shahid Afridi Shoaib Akhtar Waqar Younis
Lux Style Awards,Miscellaneous and General Awards - Best Achievement in Fine Art,2003,Imran Qureshi,,N/A
Lux Style Awards,Best Film Director,2004,Syed Noor,Larki Panjaban,Syed Noor-Commando Rauf Khalid-Laaj Fahim Burney-Pyar Hi Pyar Mein Sangeeta-Yeh Wada Raha
Lux Style Awards,Best Film Actor,2004,Shaan Shahid,Commando,Babar Ali-Larki Panjaban Shamil Khan-Larki Panjaban Ashaal-Pyar Hi Pyar Mein Talat Hussain-Laaj
Lux Style Awards,Best Film Actress,2004,Zara Sheikh,Laaj,Resham-Laaj Saima Noor-Larki Panjaban Saima Noor-Commando Meera-Commando
Lux Style Awards,Best Television Play,2004,Mehndi,PTV,Seeli Baarish-Geo TV Harjaee-Indus Vision Thori Si Mohabbat-Geo TV Ambulance-Indus Vision
Lux Style Awards,Best Television Actor,2004,Humayun Saeed,Mehndi (PTV),Faysal Quraishi-Umrao Jaan Ada (TV series) (Geo TV) Faysal Quraishi-Harjaee (Indus Vision) Abid Ali-Mehndi (PTV) Sajid Hasan-Ishq Aatish (Geo TV)
Lux Style Awards,Best Television Actress,2004,Aaminah Haq,Mehndi (PTV),Sonia Rehman-Ambulance (Indus Vision) Sania Saeed-Thori Si Mohabbat (Geo TV) Savera Nadeem-Ibn Adam (ARY Digital) Bushra Ansari-Umrao Jaan Ada (TV series) (Geo TV)
Lux Style Awards,Best Album of the Year,2004,Huqa Pani,Ali Zafar,Dhaani-Strings Sub to Sohniye-Faakhir Mehmood Yeh Moaomla Koi Aur Hai-Najam Sheraz Parastish-Ahmed Jahanzeb
