award_show,category,year,winner,film,notes
Nigar Awards,Best Film,1957,,Saat Lakh,For Urdu films
Nigar Awards,Best Director,1957,W.Z. Ahmed,Waadah,For Urdu films
Nigar Awards,Best Script / Story Writer,1957,Saifuddin Saif,Saat Lakh,For Urdu films
Nigar Awards,Best Actor,1957,Santosh Kumar,Waadah,For Urdu films
Nigar Awards,Best Actress,1957,Sabiha Khanum,Saat Lakh,For Urdu films
Nigar Awards,Best Supporting Actor,1957,Allauddin,Aas Paas,For Urdu films
Nigar Awards,Best Supporting Actress,1957,Nayyar Sultana,Saat Lakh,For Urdu films
Nigar Awards,Best Musician,1957,Rasheed Attre,Saat Lakh,For Urdu films
Nigar Awards,Best Cinematographer,1957,Suhail Hashmi,Bara Aadmi,For Urdu films
Nigar Awards,Best Film,1958,,Aadmi,For Urdu films
Nigar Awards,Best Director,1958,Luqman,,For Urdu films
Nigar Awards,Best Script Writer,1958,Ayub Sarwar,,For Urdu films
Nigar Awards,Best Actor,1958,Habib,,For Urdu films
Nigar Awards,Best Actress,1958,Musarrat Nazir,Zehr-e-Ishq,For Urdu films
Nigar Awards,Best Actress,1958,Bibbo,,For Urdu films
Nigar Awards,Best Supporting Actor,1958,Allauddin,Aadmi,For Urdu films
Nigar Awards,Best Supporting Actress,1958,Bano Begum,Zehr-e-Ishq,For Urdu films
Nigar Awards,Best Musician,1958,Khwaja Khurshid Anwar,,For Urdu films
Nigar Awards,Best Lyricist,1958,Qateel Shifai,Anarkali,For Urdu films
Nigar Awards,Best Cinematographer,1958,Raza Mir,Aakhri Nishan,For Urdu films
Nigar Awards,Best Sound Editor,1958,Afzal Hussain,Zehr-e-Ishq,For Urdu films
Nigar Awards,Best Female Playback Singer,1958,Noor Jehan,Anarkali,For Urdu films
Nigar Awards,Best Film,1959,,Raaz,For Urdu films
Nigar Awards,Best Director,1959,Khalil Qaiser,Nagin,For Urdu films
Nigar Awards,Best Script Writer,1959,Riaz Shahid,Neend,For Urdu films
Nigar Awards,Best Actor,1959,Darpan,Saathi,For Urdu films
Nigar Awards,Best Actress,1959,Musarrat Nazir,Jhoomer,For Urdu films
Nigar Awards,Best Supporting Actor,1959,Allauddin,Raaz,For Urdu films
Nigar Awards,Best Supporting Actress,1959,Neelo,Koel,For Urdu films
Nigar Awards,Best Musician,1959,Rasheed Attre,Neend,For Urdu films
Nigar Awards,Best Lyricist,1959,Tanvir Naqvi,Koel,For Urdu films
Nigar Awards,Best Cinematographer,1959,Nabi Ahmed,Jhoomer,For Urdu films
Nigar Awards,Best Playback Singer,1959,Noor Jahan,Koel,For Urdu films
Nigar Awards,Best Editor,1959,Khursheed Ahmed,Faisla,For Urdu films
Nigar Awards,Best Sound Editor,1959,C. Mandody,Koel,For Urdu films
Nigar Awards,Best Film,1960,,Salma,For Urdu films
Nigar Awards,Best Director,1960,S. M. Yusuf,Saheli,For Urdu films
Nigar Awards,Best script writer,1960,Anwar Kamal Pasha,Watan,For Urdu films
Nigar Awards,Best screenplay,1960,Nazeer Ajmeri,Salma,For Urdu films
Nigar Awards,Best actor,1960,Darpan,Saheli,For Urdu films
Nigar Awards,Best actress,1960,Nayyar Sultana,,For Urdu films
Nigar Awards,Best Supporting Actor,1960,Allauddin,Salma,For Urdu films
Nigar Awards,Best supporting actress,1960,Shamim Ara,Saheli,For Urdu films
Nigar Awards,Best musician,1960,Muslehuddin,Humsafar,For Urdu films
Nigar Awards,Best Lyricist,1960,Tanvir Naqvi,Shaam Dhalay,For Urdu films
Nigar Awards,Best cinematographer,1960,Nabi Ahmed,Ayaz,For Urdu films
Nigar Awards,Best playback female singer,1960,Naseem Begum,Shaam Dhalay,For Urdu films
Nigar Awards,Best playback male singer,1960,Saleem Raza,Humsafar,For Urdu films
Nigar Awards,Best editor,1960,M. Akram,Shaam Dhalay,For Urdu films
Nigar Awards,Best sound editor,1960,Taj Malik,Shaam Dhalay,For Urdu films
Nigar Awards,Best comedian – special award,1960,Nazar,Humsafar,For Urdu films
Nigar Awards,Best Film,1960,,Asiya,For Bengali films
Nigar Awards,Best actor,1961,Habib,Surayya,For Urdu films
Nigar Awards,Best supporting actress,1961,Bano Begum,Ghalib,For Urdu films
Nigar Awards,Best musician,1961,Rasheed Attre,Shaheed,For Urdu films
Nigar Awards,Best Lyricist,1961,Faiz Ahmed Faiz,Shaheed,For Urdu films
Nigar Awards,Best cinematographer,1961,Riaz Bukhari,Zamana Kya Kahe Ga,For Urdu films
Nigar Awards,Best playback female singer,1961,Naseem Begum,Shaheed,For Urdu films
Nigar Awards,Best playback male singer,1961,Ahmed Rushdi,Saperan,For Urdu films
Nigar Awards,Best editor,1961,M. Akram,Gulfaam,For Urdu films
Nigar Awards,Best sound editor,1961,Zafar Khawaja,Zamana Kya Kahe Ga,For Urdu films
Nigar Awards,Best Film,1962,,Shaheed,For Urdu films
Nigar Awards,Best Director,1962,Khalil Qaiser,,For Urdu films
Nigar Awards,Best script writer,1962,Riaz Shahid,,For Urdu films
Nigar Awards,Best screenplay,1962,Riaz Shahid,,For Urdu films
Nigar Awards,Best actress,1962,Musarrat Nazir,,For Urdu films
Nigar Awards,Best Supporting Actor,1962,Talish,,For Urdu films
Nigar Awards,Best Film,1962,,Chanda,For Urdu films
Nigar Awards,Best Director,1962,NFAK,Aulad,For Urdu films
Nigar Awards,Best script writer,1962,Fazal Ahmad Karim Fazli,Chiragh Jalta Raha,For Urdu films
Nigar Awards,Best Supporting Actress,1962,Zeba,Chiragh Jalta Raha,For Urdu films
Nigar Awards,Best screenplay,1962,Ibrahim Jalees,Aanchal,For Urdu films
Nigar Awards,Best actor,1962,Santosh Kumar,Ghunghat,For Urdu films
Nigar Awards,Best actress,1962,Nayyar Sultana,Aulad,For Urdu films
Nigar Awards,Best Supporting Actor,1962,Talish,Aanchal,For Urdu films
Nigar Awards,Best supporting actress,1962,Shabnam,Chanda,For Urdu films
Nigar Awards,Best musician,1962,Khwaja Khurshid Anwar,Ghunghat,For Urdu films
Nigar Awards,Best Lyricist,1962,Himayat Ali Shair,Aanchal,For Urdu films
Nigar Awards,Best cinematographer,1962,Nabi Ahmed,Ghunghat,For Urdu films
Nigar Awards,Best playback female singer,1962,Mala,Ishq Par Zor Nahin,For Urdu films
Nigar Awards,Best playback male singer,1962,Ahmed Rushdi,Mehtaab,For Urdu films
Nigar Awards,Best editor,1962,Ali,Ghunghat,For Urdu films
Nigar Awards,Best sound editor,1962,C. Mondody,Mehtaab,For Urdu films
Nigar Awards,Best comedian,1962,Subhash Dutta,Chanda,For Urdu films
Nigar Awards,Best Film,1963,,Baaji,For Urdu films
Nigar Awards,Best Director,1963,Qadeer Ghori,Daman,For Urdu films
Nigar Awards,Best script writer,1963,Anwar Batalvi,Baaji,For Urdu films
Nigar Awards,Best screenplay,1963,Riaz Shahid,Shikwa,For Urdu films
Nigar Awards,Best actor,1963,Santosh Kumar,Daman,For Urdu films
Nigar Awards,Best actress,1963,Sabiha Khanum,Shikwa,For Urdu films
Nigar Awards,Best Supporting Actor,1963,Allauddin,Shikwa,For Urdu films
Nigar Awards,Best supporting actress,1963,Neelo,Daman,For Urdu films
Nigar Awards,Best musician,1963,Robin Ghosh,Talash,For Urdu films
Nigar Awards,Best Lyricist,1963,Himayat Ali Shair,Daman,For Urdu films
Nigar Awards,Best cinematographer,1963,Raza Mir,Seema,For Urdu films
Nigar Awards,Best playback female singer,1963,Naseem Begum,Baaji,For Urdu films
Nigar Awards,Best playback male singer,1963,Saleem Raza,Seema,For Urdu films
Nigar Awards,Best editor,1963,Haider Chaudhry,Baji,For Urdu films
Nigar Awards,Best art director,1963,Haji Mohiuddin,Faanoos,For Urdu films
Nigar Awards,Best sound editor,1963,Taj Malik,Baji,For Urdu films
Nigar Awards,Best comedian,1963,Lehri,Daman,For Urdu films
Nigar Awards,Best Film,1964,,Khamosh Raho,For Urdu films
Nigar Awards,Best Director,1964,S.M. Yousuf,Ashiana,For Urdu films
Nigar Awards,Best script writer,1964,Riaz Shahid,Khamosh Raho,For Urdu films
Nigar Awards,Best screenplay,1964,Riaz Shahid,Farangi,For Urdu films
Nigar Awards,Best actor,1964,Waheed Murad,Heera Aur Pathar,For Urdu films
Nigar Awards,Best actress,1964,Shamim Ara,Farangi,For Urdu films
Nigar Awards,Best Supporting Actor,1964,Mohammad Ali,Khamosh Raho,For Urdu films
Nigar Awards,Best supporting actress,1964,Sumeeta,Sangam,For Urdu films
Nigar Awards,Best musician,1964,Nashad,Maikhana,For Urdu films
Nigar Awards,Best Lyricist,1964,Faiz Ahmad Faiz,Farangi,For Urdu films
Nigar Awards,Best cinematographer,1964,Babar Bilal,Aashiana,For Urdu films
Nigar Awards,Best playback female singer,1964,Naseem Begum,Lutera,For Urdu films
Nigar Awards,Best playback male singer,1964,Mehdi Hassan,Farangi,For Urdu films
Nigar Awards,Best editor,1964,M. Aqeel Khan,Heera Aur Pathar,For Urdu films
Nigar Awards,Best art director,1964,Haji Mohiuddin,Maikhana,For Urdu films
Nigar Awards,Best sound editor,1964,Yousuf Ameen,Khamosh Raho,For Urdu films
Nigar Awards,Best comedian,1964,Lehri,Paigham,For Urdu films
Nigar Awards,Best Film,1965,,Naila,For Urdu films
Nigar Awards,Best Director,1965,Sharif Nayyar,Naila,For Urdu films
Nigar Awards,Best script writer,1965,Hajra Masroor,Aakhri Station,For Urdu films
Nigar Awards,Best screenplay,1965,Ali Sufiyan Afaqi,Kaneez,For Urdu films
Nigar Awards,Best actor,1965,Mohammad Ali,Kaneez,For Urdu films
Nigar Awards,Best actress,1965,Shamim Ara,Naila,For Urdu films
Nigar Awards,Best Supporting Actor,1965,Talish,Kaneez,For Urdu films
Nigar Awards,Best supporting actress,1965,Shabnam,Aakhri Station,For Urdu films
Nigar Awards,Best musician,1965,Master Inayat,Naila,For Urdu films
Nigar Awards,Best Lyricist,1965,Qateel Shifai,Naila,For Urdu films
Nigar Awards,Best cinematographer,1965,Nabi Ahmed,Naila,For Urdu films
Nigar Awards,Best playback female singer,1965,Mala,Naila,For Urdu films
Nigar Awards,Best playback male singer,1965,Masood Rana,Mujahid,For Urdu films
Nigar Awards,Best editor,1965,Asghar,Kaneez,For Urdu films
Nigar Awards,Best art director,1965,S.M. Khwaja,Naila,For Urdu films
Nigar Awards,Best sound editor,1965,Hashim Qureshi,Eid mubarak,For Urdu films
Nigar Awards,Best comedian,1965,Lehri,Kaneez,For Urdu films
Nigar Awards,Special award,1965,Noor Jahan,(for war-time songs),For Urdu films
Nigar Awards,Best Film,1966,,Armaan,For Urdu films
Nigar Awards,Best Director,1966,Pervez Malik,Arman,For Urdu films
Nigar Awards,Best script writer,1966,Saadat Hassan Manto,Badnaam,For Urdu films
Nigar Awards,Best screenplay,1966,Ahmad Nadeem Qasmi,Lori,For Urdu films
Nigar Awards,Best actor,1966,Mohammad Ali,Aag Ka Darya,For Urdu films
Nigar Awards,Best actress,1966,Zeba,Armaan,For Urdu films
Nigar Awards,Best Supporting Actor,1966,Shaukat Akbar,Bhayya,For Urdu films
Nigar Awards,Best supporting actress,1966,Nabila,Badnaam,For Urdu films
Nigar Awards,Best musician,1966,Sohail Rana,Armaan,For Urdu films
Nigar Awards,Best Lyricist,1966,Josh Malihabadi,Aag Ka Darya,For Urdu films
Nigar Awards,Best cinematographer,1966,Raza Mir,Aag Ka Darya,For Urdu films
Nigar Awards,Best playback female singer,1966,Noor Jahan,Aag Ka Darya,For Urdu films
Nigar Awards,Best playback male singer,1966,Ahmed Rushdi,Armaan,For Urdu films
Nigar Awards,Best editor,1966,Maqsood Hussain,Jaag Utha Insaan,For Urdu films
Nigar Awards,Best art director,1966,M. Ramzan,Aaina,For Urdu films
Nigar Awards,Best sound editor,1966,Hassan Zia,Lori,For Urdu films
Nigar Awards,Best comedian,1966,Nirala,Armaan,For Urdu films
Nigar Awards,Special award,1966,Sohail Hashmi,Jaan Pehchaan,For Urdu films
Nigar Awards,Special award,1966,Master Rufi,Lori,For Urdu films
Nigar Awards,Special award,1966,Allauddin,Badnaam,For Urdu films
Nigar Awards,Best Film,1967,,Chakori,For Urdu films
Nigar Awards,Best Director,1967,Ehtesham,Chakori,For Urdu films
Nigar Awards,Best script writer,1967,Ata-ur-Rehman Khan,Chakori,For Urdu films
Nigar Awards,Best screenplay,1967,Naqi Mustafa,Nawab Sirajuddaula,For Urdu films
Nigar Awards,Best actor,1967,Nadeem,Chakori,For Urdu films
Nigar Awards,Best actress,1967,Shamim Ara,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best Supporting Actor,1967,Saaqi,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best supporting actress,1967,Tarannum,Aag,For Urdu films
Nigar Awards,Best musician,1967,Robin Ghosh,Chakori,For Urdu films
Nigar Awards,Best Lyricist,1967,Fayyaz Hashmi,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best cinematographer,1967,Kamran Mirza,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best playback female singer,1967,Noor Jahan,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best playback male singer,1967,Mujeeb Aalam,Chakori,For Urdu films
Nigar Awards,Best editor,1967,Khudadad Mirza,Aag,For Urdu films
Nigar Awards,Best art director,1967,Haji Mohiuddin,Aag,For Urdu films
Nigar Awards,Best sound editor,1967,Afzal Hussain,Lakhon Mein Aik,For Urdu films
Nigar Awards,Best comedian,1967,Lehri,Mein Woh Nahin,For Urdu films
Nigar Awards,Special award,1967,Sabiha Khanum,Devar Bhabi,For Urdu films
Nigar Awards,Special award,1967,Anwar Hossain,Nawab Sirajuddaula,For Urdu films
Nigar Awards,Best Film,1967,,Dil Da Jaani,For Punjabi films
Nigar Awards,Best Film,1968,,Saiqa,For Urdu films
Nigar Awards,Best Director,1968,Hassan Tariq,Behan Bhai,For Urdu films
Nigar Awards,Best script writer,1968,Razia Butt,Saiqa,For Urdu films
Nigar Awards,Best screenplay,1968,Masroor Anwar,Saiqa,For Urdu films
Nigar Awards,Best actor,1968,Mohammad Ali,Saiqa,For Urdu films
Nigar Awards,Best actress,1968,Shamim Ara,Saiqa,For Urdu films
Nigar Awards,Best Supporting Actor,1968,Allauddin,Dil Liya Dard Diya,For Urdu films
Nigar Awards,Best supporting actress,1968,Rozina Qureshi,Ishara,For Urdu films
Nigar Awards,Best musician,1968,Nisar Bazmi,Saiqa,For Urdu films
Nigar Awards,Best Lyricist,1968,Masroor Anwar,Saiqa,For Urdu films
Nigar Awards,Best cinematographer,1968,Masood-ul-Rehman,Taj Mahal,For Urdu films
Nigar Awards,Best playback female singer,1968,Runa Laila,Commander,For Urdu films
Nigar Awards,Best playback male singer,1968,Mehdi Hassan,Saiqa,For Urdu films
Nigar Awards,Best Film editor,1968,,,For Urdu films
Nigar Awards,Best art director,1968,Haji Mohiuddin,Taj Mahal,For Urdu films
Nigar Awards,Best sound editor,1968,Taj Malik,Ishq,For Urdu films
Nigar Awards,Best comedian,1968,Lehri,Saiqa,For Urdu films
Nigar Awards,Special award,1968,Kamal,Behan Bhai,For Urdu films
Nigar Awards,Special award,1968,Rani,Mera Ghar Meri Jannat,For Urdu films
Nigar Awards,Special award,1968,Babu Jugnu,Mera Ghar Meri Jannat,For Urdu films
Nigar Awards,Best Film,1968,,Chan Makhana,For Punjabi films
Nigar Awards,Best Film,1969,,Zarqa,For Urdu films
Nigar Awards,Best Director,1969,Riaz Shahid,Zarqa,For Urdu films
Nigar Awards,Best script writer,1969,Riaz Shahid,Zarqa,For Urdu films
Nigar Awards,Best screenplay,1969,Ali Sufyan Afaaqi,Andaleeb,For Urdu films
Nigar Awards,Best actor,1969,Waheed Murad,Andaleeb,For Urdu films
Nigar Awards,Best actress,1969,Neelo,Zarqa,For Urdu films
Nigar Awards,Best Supporting Actor,1969,Qavi Khan,Bahu Rani,For Urdu films
Nigar Awards,Best supporting actress,1969,Aliya Begum,Nai Laila Naya Majnu,For Urdu films
Nigar Awards,Best musician,1969,Nashad,Salgirah,For Urdu films
Nigar Awards,Best Lyricist,1969,Habib Jalib,Zarqa,For Urdu films
Nigar Awards,Best cinematographer,1969,Afzal Chowdhary,Pyasa,For Urdu films
Nigar Awards,Best playback female singer,1969,Noor Jahan,Salgirah,For Urdu films
Nigar Awards,Best playback male singer,1969,Mehdi Hassan,Zarqa,For Urdu films
Nigar Awards,Best Film editor,1969,Ali,Zarqa,For Urdu films
Nigar Awards,Best art director,1969,Habib Shah,Zarqa,For Urdu films
Nigar Awards,Best sound editor,1969,A.Z. Baig,Andaleeb,For Urdu films
Nigar Awards,Best comedian,1969,Lehri,Nai Laila Naya Majnu,For Urdu films
Nigar Awards,Special award,1969,Shabnam,Andaleeb,For Urdu films
Nigar Awards,Special award,1969,A. J. Kardar,Qasam Us Waqt Ki,For Urdu films
Nigar Awards,Best Film,1970,,Anjuman,For Urdu films
Nigar Awards,Best Director,1970,Hassan Tariq,Anjuman,For Urdu films
Nigar Awards,Best script writer,1970,Rangeela,Rangeela,For Urdu films
Nigar Awards,Best screenplay,1970,Masroor Anwar,Sughaat,For Urdu films
Nigar Awards,Best actor,1970,Mohammad Ali,Insaan Aur Aadmi,For Urdu films
Nigar Awards,Best actress,1970,Zeba,Insaan Aur Aadmi,For Urdu films
Nigar Awards,Best Supporting Actor,1970,Aslam Pervaiz,Insaan Aur Aadmi,For Urdu films
Nigar Awards,Best supporting actress,1970,Saiqa,Rangeela,For Urdu films
Nigar Awards,Best musician,1970,Nisar Bazmi,Anjuman,For Urdu films
Nigar Awards,Best Lyricist,1970,Masroor Anwar,Anjuman,For Urdu films
Nigar Awards,Best cinematographer,1970,Sohail Hashmi,Honeymoon,For Urdu films
Nigar Awards,Best playback female singer,1970,Runa Laila,Anjuman,For Urdu films
Nigar Awards,Best playback male singer,1970,Ahmed Rushdi,Naseeb Apna Apna,For Urdu films
Nigar Awards,Best Film editor,1970,AlHamid,Anjuman,For Urdu films
Nigar Awards,Best art director,1970,Habib Shah,Anjuman,For Urdu films
Nigar Awards,Best sound editor,1970,Akhtar Gilani,Insaan Aur Aadmi,For Urdu films
Nigar Awards,Best comedian,1970,Lehri,Anjuman,For Urdu films
Nigar Awards,Special award,1970,Habib Wali Mohammad,"for singing ""Aashian Jal Gya",For Urdu films
Nigar Awards,Best Film,1970,,Heer Ranjha,For Punjabi films
Nigar Awards,Best Director,1970,Masood Parvez,Heer Ranjha,For Punjabi films
Nigar Awards,Best script writer,1970,Tanvir Kazmi,Maa Puttar,For Punjabi films
Nigar Awards,Best actor,1970,Sudhir,Maa Puttar,For Punjabi films
Nigar Awards,Best actress,1970,Firdous Begum,Heer Ranjha,For Punjabi films
Nigar Awards,Best Female Playback Singer,1970,Noor Jehan,Heer Ranjha,For Punjabi films
Nigar Awards,Best musician,1970,Khwaja Khurshid Anwar,Heer Ranjha,For Punjabi films
Nigar Awards,Special award,1970,Ajmal,Heer Ranjha,For Punjabi films
Nigar Awards,Special award,1970,Deeba,Sajna Door Diya,For Punjabi films
Nigar Awards,Best Film,1971,,Dosti,For Urdu films
Nigar Awards,Best Director,1971,Sharif Nayyar,Dosti,For Urdu films
Nigar Awards,Best script writer,1971,Riaz Ahmed,Ansu,For Urdu films
Nigar Awards,Best screenplay,1971,Riaz Shahid,Yeh Aman,For Urdu films
Nigar Awards,Best actor,1971,Mohammad Ali,Wehshi,For Urdu films
Nigar Awards,Best actress,1971,Shabnam,Dosti,For Urdu films
Nigar Awards,Best Supporting Actor,1971,Masood Akhtar,Teri Soorat Meri Aankhein,For Urdu films
Nigar Awards,Best supporting actress,1971,Sangeeta,Yeh Aman,For Urdu films
Nigar Awards,Best musician,1971,A. Hameed,Dosti,For Urdu films
Nigar Awards,Best Lyricist,1971,Tanveer Naqvi,Dosti,For Urdu films
Nigar Awards,Best cinematographer,1971,M. Fazil,Dosti,For Urdu films
Nigar Awards,Best playback female singer,1971,Noor Jahan,Dosti,For Urdu films
Nigar Awards,Best playback male singer,1971,Masood Rana,Ansu,For Urdu films
Nigar Awards,Best Film editor,1971,Arshad Durrani,Dosti,For Urdu films
Nigar Awards,Best art director,1971,Habib Shah,Yeh Aman,For Urdu films
Nigar Awards,Best sound editor,1971,A.Z. Baig,Yeh Aman,For Urdu films
Nigar Awards,Best comedian,1971,Rangeela,Dil Aur Duniya,For Urdu films
Nigar Awards,Best cinematographer,1971,Ali Khan,Dil Aur Duniya,For Urdu films
Nigar Awards,Special award,1971,Firdous,Ansu,For Urdu films
Nigar Awards,Best Film,1971,,Babul,For Punjabi films
Nigar Awards,Best Director,1971,Iqbal Kashmiri,Babul,For Punjabi films
Nigar Awards,Best script writer,1971,Ghazanfar Ali,Babul,For Punjabi films
Nigar Awards,Best actor,1971,Waheed Murad,Mastana Mahi,For Punjabi films
Nigar Awards,Best actress,1971,Rani,Babul,For Punjabi films
Nigar Awards,Best musician,1971,Nazir Ali,Mastana Mahi,For Punjabi films
Nigar Awards,Special Award,1971,Aliya Begum,Mastana Mahi,For Punjabi films
Nigar Awards,Special Award,1971,Sultan Rahi,Babul,For Punjabi films
Nigar Awards,Special Award,1971,Munawar Zarif,Ishq Deewana,For Punjabi films
Nigar Awards,Best Film,1972,,Baharo Phool Barsao,For Urdu films
Nigar Awards,Best Director,1972,Nazrul Islam,Ehsaas,For Urdu films
Nigar Awards,Best script writer,1972,M. Sadiq,Baharo Phool Barsao,For Urdu films
Nigar Awards,Best screenplay,1972,Bashir Niaz,Ehsaas,For Urdu films
Nigar Awards,Best actor,1972,Nadeem,Ehsaas,For Urdu films
Nigar Awards,Best actress,1972,Zeba,Mohabbat,For Urdu films
Nigar Awards,Best Supporting Actor,1972,Talish,Angarey,For Urdu films
Nigar Awards,Best supporting actress,1972,Husna,Subaq,For Urdu films
Nigar Awards,Best musician,1972,Nisar Bazmi,Meri Zindagi Hai Nagma,For Urdu films
Nigar Awards,Best Lyricist,1972,S. Rizvi,Baharo Phool Barsao,For Urdu films
Nigar Awards,Best cinematographer,1972,Sohail Hashmi,Mere Humsafar,For Urdu films
Nigar Awards,Best playback female singer,1972,Tahira Syed,Mohabbat,For Urdu films
Nigar Awards,Best playback male singer,1972,Mehdi Hassan,Meri Zindagi Hai Nagma,For Urdu films
Nigar Awards,Best Film editor,1972,Hasnain,Mere Humsafar,For Urdu films
Nigar Awards,Best art director,1972,Islam Shahabi,Sabaq,For Urdu films
Nigar Awards,Best sound editor,1972,A.Z. Baig,Sabaq,For Urdu films
Nigar Awards,Best comedian,1972,Munawar Zarif,Baharo Phool Barsao,For Urdu films
Nigar Awards,Special award,1972,Rangeela,Meri Zindagi Hai Nagma,For Urdu films
Nigar Awards,Best Film,1972,,Basheera,For Punjabi films
Nigar Awards,Best Director,1972,Aslam Dar,Basheera,For Punjabi films
Nigar Awards,Best script writer,1972,Aziz Bhatti,Basheera,For Punjabi films
Nigar Awards,Best actor,1972,Sultan Rahi,Basheera,For Punjabi films
Nigar Awards,Best Actress,1972,Aliya Begum,Zulm Da Badla,For Punjabi films
Nigar Awards,Best cinematographer,1972,Javed Malik,Ek Raat,For Punjabi films
Nigar Awards,Best Female Playback Singer,1972,Noor Jehan,Sultan,For Punjabi films
Nigar Awards,Best musician,1972,Nazir Ali,Sultan,For Punjabi films
Nigar Awards,Best Film,1973,,Aas,For Urdu films
Nigar Awards,Best Director,1973,Ali Sufiyan Afaqi,Aas,For Urdu films
Nigar Awards,Best script writer,1973,Ali Sufian Afaqi,Aas,For Urdu films
Nigar Awards,Best screenplay,1973,Ali Sufian Afaqi,Aas,For Urdu films
Nigar Awards,Best actor,1973,Mohammad Ali,Aas,For Urdu films
Nigar Awards,Best actress,1973,Shabnum,Anmol,For Urdu films
Nigar Awards,Best Supporting Actor,1973,Munawar Saeed,Anmol,For Urdu films
Nigar Awards,Best supporting actress,1973,Sofia Bano,Pardey Mein Rehney Do,For Urdu films
Nigar Awards,Best musician,1973,M Ashraf,Gharana,For Urdu films
Nigar Awards,Best Lyricist,1973,S. Rizvi,Gharana,For Urdu films
Nigar Awards,Best cinematographer,1973,Ghazanfar Bukhari,Aas,For Urdu films
Nigar Awards,Best playback female singer,1973,Nayyara Noor,Gharana,For Urdu films
Nigar Awards,Best playback male singer,1973,Mehdi Hassan,Naya Rasta,For Urdu films
Nigar Awards,Best Film editor,1973,Ali,Daman Aur Chingari,For Urdu films
Nigar Awards,Best art director,1973,Islam Shahabi,Aas,For Urdu films
Nigar Awards,Best sound editor,1973,Mubarak Ali,Aas,For Urdu films
Nigar Awards,Best comedian,1973,Rangeela,Insan Aur Gadha,For Urdu films
Nigar Awards,Best Film,1973,,Ziddi,For Punjabi films
Nigar Awards,Best Director,1973,Iqbal Kashmiri,Ziddi,For Punjabi films
Nigar Awards,Best script writer,1973,Hazeen Qadri,Ziddi,For Punjabi films
Nigar Awards,Best actor,1973,Yousuf Khan,Ziddi,For Punjabi films
Nigar Awards,Best actress,1973,Firdous,Ziddi,For Punjabi films
Nigar Awards,Best cinematographer,1973,Sarwar Gul,Jeera Blade,For Punjabi films
Nigar Awards,Best Female Playback Singer,1973,Noor Jehan,Ziddi,For Punjabi films
Nigar Awards,Best musician,1973,Master Abdullah,Ziddi,For Punjabi films
Nigar Awards,Best Film,1974,,Bahisht,For Urdu films
Nigar Awards,Best Director,1974,Nazrul Islam,Sharafat,For Urdu films
Nigar Awards,Best script writer,1974,Riaz Shahid,Bahisht,For Urdu films
Nigar Awards,Best screenplay,1974,Riaz Shahid,,For Urdu films
