award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Asianet Film Awards,1998,,Best Film,C. Karunakaran,Chinthavishtayaya Shyamala,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1999,,Best Film,P. V. Gangadharan,Veendum Chila Veettukaryangal,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2000,,Best Film,Antony Perumbavoor,Narasimham,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2001,,Best Film,M. V. Shreyams Kumar,Meghamalhar,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Film,Siddique,Nandanam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2003,,Best Film,Prem Prakash,Ente Veedu Appuvinteyum,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2004,,Best Film,Noushad Xavy and Manoj Mathew,Kaazcha,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2005,,Best Film,P. V. Gangadharan,Achuvinte Amma,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2006,,Best Film,P. K. Muraleedharan and Prakash Harikrishnan,Classmates,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Best Film,Sreenivasan and Mukesh,Kadha Parayumbol,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Best Film,Dileep,Twenty 20,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2009,,Best Film,Gokulam Gopalan,Pazhassi Raja,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Best Film,Ranjith,Pranchiyettan and the Saint,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Best Film,P. K. Sajeev and Anne Sajeev,Pranayam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2012,,Best Film,Listin Stephen,Ustad Hotel,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Best Film,Antony Perumbavoor,Drishyam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Best Film,Amal Neerad and Fahadh Faasil,Iyobinte Pusthakam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Best Film,"Suresh Raj, Binoy Shankarath and Ragy Thomas",Ennu Ninte Moideen,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Best Film,Antony Perumbavoor,Oppam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Best Film,Sandip Senan and Anish M. Thomas,Thondimuthalum Driksakshiyum,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Best Film,Sameer Thahir and Shyju Khalid,Sudani From Nigeria,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2019,,Best Film,Manu Ashokan,Uyare,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2012,,Most Popular Film,Ranjith,Spirit,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Most Popular Film,Jeethu Joseph,Drishyam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Most Popular Film,Anjali Menon,Bangalore Days,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Most Popular Film,Alphonse Putharen,Premam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Most Popular Film,Vysakh,Pulimurugan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Most Popular Film,Mahesh Narayan,Take Off,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Most Popular Film,Midhun Manuel Thomas,Aadu 2,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Most Popular Film,Rosshan Andrrews,Kayamkulam Kochunni,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2019,,Most Popular Film,Girish A.D,Thanneer Mathan Dinangal,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1998,,Best Actor,Jayaram,Sneham,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1999,,Best Actor,Kalabhavan Mani,Vasantiyum Lakshmiyum Pinne Njanum,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2000,,Best Actor,Mammootty,Arayannagalude Veedu,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2001,,Best Actor,Jayaram,Theerthadanam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Actor,Dileep,"Kunjikoonan, Meesa Madhavan, Kalyanaraman",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2003,,Best Actor,Mohanlal,Balettan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2004,,Best Actor,Mammootty,"Kaazhcha, Vesham",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2005,,Best Actor,Mohanlal,"Thanmathra, Naran",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Best Actor,Mammootty,"Ore Kadal, Big B, Kadha Parayumbol",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Best Actor,Mohanlal,Madampi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Best Actor,Mammootty,"Pranchiyettan and the Saint, Kutty Srank, Best Actor, Pokkiri Raja",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Best Actor,Mohanlal,"Pranayam, Snehaveedu, Christian Brothers, China Town",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Best Actor,Mammootty,Kunjananthante Kada,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Best Actor,Prithviraj Sukumaran,"Ennu Ninte Moideen, Amar Akbar Anthony",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Best Actor,Mohanlal,"Pulimurugan, Oppam",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Best Actor,Fahadh Faasil,"Thondimuthalum Driksakshiyum, Role Models",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Best Actor,Mohanlal,Odiyan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1998,,Best Actress,Manju Warrier,Kanmadam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2000,,Best Actress,Samyuktha Varma,"Mazha, Madhuranombarakattu",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Actress,Kavya Madhavan,"Oomappenninu Uriyadappayyan, Meesa Madhavan",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Actress,Navya Nair,"Nandanam, Kalyanaraman",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2003,,Best Actress,Meera Jasmine,Paadam Onnu: Oru Vilapam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2006,,Best Actress,Padmapriya,"Karutha Pakshikal, Vadakkumnadhan",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Best Actress,Meera Jasmine,"Ore Kadal, Vinodayathra",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Best Actress,Gopika,Veruthe Oru Bharya,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2009,,Best Actress,Kavya Madhavan,Banaras,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Best Actress,Nayantara,Body Guard,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Best Actress,Kavya Madhavan,"Khaddama, Bhaktha Janangalude Sradhakku, Chaina Town",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Best Actress,Amala Paul,Oru Indian Pranayakatha,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Best Actress,Manju Warrier,How Old Are You,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Best Actress,Parvathy Thiruvothu,"Ennu Ninte Moideen, Charlie",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Best Actress,Manju Warrier,Vettah,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Best Actress,Parvathy Thiruvothu,Take Off,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Best Actress,Manju Warrier,"Aami, Odiyan",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2019,,Best Actress,Parvathy Thiruvothu,"Uyare, Virus",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Most Popular Actor,"Hallo, Chotta Mumbai",Mohanlal,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Most Popular Actor,Veruthe Oru Bharya,Jayaram,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Most Popular Actor,"Body Guard, Pappy Appacha, Kaaryasthan, Marykkundoru Kunjaadu",Dileep,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Most Popular Actor,"Seniors, Swapna Sanchari, Makeup Man",Jayaram,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2012,,Most Popular Actor,"Hero, Ayalum Njanum Thammil",Prithviraj Sukumaran,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Most Popular Actor,Vellimoonga,Biju Menon,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Most Popular Actor,Premam,Nivin Pauly,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Most Popular Actor,"Aadu 2, Punyalan Private Limited",Jayasurya,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Most Popular Actor,"Koode, Ranam",Prithviraj Sukumaran,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2009,,Most Popular Actress,Evidam Swargamanu,Raai Laxmi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Most Popular Actress,"The Thriller, Anwar",Mamta Mohandas,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Most Popular Actress,"Swapna Sanchari, Manikiakkallu",Samvrutha Sunil,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2012,,Most Popular Actress,"My Boss, Arike",Mamta Mohandas,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Most Popular Actress,"Sound Thoma, Pullipulikalum Aattinkuttiyum",Namitha Pramod,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Most Popular Actress,Om Shanthi Oshaana,Nazriya Nazim,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Most Popular Actress,Kali,Sai Pallavi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Most Popular Actress,Ramante Edanthottam,Anu Sithara,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Most Popular Actress,Varathan,Aishwarya Lekshmi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1999,,Best Supporting Actor,Biju Menon,"Pathram, Kannezhuthi Pottum Thottu",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2001,,Best Supporting Actor,Innocent,Ravanaprabhu,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Supporting Actor,Jagathy Sreekumar,Meesa Madhavan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2004,,Best Supporting Actor,Innocent,Vesham,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2005,,Best Supporting Actor,Nedumudi Venu,Thanmathra,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Best Supporting Actor,Jagathy Sreekumar,"Rock N Roll, Hallo",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Best Supporting Actor,Innocent,Innathe Chintha Vishayam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2009,,Best Supporting Actor,Sreenivasan,"Makante Achan, Passenger",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Best Supporting Actor,Nedumudi Venu,"Kadha Thudarunnu, Best Actor",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Best Supporting Actor,Innocent,"Snehaveedu, Swapna Sanchari",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2012,,Best Supporting Actor,Shankar Ramakrishnan,"Spirit, Bavuttiyude Namathil",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2013,,Best Supporting Actor,Siddique,Drishyam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2014,,Best Supporting Actor,Tini Tom,Vellimoonga,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2015,,Best Supporting Actor,Sai Kumar,Ennu Ninte Moideen,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2016,,Best Supporting Actor,Renji Panicker,Jacobinte Swargarajyam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2017,,Best Supporting Actor,Alencier Ley Lopez,Thondimuthalum Driksakshiyum,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2018,,Best Supporting Actor,Siddique,Hey Jude,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1998,,Best Supporting Actress,Sukumari,Samaantharangal,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,1999,,Best Supporting Actress,Praveena,Vasantiyum Lakshmiyum Pinne Njanum,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2000,,Best Supporting Actress,K. P. A. C. Lalitha,Various,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2001,,Best Supporting Actress,Bindu Panicker,Narendra Makan Jayakanthan Vaka,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2002,,Best Supporting Actress,Bhavana,Nammal,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2004,,Best Supporting Actress,Gopika,Vesham,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2005,,Best Supporting Actress,Bhavana,Daivanamathil,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2006,,Best Supporting Actress,Sukumari,Various,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2007,,Best Supporting Actress,K. P. A. C. Lalitha,"Thaniye, Nasrani",,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2008,,Best Supporting Actress,Samvrutha Sunil,Minnaminnikoottam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2009,,Best Supporting Actress,Shwetha Menon,Paleri Manikyam: Oru Pathirakolapathakathinte Katha (film),,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2010,,Best Supporting Actress,Lakshmi Priya,Kadha Thudarunnu,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
Asianet Film Awards,2011,,Best Supporting Actress,K. P. A. C. Lalitha,Snehaveedu,,Winner,Malayalam,https://en.wikipedia.org/wiki/Asianet_Film_Awards
