award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Filmfare Awards South,2024,,Best Film,Manjummel Boys,"Soubin Shahir , Babu Shahir and Shawn Antony",,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2023,,Best Film,2018,"Venu Kunnappilly, C. K. Padma Kumar and Anto Joseph",,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2022,,Best Film,Nna Thaan Case Kodu,"Santhosh T. Kuruvilla , Kunchacko Boban and Sheril Rachel Santhosh",,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2020–2021,,Best Film,Ayyappanum Koshiyum,Ranjith,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2018,,Best Film,Sudani from Nigeria,Sameer Thahir and Shyju Khalid,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2017,,Best Film,Thondimuthalum Driksakshiyum,Sandip Senan and Anish M Thomas,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2016,,Best Film,Maheshinte Prathikaaram,Aashiq Abu,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2015,,Best Film,Pathemari,Allens Media,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2014,,Best Film,Munnariyippu,Ranjith,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2013,,Best Film,Drishyam,Antony Perumbavoor,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2012,,Best Film,Ayalum Njanum Thammil,Prem Prakash,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2011,,Best Film,Traffic,Listin Stephen,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2010,,Best Film,Pranchiyettan and the Saint,Renjith,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2009,,Best Film,Kerala Varma Pazhassi Raja,Gokulam Gopalan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2008,,Best Film,Thirakkatha,Ranjith and Maha Subair,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
Filmfare Awards South,2007,,Best Film,Kadha Parayumbol,Sreenivasan and Mukesh,,Winner,Malayalam,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Malayalam
