award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Kerala State Film Awards,1969,,Best Film,Kumara Sambhavam,P. Subramaniam,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1970,,Best Film,Olavum Theeravum,P. N. Menon,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1971,,Best Film,Sarasayya,Thoppil Bhasi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1972,,Best Film,Panitheeratha Veedu,K. S. Sethumadhavan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1973,,Best Film,Nirmalyam,M. T. Vasudevan Nair,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1974,,Best Film,Uttarayanam,G. Aravindan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1975,,Best Film,Swapnadanam,K. G. George,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1976,,Best Film,Manimuzhakkam,P. A. Backer,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1977,,Best Film,Kodiyettam,Adoor Gopalakrishnan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1978,,Best Film,Ashwathama,K. R. Mohanan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1978,,Best Film,Bandhanam,M. T. Vasudevan Nair,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1979,,Best Film,Esthappan,G. Aravindan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1980,,Best Film,Oppol,K. S. Sethumadhavan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1981,,Best Film,Elippathayam,Adoor Gopalakrishnan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1982,,Best Film,Marmaram,Bharathan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1982,,Best Film,Yavanika,K. G. George,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1983,,Best Film,Ente Mamattikkuttiyammakku,Fazil,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1984,,Best Film,Mukhamukham,Adoor Gopalakrishnan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1985,,Best Film,Chidambaram,G. Aravindan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1986,,Best Film,Oridathu,G. Aravindan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1987,,Best Film,Purushartham,K. R. Mohanan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1988,,Best Film,Ore Thooval Pakshikal,Chintha Ravi,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1989,,Best Film,Vadakkunokkiyantram,Sreenivasan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1990,,Best Film,Vasthuhara,G. Aravindan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1991,,Best Film,Kadavu,M. T. Vasudevan Nair,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1992,,Best Film,Daivathinte Vikrithikal,Lenin Rajendran,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1993,,Best Film,Vidheyan,Adoor Gopalakrishnan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1994,,Best Film,Parinayam,Hariharan,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1995,,Best Film,Kazhakam,M. P. Sukumaran Nair,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1996,,Best Film,No award,[ 2 ],,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1997,,Best Film,Bhoothakkannadi,Lohithadas,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
Kerala State Film Awards,1998,,Best Film,Agnisakshi,Shyama Prasad,,Winner,Malayalam,https://en.wikipedia.org/wiki/Kerala_State_Film_Award_for_Best_Film
