award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Karnataka State Film Awards,1967-68,,Best Film,Belli Moda,T. N. Srinivasan,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1968-69,,Best Film,Hannele Chiguridaga,• Srikanth Nahta • Srikanth Patel,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1969-70,,Best Film,Gejje Pooje,Rashi Brothers,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1970-71,,Best Film,Sharapanjara,C. S. Raja,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1971-72,,Best Film,Vamsha Vriksha,G. V. Iyer,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1972-73,,Best Film,Sankalpa,P. V. Nanjaraja Urs,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1973-74,,Best Film,Bhootayyana Maga Ayyu,• Siddalingaiah • S. P. Varadappa • N. Veeraswamy • Chandulal Jain,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1974-75,,Best Film,Upasane,Rashi Brothers,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1975-76,,Best Film,Chomana Dudi,Ashok Kumar,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1976-77,,Best Film,Pallavi,K. S. Indira Lankesh,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1977-78,,Best Film,Ghatashraddha,Sadananda Suvarna,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1978-79,,Best Film,Grahana,• D. Ramegowda • D. Venkatesh • D. Shivaram,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1979-80,,Best Film,Arivu,K. R. Lalitha,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1980-81,,Best Film,Ranganayaki,B. Thimmanna,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
Karnataka State Film Awards,1981-82,,Best Film,Bara,M. S. Sathyu,,Winner,Kannada,https://en.wikipedia.org/wiki/Karnataka_State_Film_Award_for_Best_Film
