award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Suvarna Film Awards,2008,,Best Film,Mungaaru Male,Mungaaru Male,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2008,,Best Director,Yogaraj Bhat,Mungaaru Male,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2008,,Best Actor,Ganesh,Mungaaru Male,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2008,,Best Actress,Pooja Gandhi,Mungaaru Male,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2010,,Best Film,Jackie,Jackie,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2010,,Best Actor,Puneeth Rajkumar,Jackie,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2010,,Best Actress,Radhika Pandit,Krishnan Love Story,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2011,,Best Actor,Puneeth Rajkumar,Paramathma,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2011,,Best Actress,Radhika Pandit,Hudugaru,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2011,,Best Film,Sarathi,Sarathi,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2012,,Best Actor,Yash,Drama,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2012,,Best Actress,Radhika Pandit,Addhuri,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2013,,Best Actor,Sudeep,Bachchan,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
Suvarna Film Awards,2013,,Best Actress,Amulya,Shravani Subramanya,,Winner,Kannada,https://en.wikipedia.org/wiki/Suvarna_Film_Awards
