award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
CineMAA Awards,2003,,Best Film,Dasari Narayana Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2005,,Best Film,D. Rama Naidu,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2008,,Best Film,K. Viswanath,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2010,,Best Film,C. Narayanareddy,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2011,,Best Film,S. P. Balasubrahmanyam,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2012,,Best Film,K. Raghavendra Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2013,,Best Film,P. C. Sriram,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2015,,Best Film,Krishna,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Film
CineMAA Awards,2003,,Best Director,Dasari Narayana Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2005,,Best Director,D. Rama Naidu,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2008,,Best Director,K. Viswanath,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2010,,Best Director,C. Narayanareddy,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2011,,Best Director,S. P. Balasubrahmanyam,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2012,,Best Director,K. Raghavendra Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2013,,Best Director,P. C. Sriram,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2015,,Best Director,Krishna,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Director
CineMAA Awards,2003,,Best Actress,Dasari Narayana Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2005,,Best Actress,D. Rama Naidu,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2008,,Best Actress,K. Viswanath,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2010,,Best Actress,C. Narayanareddy,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2011,,Best Actress,S. P. Balasubrahmanyam,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2012,,Best Actress,K. Raghavendra Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2013,,Best Actress,P. C. Sriram,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2015,,Best Actress,Krishna,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Actress
CineMAA Awards,2003,,Best Music Director,Dasari Narayana Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2005,,Best Music Director,D. Rama Naidu,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2008,,Best Music Director,K. Viswanath,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2010,,Best Music Director,C. Narayanareddy,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2011,,Best Music Director,S. P. Balasubrahmanyam,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2012,,Best Music Director,K. Raghavendra Rao,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2013,,Best Music Director,P. C. Sriram,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
CineMAA Awards,2015,,Best Music Director,Krishna,,,Winner,Telugu,https://en.wikipedia.org/wiki/CineMAA_Award_for_Best_Music_Director
