award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Nandi Awards,2016,,Best Feature Film,Pelli Choopulu,Tharun Bhascker Dhaassyam,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2015,,Best Feature Film,Baahubali: The Beginning,S. S. Rajamouli,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2014,,Best Feature Film,Legend,Boyapati Srinu,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2013,,Best Feature Film,Mirchi,Koratala Siva,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2012,,Best Feature Film,Eega,S. S. Rajamouli,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2011,,Best Feature Film,Sri Rama Rajyam,Bapu,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2010,,Best Feature Film,Vedam,Radhakrishna Jagarlamudi,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2009,,Best Feature Film,Sontha Vooru,P. Sunil Kumar Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2008,,Best Feature Film,Gamyam,Radhakrishna Jagarlamudi,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2007,,Best Feature Film,Mee Sreyobhilashi,Eswar Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2006,,Best Feature Film,Bommarillu,Bhaskar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2005,,Best Feature Film,Pothe Poni,Tammareddy Bharadwaja,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2004,,Best Feature Film,Aa Naluguru,Chandra Siddhartha,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2003,,Best Feature Film,Missamma,Neelakanta,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2002,,Best Feature Film,Manmadhudu,K. Vijaya Bhaskar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2001,,Best Feature Film,Preminchu,Boyina Subba Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2000,,Best Feature Film,Chirunavvutho,G. Ramprasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1999,,Best Feature Film,Kalisundam Raa,Uday Shankar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1998,,Best Feature Film,Tholi Prema,A. Karunakaran,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1997,,Best Feature Film,Annamayya,K. Raghavendra Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1996,,Best Feature Film,Pavithra Bandham,Muthyala Subbaiah,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1995,,Best Feature Film,Sogasu Chooda Tharamaa,Gunasekhar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1994,,Best Feature Film,Bangaru Kutumbam,Dasari Narayana Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1993,,Best Feature Film,Mr. Pellam,Bapu,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1992,,Best Feature Film,No Award,-,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1991,,Best Feature Film,Yagnam,Gutta Ramineedu,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1990,,Best Feature Film,Erra Mandaram,Muthyala Subbaiah,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1989,,Best Feature Film,Geethanjali,Mani Ratnam,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1988,,Best Feature Film,Swarna Kamalam,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1987,,Best Feature Film,Sruthi Layalu,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1986,,Best Feature Film,Swathi Muthyam,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1985,,Best Feature Film,Mayuri,Singeetham Srinivasa Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1984,,Best Feature Film,Swathi,Kranthi Kumar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1983,,Best Feature Film,Ananda Bhairavi,Jandhyala,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1982,,Best Feature Film,Meghasandesam,Dasari Narayana Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1981,,Best Feature Film,Seethakoka Chiluka,Bharathiraja,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1980,,Best Feature Film,Yuvatharam Kadilindi,Dhavala Satyam,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1979,,Best Feature Film,Sankarabharanam,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1978,,Best Feature Film,Naalaga Endaro,Eeranki Sharma,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1977,,Best Feature Film,No Award,-,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1976,,Best Feature Film,Oorummadi Brathukulu,B. S. Narayana,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1975,,Best Feature Film,Jeevana Jyothi,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1974,,Best Feature Film,Alluri Seetharama Raju,V. Ramachandra Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1973,,Best Feature Film,Sharada,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1972,,Best Feature Film,Kalam Marindi,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1971,,Best Feature Film,Chelleli Kapuram,K. Viswanath,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1970,,Best Feature Film,Kathanayika Molla,B. Padmanabham,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1969,,Best Feature Film,Kathanayakudu,K. Hemambaradara Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1968,,Best Feature Film,Bandhavyalu,S. V. Ranga Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1967,,Best Feature Film,Sudi Gundalu,"Adurthi Subba Rao , K. Viswanath",,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1966,,Best Feature Film,Rangula Ratnam,B. N. Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1965,,Best Feature Film,Antastulu,V. Madhusudhana Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1964,,Best Feature Film,Doctor Chakravarthy,Adurthi Subbarao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2016,,Best Feature Film,Arddhanaari,P. Bhanushanker Chowdary,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2015,,Best Feature Film,Yevade Subramanyam,Nag Ashwin,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2014,,Best Feature Film,Manam,Vikram K Kumar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2013,,Best Feature Film,Naa Bangaaru Talli,Rajesh Touchriver,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2012,,Best Feature Film,Minugurulu,Ayodhya Kumar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2011,,Best Feature Film,Rajanna,Vijayendra Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2010,,Best Feature Film,Ganga Putrulu,P. Sunilkumar Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2009,,Best Feature Film,Baanam,Chaitanya Dantuluri,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2008,,Best Feature Film,Vinayakudu,Sai Kiran Adivi,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2007,,Best Feature Film,Happy Days,Sekhar Kammula,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2006,,Best Feature Film,Godavari,Sekhar Kammula,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2005,,Best Feature Film,Anukokunda Oka Roju,Chandra Sekhar Yeleti,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2004,,Best Feature Film,Anand,Sekhar Kammula,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2003,,Best Feature Film,Okkadu,Gunasekhar,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2002,,Best Feature Film,Nuvve Nuvve,Trivikram,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2001,,Best Feature Film,Murari,Krishna Vamsi,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,2000,,Best Feature Film,Azad,Tirupathi Swamy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1999,,Best Feature Film,Nee Kosam,Srinu Vytla,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1998,,Best Feature Film,Kante Kuthurne Kanu,Dasari Narayana Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1997,,Best Feature Film,Sindhooram,Krishna Vamsi,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1996,,Best Feature Film,Little Soldiers,Gangaraju Gunnam,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1995,,Best Feature Film,Badili,C. V. Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1994,,Best Feature Film,Subha Lagnam,S. V. Krishna Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
Nandi Awards,1993,,Best Feature Film,Money,Siva Nageswara Rao,,Winner,Telugu,https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
