award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Film,Venu Yeldandi,Balagam,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Director,Gopichand Malineni,Veera Simha Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Director,Sai Rajesh,Baby,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Producer,Sreenivasa Kumar Naidu,Baby,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Actor,Anand Deverakonda,Baby,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Actress,Samyuktha,Virupaksha,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Supporting Actor,Srikanth Iyengar,Bedurulanka 2012,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Villain,Vishwak Sen,Das Ka Dhamki,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Lyricist,Chandrabose,"""Naatu Naatu"" from RRR",,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Debut Director,Dandela Yelleshwara Rao,Love You Ram,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Debut Actress,Vaishnavi Chaitanya,Baby,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Child Actor,Allu Arha[a],Shaakuntalam,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Cinematographer,Ram Prasad,Bhagavanth Kesari,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Action,Ram Lakshman,Waltair Veerayya,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Supporting Actress – Tamil,Saritha[b],Maaveeran,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Debut Actress – Tamil,Malvika Sharma,Coffee with Kadhal,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Film – Kannada,"B. Suresha, Shylaja Nag",Kranti,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Director – Kannada,Harsha,Vedha,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Actress – Kannada,Shriya Saran,Kabzaa,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Debut Director – Kannada,Nithin Krishnamurthy,Hostel Hudugaru Bekagiddare,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
Santosham Film Awards,2023,22nd Santosham Film Awards,Best Film – Malayalam,[c],Jana Gana Mana,,Winner,Telugu,https://en.wikipedia.org/wiki/22nd_Santosham_Film_Awards
