award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
SIIMA Awards,2011,,Best Film,Dookudu,Ram Achanta Gopichand Achanta Anil Sunkara,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2012,,Best Film,Eega,Sai Korrapati,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2013,,Best Film,Attarintiki Daredi,B. V. S. N. Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2014,,Best Film,Manam,Nagarjuna,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2015,,Best Film,Baahubali: The Beginning,Shobu Yarlagadda Prasad Devineni,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2016,,Best Film,Pelli Choopulu,Raj Kandukuri Yash Rangineni,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2017,,Best Film,Baahubali 2: The Conclusion,Shobu Yarlagadda Prasad Devineni,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2018,,Best Film,Mahanati,Swapna Dutt Priyanka Dutt,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2019,,Best Film,Jersey,Naga Vamsi,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2020,,Best Film,Ala Vaikunthapurramuloo,Allu Aravind S. Radha Krishna,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2021,,Best Film,Pushpa: The Rise,Mythri Movie Makers Muttamsetty Media,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2022,,Best Film,Sita Ramam,Vyjayanthi Movies Swapna Cinema,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2023,,Best Film,Bhagavanth Kesari,Shine Screens,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2024,,Best Film,Kalki 2898 AD,Vyjayanthi Movies,,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Film_–_Telugu
SIIMA Awards,2011,,Best Actor,Mahesh Babu,[ 1 ],Dookudu,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2012,,Best Actor,Pawan Kalyan,[ 2 ] [ 3 ],Gabbar Singh,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2013,,Best Actor,Mahesh Babu,[ 4 ],Seethamma Vakitlo Sirimalle Chettu,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2014,,Best Actor,Nandamuri Balakrishna,[ 5 ],Legend,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2015,,Best Actor,Mahesh Babu,[ 6 ] [ 7 ],Srimanthudu,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2016,,Best Actor,N. T. Rama Rao Jr.,[ 8 ] [ 9 ],Janatha Garage,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2017,,Best Actor,Prabhas,[ 10 ] [ 11 ],Baahubali 2: The Conclusion,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2018,,Best Actor,Ram Charan,[ 12 ] [ 13 ],Rangasthalam,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2019,,Best Actor,Mahesh Babu,[ 14 ],Maharshi,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2020,,Best Actor,Allu Arjun,[ 15 ],Ala Vaikunthapurramuloo,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2021,,Best Actor,Allu Arjun,[ 16 ],Pushpa: The Rise,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2022,,Best Actor,N. T. Rama Rao Jr.,[ 17 ],RRR,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2023,,Best Actor,Nani,[ 18 ],Dasara,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2024,,Best Actor,Allu Arjun,[ 19 ],Pushpa 2: The Rule,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actor_–_Telugu
SIIMA Awards,2011 ( 1st ),,Best Actress,Nayanthara,[ 1 ] [ 2 ],Sri Rama Rajyam,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2011 ( 1st ),,Best Actress,Samantha,Dookudu,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2011 ( 1st ),,Best Actress,Kajal Aggarwal,Mr. Perfect,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2011 ( 1st ),,Best Actress,Hansika Motwani,Kandireega,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2011 ( 1st ),,Best Actress,Tamannaah Bhatia,100% Love,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2012 ( 2nd ),,Best Actress,Shruti Haasan,[ 3 ],Gabbar Singh,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2012 ( 2nd ),,Best Actress,Nayanthara,Krishnam Vande Jagadgurum,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2012 ( 2nd ),,Best Actress,Kajal Aggarwal,Businessman,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2012 ( 2nd ),,Best Actress,Samantha,Eega,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2013 ( 3rd ),,Best Actress,Samantha,[ 4 ],Attarintiki Daredi,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2013 ( 3rd ),,Best Actress,Shruti Haasan,Balupu,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2013 ( 3rd ),,Best Actress,Nithya Menen,Gunde Jaari Gallanthayyinde,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2013 ( 3rd ),,Best Actress,Tamannaah Bhatia,Tadakha,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2013 ( 3rd ),,Best Actress,Kajal Aggarwal,Baadshah,,Nominee,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
SIIMA Awards,2014 ( 6th ),,Best Actress,Shruti Haasan,[ 5 ] [ 6 ],Race Gurram,Winner,Telugu,https://en.wikipedia.org/wiki/SIIMA_Award_for_Best_Actress_–_Telugu
