award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Berlin International Film Festival,1951,,Golden Bear,Leopold Lindtberg,Four in a Jeep (Drama),,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1951,,Golden Bear,Jean-Paul Le Chanois,Without Leaving an Address (Comedy),,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1951,,Golden Bear,James Algar,In Beaver Valley (Documentary),,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1951,,Golden Bear,André Cayatte,Justice Is Done (Thriller & Adventure),,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1951,,Golden Bear,Wilfred Jackson,Cinderella (Music Film),,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1952,,Golden Bear,Arne Mattsson,One Summer of Happiness,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1953,,Golden Bear,Henri-Georges Clouzot,The Wages of Fear,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1954,,Golden Bear,David Lean,Hobson's Choice,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1955,,Golden Bear,Robert Siodmak,Die Ratten,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1956,,Golden Bear,Gene Kelly,Invitation to the Dance,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1957,,Golden Bear,Sidney Lumet,12 Angry Men,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1958,,Golden Bear,Ingmar Bergman,Wild Strawberries,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1959,,Golden Bear,Claude Chabrol,Les Cousins,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1960,,Golden Bear,César Fernández Ardavín,El Lazarillo de Tormes,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1961,,Golden Bear,Michelangelo Antonioni,La Notte,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1962,,Golden Bear,John Schlesinger,A Kind of Loving,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1963,,Golden Bear,Tadashi Imai,"Bushido, Samurai Saga",,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1963,,Golden Bear,Gian Luigi Polidoro,To Bed or Not to Bed,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1964,,Golden Bear,Metin Erksan,Dry Summer,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1965,,Golden Bear,Jean-Luc Godard,Alphaville,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1966,,Golden Bear,Roman Polanski,Cul-de-Sac,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1967,,Golden Bear,Jerzy Skolimowski,Le Départ,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1968,,Golden Bear,Jan Troell,Who Saw Him Die?,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1969,,Golden Bear,Želimir Žilnik,Early Works,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1970,,Golden Bear,No awards given because of the controversy surrounding Michael Verhoeven's anti-war film o.k.[a],No awards given because of the controversy surrounding Michael Verhoeven's anti-war film o.k.[a],,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1971,,Golden Bear,Vittorio De Sica,The Garden of the Finzi-Continis,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1972,,Golden Bear,Pier Paolo Pasolini,The Canterbury Tales,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1973,,Golden Bear,Satyajit Ray,Distant Thunder,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1974,,Golden Bear,Ted Kotcheff,The Apprenticeship of Duddy Kravitz,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1975,,Golden Bear,Márta Mészáros,Adoption,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1976,,Golden Bear,Robert Altman,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1977,,Golden Bear,Larisa Shepitko,The Ascent,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1978,,Golden Bear,Tomás Muñoz,Ascensor,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1978,,Golden Bear,José Luis García Sánchez,Las truchas,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1978,,Golden Bear,Emilio Martínez-Lázaro,What Max Said,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1979,,Golden Bear,Peter Lilienthal,David,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1980,,Golden Bear,Richard Pearce,Heartland,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1980,,Golden Bear,Werner Schroeter,Palermo or Wolfsburg,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1981,,Golden Bear,Carlos Saura,"Deprisa, deprisa",,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
Berlin International Film Festival,1982,,Golden Bear,Rainer Werner Fassbinder,Veronika Voss,,Nominee,German,https://en.wikipedia.org/wiki/Golden_Bear
