award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
César Awards,1976,,Best Film,Robert Enrico,The Old Gun,,Winner,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1976,,Best Film,Jean Charles Tacchella,"Cousin, Cousine",,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1976,,Best Film,Bertrand Tavernier,Let Joy Reign Supreme,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1976,,Best Film,Jacques Rouffio,7 morts sur ordonnance,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1977,,Best Film,Joseph Losey,Mr. Klein,,Winner,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1977,,Best Film,André Téchiné,Barocco,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1977,,Best Film,Claude Miller,The Best Way to Walk,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1977,,Best Film,Bertrand Tavernier,The Judge and the Assassin,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1978,,Best Film,Alain Resnais,Providence,,Winner,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1978,,Best Film,Pierre Schoendoerffer,Drummer-Crab,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1978,,Best Film,Claude Goretta,The Lacemaker,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1978,,Best Film,Yves Robert,We Will All Meet in Paradise,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1979,,Best Film,Christian de Chalonge,Other People's Money,,Winner,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1979,,Best Film,Michel Deville,Dossier 51,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1979,,Best Film,Ariane Mnouchkine,Molière,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
César Awards,1979,,Best Film,Claude Sautet,A Simple Story,,Nominee,French,https://en.wikipedia.org/wiki/César_Award_for_Best_Film
