award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Golden Globe Awards,1943,,Best Motion Picture – Drama,Henry King,The Song of Bernadette,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1944,,Best Motion Picture – Drama,Leo McCarey,Going My Way,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1945,,Best Motion Picture – Drama,Billy Wilder,The Lost Weekend,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1946,,Best Motion Picture – Drama,William Wyler,The Best Years of Our Lives,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1947,,Best Motion Picture – Drama,Elia Kazan,Gentleman's Agreement,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1948,,Best Motion Picture – Drama,Jean Negulesco,Johnny Belinda,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1948,,Best Motion Picture – Drama,John Huston,The Treasure of the Sierra Madre,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1949,,Best Motion Picture – Drama,Robert Rossen,All the King's Men,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1949,,Best Motion Picture – Drama,Henry Koster,Come to the Stable,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1950,,Best Motion Picture – Drama,Billy Wilder,Sunset Boulevard,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1950,,Best Motion Picture – Drama,Joseph L. Mankiewicz,All About Eve,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1950,,Best Motion Picture – Drama,George Cukor,Born Yesterday,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1950,,Best Motion Picture – Drama,Michael Gordon,Cyrano de Bergerac,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1950,,Best Motion Picture – Drama,Henry Koster,Harvey,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1951,,Best Motion Picture – Drama,George Stevens,A Place in the Sun,,Winner,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1951,,Best Motion Picture – Drama,Mark Robson,Bright Victory,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
Golden Globe Awards,1951,,Best Motion Picture – Drama,William Wyler,Detective Story,,Nominee,English,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
