award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Goya Awards,1986,,Best Film,Fernando Fernán Gómez,Voyage to Nowhere,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1986,,Best Film,Montxo Armendáriz,27 Hours,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1986,,Best Film,Manuel Gutiérrez Aragón,Half of Heaven,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1987,,Best Film,José Luis Cuerda,The Enchanted Forest,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1987,,Best Film,José Luis García Sánchez,Divine Words,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1987,,Best Film,Vicente Aranda,El Lute: Run for Your Life,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1988,,Best Film,Pedro Almodóvar,Women on the Verge of a Nervous Breakdown,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1988,,Best Film,Gonzalo Suárez,Rowing with the Wind,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1988,,Best Film,Antonio Drove,The Tunnel,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1988,,Best Film,Antonio Mercero,Wait for Me in Heaven,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1988,,Best Film,Francisco Regueiro,Winter Diary,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1989,,Best Film,Fernando Trueba,Twisted Obsession,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1989,,Best Film,Josefina Molina,Esquilache,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1989,,Best Film,Vicente Escrivá,Montoyas y Tarantos,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1989,,Best Film,Agustí Villaronga,Moon Child,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1989,,Best Film,Fernando Fernán Gómez,The Sea and the Weather,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1990,,Best Film,Carlos Saura,¡Ay Carmela!,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1990,,Best Film,Montxo Armendáriz,Letters from Alou,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1990,,Best Film,Pedro Almodóvar,Tie Me Up! Tie Me Down!,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1991,,Best Film,Vicente Aranda,Lovers,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1991,,Best Film,Gonzalo Suárez,Don Juan in Hell,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1991,,Best Film,Imanol Uribe,The Dumbfounded King,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1992,,Best Film,Fernando Trueba,Belle Époque,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1992,,Best Film,Pedro Olea,The Fencing Master,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1992,,Best Film,Bigas Luna,A Tale of Ham and Passion,,Nominee,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
Goya Awards,1993,,Best Film,Luis García Berlanga,Everyone to Jail,,Winner,Spanish,https://en.wikipedia.org/wiki/Goya_Award_for_Best_Film
