award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Guldbagge Awards,1963,,Best Film,Ingmar Bergman,The Silence,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1964,,Best Film,Åke Falck,Swedish Wedding Night,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1965,,Best Film,Bo Widerberg,Heja Roland!,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1966,,Best Film,Ingmar Bergman,Persona §,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1967,,Best Film,Kjell Grede,Hugo and Josephine,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1968,,Best Film,Grupp 13[a],The White Game,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1969,,Best Film,Roy Andersson,A Swedish Love Story,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1969,,Best Film,Lars Lennart Forsberg,Mistreatment,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1970,,Best Film,Jan Troell,The Emigrants,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1971,,Best Film,Tage Danielsson,The Apple War,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1972,,Best Film,Ingmar Bergman,Cries and Whispers,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1973,,Best Film,Vilgot Sjöman,A Handful of Love,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1974,,Best Film,Jan Halldoff,The Last Adventure,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1975,,Best Film,Tage Danielsson,Release the Prisoners to Spring,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1976,,Best Film,Bo Widerberg,The Man on the Roof,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1977,,Best Film,Tage Danielsson,The Adventures of Picasso,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1978,,Best Film,Stefan Jarl,A Respectable Life,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1979,,Best Film,Mats Arehn,To Be a Millionaire,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
Guldbagge Awards,1980,,Best Film,Kay Pollak,Children's Island,,Winner,Swedish,https://en.wikipedia.org/wiki/Guldbagge_Award_for_Best_Film
