award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Nordic Council Film Prize,2002,,Prize winners and nominees,Aki Kaurismäki,The Man Without a Past,,Winner,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Even Benestad,All About My Father,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Rostislav Aalto,Cleaning up!,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Susanne Bier,Open Hearts,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Baltasar Kormákur,The Sea,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Mikael Håfström,Days Like This,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Lukas Moodysson,Lilya 4-ever,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Ágúst Guðmundsson,The Seagull's Laughter,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Unni Straume,Music for Weddings and Funerals,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2002,,Prize winners and nominees,Jesper W. Nielsen,Okay,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Per Fly,Manslaughter,,Winner,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Nicolas Winding Refn,Pusher II: With Blood on My Hands,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Aku Louhimies,Frozen Land,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Pirjo Honkasalo,The 3 Rooms of Melancholia,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Ari Alexander Ergis Magnússon,Screaming Masterpiece,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Silja Hauksdóttir,Dis (2004 film),,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Sara Johnsen,Kissed by Winter,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Erik Poppe,"Hawaii, Oslo",,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Ruben Östlund,The Guitar Mongoloid,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2005,,Prize winners and nominees,Lukas Moodysson,A Hole in My Heart,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Josef Fares,Zozo,,Winner,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Susanne Bier,After the Wedding,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Christoffer Boe,Offscreen,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Jouko Aaltonen [arz; fi],Revolution,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Klaus Härö,Mother of Mine,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Árni Ásgeirsson,Thicker Than Water,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
Nordic Council Film Prize,2006,,Prize winners and nominees,Baltasar Kormákur,A Little Trip to Heaven,,Nominee,Nordic,https://en.wikipedia.org/wiki/Nordic_Council_Film_Prize
