award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Prix Louis-Delluc,1937,,1930s,Jean Renoir,The Lower Depths,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1938,,1930s,Jeff Musso,The Puritan,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1939,,1930s,Marcel Carné,Port of Shadows,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1945,,1940s,André Malraux,Espoir: Sierra de Teruel,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1946,,1940s,Jean Cocteau,Beauty and the Beast,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1947,,1940s,Nicole Védrès,Paris 1900,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1948,,1940s,Jean Dréville,The Spice of Life,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1949,,1940s,Jacques Becker,Rendezvous in July,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1950,,1950s,Robert Bresson,Diary of a Country Priest,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1952,,1950s,Alexandre Astruc,The Crimson Curtain,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1953,,1950s,Jacques Tati,Les Vacances de Monsieur Hulot,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1954,,1950s,Henri-Georges Clouzot,Les Diaboliques,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1955,,1950s,René Clair,The Grand Maneuver,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1956,,1950s,Albert Lamorisse,The Red Balloon,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1957,,1950s,Louis Malle,Elevator to the Gallows,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1958,,1950s,Jean Rouch,"Moi, un noir",,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1959,,1950s,Michel Drach,No Burials on Sunday,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1960,,1960s,Henri Colpi,The Long Absence,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1961,,1960s,François Reichenbach,The Winner,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1962,,1960s,Alain Robbe-Grillet,L'Immortelle,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1962,,1960s,Pierre Étaix,The Suitor,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1963,,1960s,Jacques Demy,The Umbrellas of Cherbourg,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1964,,1960s,Agnès Varda,Le Bonheur,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1965,,1960s,Jean-Paul Rappeneau,A Matter of Resistance,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1966,,1960s,Alain Resnais,The War Is Over,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1967,,1960s,Michel Deville,Benjamin,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1968,,1960s,François Truffaut,Stolen Kisses,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1969,,1960s,Claude Sautet,The Things of Life,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1970,,1970s,Éric Rohmer,Claire's Knee,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1971,,1970s,André Delvaux,Rendezvous at Bray,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1972,,1970s,Costa-Gavras,State of Siege,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1973,,1970s,Bertrand Tavernier,The Clockmaker,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1974,,1970s,Claude Pinoteau,The Slap,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
Prix Louis-Delluc,1975,,1970s,Jean-Charles Tacchella,Cousin Cousine,,Nominee,French,https://en.wikipedia.org/wiki/Prix_Louis-Delluc
