award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
San Sebastián International Film Festival,1953,,Golden Shell,Rafael Gil,I Was a Parish Priest,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1954,,Golden Shell,Antonio del Amo,Cursed Mountain,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1955,,Golden Shell,Giuseppe de Santis,Days of Love,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1956,,Golden Shell,Pietro Germi,The Railroad Man,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1957,,Golden Shell,Dino Risi,Oh! Sabella,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1958,,Golden Shell,Tadeusz Chmielewski,Eve Wants to Sleep,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1959,,Golden Shell,Fred Zinnemann,The Nun's Story,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1960,,Golden Shell,Jiri Weiss,"Romeo, Juliet and Darkness",,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1961,,Golden Shell,Marlon Brando,One-Eyed Jacks,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1962,,Golden Shell,Damiano Damiani,Arturo's Island,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1963,,Golden Shell,Alberto Lattuada,Mafioso,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1964,,Golden Shell,Elia Kazan,"America, America",,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1965,,Golden Shell,Otakar Vávra,Golden Queen,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1965,,Golden Shell,Edward Dmytryk,Mirage,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1966,,Golden Shell,Desmond Davis,I Was Happy Here,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
San Sebastián International Film Festival,1967,,Golden Shell,Stanley Donen,Two for the Road,,Nominee,Spanish,https://en.wikipedia.org/wiki/Golden_Shell
