award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Academy Awards,1928,1,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,,Nominee,English,
Academy Awards,1928,1,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Patent Leather Kid,,Nominee,English,
Academy Awards,1928,1,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,,Winner,English,
Academy Awards,1928,1,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,,Winner,English,
Academy Awards,1928,1,ACTRESS IN A LEADING ROLE,Louise Dresser,A Ship Comes In,,Nominee,English,
Academy Awards,1928,1,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,,Winner,English,
Academy Awards,1928,1,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,,Winner,English,
Academy Awards,1928,1,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,,Winner,English,
Academy Awards,1928,1,ACTRESS IN A LEADING ROLE,Gloria Swanson,Sadie Thompson,,Nominee,English,
Academy Awards,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,,Nominee,English,
Academy Awards,1928,1,ART DIRECTION,William Cameron Menzies,The Dove,,Winner,English,
Academy Awards,1928,1,ART DIRECTION,William Cameron Menzies,Tempest,,Winner,English,
Academy Awards,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,,Nominee,English,
Academy Awards,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer,,Nominee,English,
Academy Awards,1928,1,CINEMATOGRAPHY,George Barnes,The Magic Flame,,Nominee,English,
Academy Awards,1928,1,CINEMATOGRAPHY,George Barnes,Sadie Thompson,,Nominee,English,
Academy Awards,1928,1,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,,Winner,English,
Academy Awards,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,,Winner,English,
Academy Awards,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,,Nominee,English,
Academy Awards,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,,Winner,English,
Academy Awards,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,,Nominee,English,
Academy Awards,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,,Nominee,English,
Academy Awards,1928,1,VISUAL EFFECTS,Ralph Hammeras,,,Nominee,English,
Academy Awards,1928,1,VISUAL EFFECTS,Roy Pomeroy,Wings,,Winner,English,
Academy Awards,1928,1,VISUAL EFFECTS,Nugent Slaughter,,,Nominee,English,
Academy Awards,1928,1,BEST PICTURE,The Caddo Company,The Racket,,Nominee,English,
Academy Awards,1928,1,BEST PICTURE,Fox,7th Heaven,,Nominee,English,
Academy Awards,1928,1,BEST PICTURE,Paramount Famous Lasky,Wings,,Winner,English,
Academy Awards,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,,Winner,English,
Academy Awards,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,,Nominee,English,
Academy Awards,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,,Nominee,English,
Academy Awards,1928,1,WRITING (Adapted Screenplay),Alfred Cohn,The Jazz Singer,,Nominee,English,
Academy Awards,1928,1,WRITING (Adapted Screenplay),Anthony Coldeway,Glorious Betsy,,Nominee,English,
Academy Awards,1928,1,WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven,,Winner,English,
Academy Awards,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,,Nominee,English,
Academy Awards,1928,1,WRITING (Original Story),Ben Hecht,Underworld,,Winner,English,
Academy Awards,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,,Nominee,English,
Academy Awards,1928,1,WRITING (Title Writing),Joseph Farnham,,,Winner,English,
Academy Awards,1928,1,WRITING (Title Writing),George Marion Jr.,,,Nominee,English,
Academy Awards,1928,1,SPECIAL AWARD,Warner Bros.,The Jazz Singer,,Winner,English,
Academy Awards,1928,1,SPECIAL AWARD,Charles Chaplin,The Circus,,Winner,English,
Academy Awards,1929,2,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,,Nominee,English,
Academy Awards,1929,2,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,,Winner,English,
Academy Awards,1929,2,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,,Nominee,English,
