award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Amanda Awards,1985,,Best Film (Norwegian),Ola Solum,Orions belte,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1985,,Best Film (Norwegian),Egil Kolstø,Galskap!,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1985,,Best Film (Norwegian),Terje Kristiansen,The Chieftain,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1986,,Best Film (Norwegian),Anja Breien,Wives – Ten Years After,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1986,,Best Film (Norwegian),Erik Gustavson,Blackout,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1986,,Best Film (Norwegian),Lasse Glomm,Havlandet,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1987,,Best Film (Norwegian),Oddvar Einarson,X,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1987,,Best Film (Norwegian),Sølve Skagen,Hard Asphalt,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1987,,Best Film (Norwegian),Bente Erichsen,The Feldmann Case,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1988,,Best Film (Norwegian),Nils Gaup,Veiviseren,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1988,,Best Film (Norwegian),Per Blom,The Ice Palace,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1988,,Best Film (Norwegian),Leidulv Risan,Etter Rubicon,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1989,,Best Film (Norwegian),Sigve Endresen,For harde livet,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1990,,Best Film (Norwegian),Martin Asphaug,En håndfull tid,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1991,,Best Film (Norwegian),Erik Gustavson,Herman,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1992,,Best Film (Norwegian),Berit Nesheim,Frida – med hjertet i hånden,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1994,,Best Film (Norwegian),Nils Gaup,Hodet over vannet,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1995,,Best Film (Norwegian),Bent Hamer,Eggs,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1996,,Best Film (Norwegian),Hans Petter Moland,Kjærlighetens kjøtere,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1997,,Best Film (Norwegian),Pål Sletaune,Budbringeren,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1998,,Best Film (Norwegian),Carl Jørgen Kiønig,Salige er de som tørster,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,1999,,Best Film (Norwegian),Torun Lian,Bare skyer beveger stjernene,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2000,,Best Film (Norwegian),Thomas Robsahm,SOS,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2000,,Best Film (Norwegian),Nils Gaup,Misery Harbour,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2000,,Best Film (Norwegian),Knut Erik Jensen,Når mørket er forbi,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2001,,Best Film (Norwegian),Knut Erik Jensen,Heftig og begeistret,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2001,,Best Film (Norwegian),Hans Petter Moland,Aberdeen,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2001,,Best Film (Norwegian),Pål Jackman,Detektor,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2002,,Best Film (Norwegian),Even Benestad,Alt om min far,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2002,,Best Film (Norwegian),Ole Bornedal,Jeg er Dina,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2002,,Best Film (Norwegian),Trygve Allister Diesen,"Tyven, tyven",,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2003,,Best Film (Norwegian),Bent Hamer,Salmer fra kjøkkenet,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2003,,Best Film (Norwegian),Jens Lien,Jonny Vang,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2003,,Best Film (Norwegian),Pål Øie,Villmark,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2004,,Best Film (Norwegian),Morten Tyldum,Buddy,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2004,,Best Film (Norwegian),Hans Petter Moland,The Beautiful Country,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2004,,Best Film (Norwegian),Lars-Göran Pettersson,Bázo,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2005,,Best Film (Norwegian),"Finn Gjerdrum, Torleif Hauge, Erik Poppe","Hawaii, Oslo",,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2005,,Best Film (Norwegian),Catho Bach Christensen,Colour of Milk,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2005,,Best Film (Norwegian),Margareth Olin,Ungdommens råskap,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2005,,Best Film (Norwegian),Jørgen Storm Rosenberg,Uno,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2005,,Best Film (Norwegian),Ellen Jacobsen,Venner for Livet,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2006,,Best Film (Norwegian),Lars Andreas Hellebust,Free Jimmy,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2006,,Best Film (Norwegian),Jørgen Storm Rosenberg,The Bothersome Man,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2006,,Best Film (Norwegian),"Torleif Hauge, Finn Gjerdrum",The Giant,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2006,,Best Film (Norwegian),"John M. Jacobsen, Sveinung Golimo",Izzat,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2006,,Best Film (Norwegian),"Finn Gjerdrum, Torleif Hauge, Stein B. Kvae",Pitbullterje,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2007,,Best Film (Norwegian),Karin Julsrud,Reprise,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2007,,Best Film (Norwegian),Gudny Hummelvoll,Mirush,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2007,,Best Film (Norwegian),Eric Vogel,Sons,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2008,,Best Film (Norwegian),Yngve Sæther,The Man Who Loved Yngve,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2008,,Best Film (Norwegian),Bent Hamer,O' Horten,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2008,,Best Film (Norwegian),Olav Øen,Gone with the Woman,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2009,,Best Film (Norwegian),"John M. Jacobsen, Sveinung Golimo",Max Manus,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2009,,Best Film (Norwegian),"Maria Ekerhovd, Torleif Hauge",Jernanger,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2009,,Best Film (Norwegian),"Sigve Endresen, Brede Hovland",North,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2010,,Best Film (Norwegian),"Asle Vatn, Christian Fredrik Martin",Upperdog,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2010,,Best Film (Norwegian),"Finn Gjerdrum, Stein B. Kvae",A Somewhat Gentle Man,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2010,,Best Film (Norwegian),"Tanya Badendyck, Silje Hopland Eik, Maria Ekerhovd",Vegas,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2011,,Best Film (Norwegian),Karin Julsrud,King of Devil's Island,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
Amanda Awards,2011,,Best Film (Norwegian),"Terje Kristiansen, Vibeke Løkkeberg",Tears of Gaza,,Winner,Norwegian,https://en.wikipedia.org/wiki/List_of_Amanda_Award_winners
