award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2024,53rd Annie Awards,← 52nd Annie Awards,← 52nd,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,← 52nd Annie Awards,Annie Awards,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,KPop Demon Hunters (Sony Pictures Animation and Netflix),KPop Demon Hunters (Sony Pictures Animation and Netflix),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,KPop Demon Hunters (Sony Pictures Animation and Netflix),Elio (Pixar Animation Studios),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,KPop Demon Hunters (Sony Pictures Animation and Netflix),"Little Amélie or the Character of Rain (Maybe Movies, Ikki Films and GKIDS)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,KPop Demon Hunters (Sony Pictures Animation and Netflix),The Bad Guys 2 (DreamWorks Animation),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,KPop Demon Hunters (Sony Pictures Animation and Netflix),Zootopia 2 (Walt Disney Animation Studios),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Feature — Independent,"Arco (Remembers, MountainA France, France 3 Cinéma and NEON)",,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Feature — Independent,"A Magnificent Life (Mediawan, What the Prod and Bidibul Productions)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Feature — Independent,"I Am Frankelda (Cinema Fantasma, Warner Bros. Discovery, Woo Films and Cine Vendaval)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Feature — Independent,Lost in Starlight (Netflix and Climax Studio),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Feature — Independent,Scarlet (Studio CHIZU),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),A Loud House Christmas Movie: Naughty or Nice (Nickelodeon Animation Studio and Jam Filled Entertainment),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),"Adult Swim's The Elephant (Titmouse, Inc. and Williams Street)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),Not Just a Goof (Venturia Animation Studios for CNEK Films LLC),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Snoopy Presents: A Summer Musical (WildBrain Studios in association with Apple),The Night Before Christmas in Wonderland (Lupus Films and Universal Pictures Content Group),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Special Production - Best Short Subject,Snow Bear (The Art of Aaron Blaise),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Special Production - Best Short Subject,Cardboard (Locksmith Animation),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Special Production - Best Short Subject,"Ovary-Acting (Klipp og Lim, Jante Films, Apparat Filmproduktion AB)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Special Production - Best Short Subject,Pillowzzz (Animoshe),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best Special Production - Best Short Subject,The Girl Who Cried Pearls (National Film Board of Canada),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Olipop Yeti (Screen Novelties & Passion Pictures),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Animated Short: Trek | Honkai: Star Rail (FLiiiP Design),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Fortnite x The Simpsons: Apocalypse D'Oh! (Gracie Films in association with 20th Television Animation),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,LouiMax Dreams of Being an Adult (Imagine Create Media Inc. in conjunction with Maileg APS),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Sonic Racing: CrossWorlds,The Animation (SEGA of America in association with GXS Productions),,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Wow Lisa: Rainy Day (Punkrobot),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,Eva The Owlet: Welcome to Treetopington (Brown Bag Films / Scholastic Entertainment in association with Apple),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,"Kindergarten: The Musical: Gotta Go! (Oddbot Entertainment, Disney Branded Television)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,"The Tiny Chef Show: Tiny Chef's Spooky Stump Spectacular (Imagine Entertainment, Tiny Chef Productions, and Nickelodeon Productions)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
,2024,53rd Annie Awards,Best TV/Media - Preschool,"Xavier Riddle and the Secret Museum: I am Jackie Robinson (9 Story Media Group, Brown Bag Films)",,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Annie_Awards
