award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1947,BAFTA 1947,Best British Film,,Odd Man Out,,Winner,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1947,BAFTA 1947,Best Film,,The Best Years of Our Lives,,Winner,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
,1948,BAFTA 1948,Best British Film,,The Fallen Idol,,Winner,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,Laurence Olivier,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,David Lean,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,Jack Lee,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,"Michael Powell, Emeric Pressburger",,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,Charles Frend,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best British Film,,Fergus McDonell,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_British_Film
,1948,BAFTA 1948,Best Film,,Hamlet,,Winner,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
,1948,BAFTA 1948,Best Film,,Edward Dmytryk,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
,1948,BAFTA 1948,Best Film,,Carol Reed,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
,1948,BAFTA 1948,Best Film,,Maurice Cloche,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
,1948,BAFTA 1948,Best Film,,Jules Dassin,,Nominee,English,https://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Film
