award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1998,BIFA 1998,Best Actor,Ray Winstone,Nil by Mouth,,Winner,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actor,Divorcing Jack,Dan Starkey,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actor,Love and Death on Long Island,Giles De'Ath,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actor,My Name Is Joe,Joe Kavanagh,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actor,Regeneration,William Rivers,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actress,Kathy Burke,Nil by Mouth,,Winner,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actress,My Name Is Joe,Sarah Downie,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actress,My Son the Fanatic,Bettina/ Sandra,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actress,The Winter Guest,Frances,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
,1998,BIFA 1998,Best Actress,Under the Skin,Iris Kelly,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
,1998,BIFA 1998,Best British Independent Film,,My Name Is Joe,,Winner,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
,1998,BIFA 1998,Best British Independent Film,,Shekhar Kapur,,Nominee,English,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
