award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Cannes Film Festival,1939,,Palme d'Or,"The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War.[a]","The inaugural Cannes Film Festival was to have been held in 1939, but was cancelled due to the outbreak of the Second World War.[a]",,Winner,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,David Lean,Brief Encounter,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Leopold Lindtberg,The Last Chance,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Billy Wilder,The Lost Weekend,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Emilio Fernández,María Candelaria,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,František Čáp,Men Without Wings,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Chetan Anand,Neecha Nagar,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Jean Delannoy,Pastoral Symphony,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Bodil Ipsen  Lau Lauritzen Jr.,The Red Meadows,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Roberto Rossellini,"Rome, Open City",,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Alf Sjöberg,Torment,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1946,,Palme d'Or,Fridrikh Ermler,The Turning Point,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1947,,Palme d'Or,Jacques Becker,Antoine and Antoinette (Best Psychological & Love Film),,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1947,,Palme d'Or,Edward Dmytryk,Crossfire (Best Social Film),,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1947,,Palme d'Or,Ben Sharpsteen,Dumbo (Best Animation Design),,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1947,,Palme d'Or,René Clément,The Damned (Best Adventure & Crime Film),,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1947,,Palme d'Or,Vincente Minnelli,Ziegfeld Follies (Best Musical Comedy),,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1949,,Palme d'Or,Carol Reed,The Third Man,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1951,,Palme d'Or,Vittorio De Sica,Miracle in Milan,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1951,,Palme d'Or,Alf Sjöberg,Miss Julie,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1952,,Palme d'Or,Orson Welles,Othello,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1952,,Palme d'Or,Renato Castellani,Two Cents Worth of Hope,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1953,,Palme d'Or,Henri-Georges Clouzot,The Wages of Fear,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1954,,Palme d'Or,Teinosuke Kinugasa,Gate of Hell,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1955,,Palme d'Or,Delbert Mann,Marty §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1956,,Palme d'Or,Jacques Cousteau  Louis Malle,The Silent World,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1957,,Palme d'Or,William Wyler,Friendly Persuasion,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1958,,Palme d'Or,Mikhail Kalatozov,The Cranes Are Flying,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1959,,Palme d'Or,Marcel Camus,Black Orpheus §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1960,,Palme d'Or,Federico Fellini,La dolce vita §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1961,,Palme d'Or,Henri Colpi,The Long Absence §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1961,,Palme d'Or,Luis Buñuel,Viridiana §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1962,,Palme d'Or,Anselmo Duarte,O Pagador de Promessas §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1963,,Palme d'Or,Luchino Visconti,The Leopard §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1964,,Palme d'Or,Jacques Demy,The Umbrellas of Cherbourg,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1965,,Palme d'Or,Richard Lester,The Knack ...and How to Get It,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1966,,Palme d'Or,Pietro Germi,"The Birds, the Bees and the Italians",,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1966,,Palme d'Or,Claude Lelouch,A Man and a Woman,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1967,,Palme d'Or,Michelangelo Antonioni,Blowup,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1968,,Palme d'Or,The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.,The festival was cancelled midway through to show solidarity with the students and workers who were demonstrating in what became known as the May 68 movement.,,Winner,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1969,,Palme d'Or,Lindsay Anderson,If....,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1970,,Palme d'Or,Robert Altman,M*A*S*H,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1971,,Palme d'Or,Joseph Losey,The Go-Between,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1972,,Palme d'Or,Francesco Rosi,The Mattei Affair §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1972,,Palme d'Or,Elio Petri,The Working Class Goes to Heaven §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1973,,Palme d'Or,Alan Bridges,The Hireling,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1973,,Palme d'Or,Jerry Schatzberg,Scarecrow,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1974,,Palme d'Or,Francis Ford Coppola,The Conversation,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1975,,Palme d'Or,Mohammed Lakhdar-Hamina,Chronicle of the Years of Fire,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1976,,Palme d'Or,Martin Scorsese,Taxi Driver,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1977,,Palme d'Or,Paolo and Vittorio Taviani,Padre Padrone,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1978,,Palme d'Or,Ermanno Olmi,The Tree of Wooden Clogs §,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1979,,Palme d'Or,Francis Ford Coppola,Apocalypse Now,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1979,,Palme d'Or,Volker Schlöndorff,The Tin Drum,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
Cannes Film Festival,1980,,Palme d'Or,Bob Fosse,All That Jazz,,Nominee,French,https://en.wikipedia.org/wiki/Palme_d'Or
