award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
David Di Donatello,2000,,David Di Donatello,True,Silvio Soldini,,Nominee,English,
David Di Donatello,2000,,David Di Donatello,False,Olympic Garage,,Nominee,English,
David Di Donatello,2000,,David Di Donatello,False,Canone inverso,,Nominee,English,
David Di Donatello,2001,,David Di Donatello,True,Gabriele Muccino,,Nominee,English,
David Di Donatello,2001,,David Di Donatello,False,One Hundred Steps,,Nominee,English,
David Di Donatello,2001,,David Di Donatello,False,The Son's Room,,Nominee,English,
David Di Donatello,2002,,David Di Donatello,True,Ermanno Olmi,,Nominee,English,
David Di Donatello,2002,,David Di Donatello,False,Light of My Eyes,,Nominee,English,
David Di Donatello,2002,,David Di Donatello,False,Burning in the Wind,,Nominee,English,
David Di Donatello,2003,,David Di Donatello,True,Pupi Avati,,Nominee,English,
David Di Donatello,2003,,David Di Donatello,False,My Mother's Smile,,Nominee,English,
David Di Donatello,2003,,David Di Donatello,False,The Embalmer,,Nominee,English,
David Di Donatello,2003,,David Di Donatello,False,"Remember Me, My Love",,Nominee,English,
David Di Donatello,2003,,David Di Donatello,False,Facing Windows,,Nominee,English,
David Di Donatello,2004,,David Di Donatello,True,Marco Tullio Giordana,,Nominee,English,
David Di Donatello,2004,,David Di Donatello,False,Christmas Rematch,,Nominee,English,
David Di Donatello,2004,,David Di Donatello,False,"Good Morning, Night",,Nominee,English,
David Di Donatello,2004,,David Di Donatello,False,Don't Move,,Nominee,English,
David Di Donatello,2004,,David Di Donatello,False,First Love,,Nominee,English,
David Di Donatello,2005,,David Di Donatello,True,Paolo Sorrentino,,Nominee,English,
David Di Donatello,2005,,David Di Donatello,False,The Keys to the House,,Nominee,English,
David Di Donatello,2005,,David Di Donatello,False,After Midnight,,Nominee,English,
David Di Donatello,2005,,David Di Donatello,False,A Children's Story,,Nominee,English,
David Di Donatello,2005,,David Di Donatello,False,Sacred Heart,,Nominee,English,
David Di Donatello,2006,,David Di Donatello,True,Nanni Moretti,,Nominee,English,
David Di Donatello,2006,,David Di Donatello,False,Mario's War,,Nominee,English,
David Di Donatello,2006,,David Di Donatello,False,Romanzo Criminale,,Nominee,English,
David Di Donatello,2006,,David Di Donatello,False,Our Land,,Nominee,English,
David Di Donatello,2006,,David Di Donatello,False,My Best Enemy,,Nominee,English,
David Di Donatello,2007,,David Di Donatello,True,Giuseppe Tornatore,,Nominee,English,
David Di Donatello,2007,,David Di Donatello,False,The Wedding Director,,Nominee,English,
David Di Donatello,2007,,David Di Donatello,False,Nuovomondo,,Nominee,English,
David Di Donatello,2007,,David Di Donatello,False,My Brother is an Only Child,,Nominee,English,
