award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Ryan Coogler,Sinners,,Winner,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Guillermo del Toro,Frankenstein,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Josh Safdie,Marty Supreme,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Best Director First-Time Feature Film: - Feature Film,Chloé Zhao,Hamnet,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Geeta Gandbhir,The Perfect Neighbor,,Winner,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Sara Khaki and Mohammadreza Eyni,Cutting Through Rocks,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Elizabeth Lo,Mistress Dispeller,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Feature Film - Documentary Film,Laura Poitras and Mark Obenhaus,Cover-Up,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Hasan Hadi,The President's Cake,,Winner,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Harry Lighton,Pillion,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Alex Russell,Lurker,,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Documentary Film - First-Time Feature Film,Eva Victor,"Sorry, Baby",,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Television,Liza Johnson,The Diplomat for Amagansett (Netflix),,Winner,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
,2025,78th Directors Guild of America Awards,Television,Janus Metz Pedersen,Andor for Who Are You? (Disney+),,Nominee,English,https://en.wikipedia.org/wiki/78th_Directors_Guild_of_America_Awards
