award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1973,Evening Standard British Film Awards 1973,Best Actor,Keith Michell – Henry VIII and His Six Wives,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1973,Evening Standard British Film Awards 1973,Best Actress,"Glenda Jackson – Mary, Queen of Scots",,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1973,Evening Standard British Film Awards 1973,Best Comedy,,The National Health – Jack Gold,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1973,Evening Standard British Film Awards 1973,Best Film,,Ryan's Daughter – David Lean,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1973,Evening Standard British Film Awards 1973,Best Newcomer – Actor,,Simon Ward,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1973,Evening Standard British Film Awards 1973,Best Newcomer – Actress,,Lynne Frederick,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Actor,Michael Caine – Sleuth,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Actress,Glenda Jackson – A Touch of Class,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Comedy,,The Three Musketeers – Richard Lester,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Film,,Live and Let Die – Guy Hamilton,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Newcomer – Actor,,Edward Fox,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1974,Evening Standard British Film Awards 1974,Best Newcomer – Actress,,Heather Wright,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Actor,Albert Finney – Murder on the Orient Express,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Actress,Wendy Hiller – Murder on the Orient Express,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Comedy,,The Four Musketeers – Richard Lester,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Film,,Murder on the Orient Express – Sidney Lumet,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Newcomer – Actor,,Robin Askwith,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1975,Evening Standard British Film Awards 1975,Best Newcomer – Actress,,Jill Townsend,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Actor,Peter Sellers – The Return of the Pink Panther,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Actress,Annette Crosbie – The Slipper and the Rose,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Comedy,,The Return of the Pink Panther – Blake Edwards,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Film,,Aces High – Jack Gold,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Newcomer – Actor,,Peter Firth,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1976,Evening Standard British Film Awards 1976,Best Newcomer – Actress,,Gemma Craven,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Actor,John Thaw – Sweeney!,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Actress,Billie Whitelaw – The Omen,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Comedy,,The Pink Panther Strikes Again – Blake Edwards,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Film,,A Bridge Too Far – Richard Attenborough,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Newcomer – Actor,,Dennis Waterman,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1977,Evening Standard British Film Awards 1977,Best Newcomer – Actress,,Lesley-Anne Down,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Actor,Alec Guinness – Star Wars,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Actress,Nanette Newman – International Velvet,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Comedy,,Revenge of the Pink Panther – Blake Edwards,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Film,,Star Wars – George Lucas,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Newcomer – Actor,,Michael J. Jackson,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1978,Evening Standard British Film Awards 1978,Best Newcomer – Actress,,Lea Brodie,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Actor,Peter Ustinov – Death on the Nile,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Actress,Maggie Smith – California Suite,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Comedy,,Porridge – Dick Clement,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Film,,Death on the Nile – John Guillermin,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Newcomer – Actor,,Simon MacCorkindale,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1979,Evening Standard British Film Awards 1979,Best Newcomer – Actress,,Karen Dotrice,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Actor,"Denholm Elliott – Bad Timing, Rising Damp, Zulu Dawn",,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Actress,Frances de la Tour – Rising Damp,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Comedy,,Rising Damp – Joseph McGrath,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Film,,Yanks – John Schlesinger,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Newcomer – Actor,,Jonathan Pryce,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Best Newcomer – Actress,,Wendy Morgan,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1980,Evening Standard British Film Awards 1980,Peter Sellers Award for Comedy,,Leonard Rossiter,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Best Actor,Bob Hoskins – The Long Good Friday,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Best Actress,Maggie Smith – Quartet,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Best Film,,The French Lieutenant's Woman – Karel Reisz,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Best Screenplay,,Colin Welland – Chariots of Fire,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Most Promising Filmmaker,,Franco Rosso,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1981,Evening Standard British Film Awards 1981,Peter Sellers Award for Comedy,,Bill Forsyth,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Best Actor,Trevor Howard – Light Years Away,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Best Actress,Jennifer Kendal – 36 Chowringhee Lane,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Best Film,,Moonlighting – Jerzy Skolimowski,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Best Screenplay,,John Krish – Friend or Foe,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Most Promising Newcomer,,Cassie McFarlane,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1982,Evening Standard British Film Awards 1982,Peter Sellers Award for Comedy,,Michael Blakemore,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Best Actor,"Ben Kingsley – Gandhi, Betrayal",,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Best Actress,"Phyllis Logan – Another Time, Another Place",,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Best Film,,The Ploughman's Lunch – Richard Eyre,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Best Screenplay,,Ian McEwan – The Ploughman's Lunch,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Best Technical or Artistic Achievement,,Chris Menges,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Most Promising Newcomer,,Neil Jordan,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Peter Sellers Award for Comedy,,Bill Forsyth,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1983,Evening Standard British Film Awards 1983,Special Award,,Richard Attenborough,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Best Actor,"John Hurt – 1984, Champions, The Hit",,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Best Actress,Helen Mirren – Cal,,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Best Film,,1984 – Michael Radford,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Best Screenplay,,Bernard MacLaverty – Cal,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Best Technical or Artistic Achievement,,John Alcott,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
,1984,Evening Standard British Film Awards 1984,Most Promising Newcomer,,Tim Roth,,Winner,English,https://en.wikipedia.org/wiki/Evening_Standard_British_Film_Awards
