award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,← 40th,,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,Film Independent Spirit Awards,,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,← 40th Film Independent Spirit Awards 42nd →,42nd →,,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Train Dreams,"Michael Heimler, Will Janowitz, Marissa McMahon, Ashley Schlaifer, and Teddy Schwarzman",,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Peter Hujar's Day,Jonah Disend and Jordan Drake,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,The Plague,"Derek Dauchy, Joel Edgerton, Roy Lee, Lucy McKendrick, Steven Schneider, and Lizzie Shapiro",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,"Sorry, Baby","Mark Ceryak, Barry Jenkins, and Adele Romanski",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Twinless,David Permut and James Sweeney,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Clint Bentley,Train Dreams,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Mary Bronstein,If I Had Legs I'd Kick You,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Lloyd Lee Choi,Lucky Lu,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Ira Sachs,Peter Hujar's Day,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Feature - Best Director,Eva Victor,"Sorry, Baby",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Rose Byrne,If I Had Legs I'd Kick You,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Everett Blunck,The Plague,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Kathleen Chalfant,Familiar Touch,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Chang Chen,Lucky Lu,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Joel Edgerton,Train Dreams,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Dylan O'Brien,Twinless,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Keke Palmer,One of Them Days,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Théodore Pellerin,Lurker,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Tessa Thompson,Hedda,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Ben Whishaw,Peter Hujar's Day,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Naomi Ackie,"Sorry, Baby",,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Zoey Deutch,Nouvelle Vague,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Kirsten Dunst,Roofman,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Rebecca Hall,Peter Hujar's Day,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Nina Hoss,Hedda,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Jane Levy,A Little Prayer,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Archie Madekwe,Lurker,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Kali Reis,Rebuilding,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Jacob Tremblay,Sovereign,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Supporting Performance,Haipeng Xu,Blue Sun Palace,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Kayo Martin,The Plague,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Liz Larsen,The Baltimorons,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Misha Osherovich,She's the He,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,SZA,One of Them Days,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Tabatha Zimiga,East of Wall,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,"Sorry, Baby",Eva Victor,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,A Little Prayer,Angus MacLachlan,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Sovereign,Christian Swegal,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Splitsville,Michael Angelo Covino and Kyle Marvin,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best Breakthrough Performance - Best Screenplay,Twinless,James Sweeney,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",Lurker,"Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",Blue Sun Palace,"Constance Tsang (director); Sally Sujin Oh, Eli Raskin, and Tony Yang (producers)",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",Dust Bunny,Bryan Fuller (director/producer); Basil Iwanyk and Erica Lee (producers),,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",East of Wall,"Kate Beecroft (director/producer); Shannon Moss, Melanie Ramsayer, and Lila Yacoub (producers)",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,"Lurker – Alex Russell (director); Galen Core, Archie Madekwe, Marc Marrie, Charlie McDowell, Francesco Melzi D'Eril, Duncan Montgomery, Alex Orlovsky, Olmo Schnabel, and Jack Selby (producers)",One of Them Days,"Lawrence Lamont (director); Deniese Davis, Poppy Hanks, James Lopez, Issa Rae, and Sara Rastogi (producers)",,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best First Feature - Best First Screenplay,Lurker,Alex Russell,,Winner,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best First Feature - Best First Screenplay,Blue Sun Palace,Constance Tsang,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best First Feature - Best First Screenplay,Friendship,Andrew DeYoung,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
,2026,41st Independent Spirit Awards,Best First Feature - Best First Screenplay,One of Them Days,Syreeta Singleton,,Nominee,English,https://en.wikipedia.org/wiki/41st_Independent_Spirit_Awards
