award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Lfcc Awards,1980,,Lfcc Awards,True,1980,,Nominee,English,
Lfcc Awards,1980,,Lfcc Awards,True,Francis Ford Coppola,,Nominee,English,
Lfcc Awards,1981,,Lfcc Awards,True,1981,,Nominee,English,
Lfcc Awards,1981,,Lfcc Awards,True,Hugh Hudson,,Nominee,English,
Lfcc Awards,1982,,Lfcc Awards,True,1982,,Nominee,English,
Lfcc Awards,1982,,Lfcc Awards,True,Costa-Gavras,,Nominee,English,
Lfcc Awards,1983,,Lfcc Awards,True,1983,,Nominee,English,
Lfcc Awards,1983,,Lfcc Awards,True,Martin Scorsese,,Nominee,English,
Lfcc Awards,1984,,Lfcc Awards,True,1984,,Nominee,English,
Lfcc Awards,1984,,Lfcc Awards,True,Wim Wenders,,Nominee,English,
Lfcc Awards,1985,,Lfcc Awards,True,1985,,Nominee,English,
Lfcc Awards,1985,,Lfcc Awards,True,Woody Allen,,Nominee,English,
Lfcc Awards,1986,,Lfcc Awards,True,1986,,Nominee,English,
Lfcc Awards,1986,,Lfcc Awards,True,James Ivory,,Nominee,English,
Lfcc Awards,1987,,Lfcc Awards,True,1987,,Nominee,English,
Lfcc Awards,1987,,Lfcc Awards,True,John Boorman,,Nominee,English,
Lfcc Awards,1988,,Lfcc Awards,True,1988,,Nominee,English,
Lfcc Awards,1988,,Lfcc Awards,True,David Mamet,,Nominee,English,
Lfcc Awards,1989,,Lfcc Awards,True,1989,,Nominee,English,
Lfcc Awards,1989,,Lfcc Awards,True,Terence Davies,,Nominee,English,
Lfcc Awards,1990,,Lfcc Awards,True,1990,,Nominee,English,
Lfcc Awards,1990,,Lfcc Awards,True,Woody Allen,,Nominee,English,
Lfcc Awards,1991,,Lfcc Awards,True,1991,,Nominee,English,
Lfcc Awards,1991,,Lfcc Awards,True,Ridley Scott,,Nominee,English,
Lfcc Awards,1992,,Lfcc Awards,True,1992,,Nominee,English,
Lfcc Awards,1992,,Lfcc Awards,True,Clint Eastwood,,Nominee,English,
Lfcc Awards,1993,,Lfcc Awards,True,1993,,Nominee,English,
Lfcc Awards,1993,,Lfcc Awards,True,Jane Campion,,Nominee,English,
Lfcc Awards,1994,,Lfcc Awards,True,1994,,Nominee,English,
Lfcc Awards,1994,,Lfcc Awards,True,Steven Spielberg,,Nominee,English,
Lfcc Awards,1995,,Lfcc Awards,True,1995,,Nominee,English,
Lfcc Awards,1995,,Lfcc Awards,True,Chris Noonan,,Nominee,English,
Lfcc Awards,1996,,Lfcc Awards,True,1996,,Nominee,English,
Lfcc Awards,1996,,Lfcc Awards,True,Joel Coen,,Nominee,English,
Lfcc Awards,1997,,Lfcc Awards,True,1997,,Nominee,English,
Lfcc Awards,1997,,Lfcc Awards,True,Curtis Hanson,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,True,1998,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,True,Steven Spielberg,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,False,Paul Thomas Anderson,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,False,James Cameron,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,False,Ang Lee,,Nominee,English,
Lfcc Awards,1998,,Lfcc Awards,False,Peter Weir,,Nominee,English,
Lfcc Awards,1999,,Lfcc Awards,True,1999,,Nominee,English,
Lfcc Awards,1999,,Lfcc Awards,True,Sam Mendes,,Nominee,English,
