award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Lumières Awards,1996,,Best Film,La Haine,La Haine,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,1997,,Best Film,Ridicule,Ridicule,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,1998,,Best Film,Robert Guédiguian,Marius and Jeannette,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,1999,,Best Film,Erick Zonca,The Dreamlife of Angels,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2000,,Best Film,Luc Besson,The Messenger: The Story of Joan of Arc,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2001,,Best Film,Agnès Jaoui,The Taste of Others,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2002,,Best Film,Jean-Pierre Jeunet,Amélie,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2003,,Best Film,Amen.,Amen.,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2004,,Best Film,Sylvain Chomet,The Triplets of Belleville,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2005,,Best Film,Christophe Barratier,The Chorus,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2006,,Best Film,Jacques Audiard,The Beat That My Heart Skipped,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2007,,Best Film,Guillaume Canet,Tell No One,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2007,,Best Film,Indigènes,Indigènes,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2007,,Best Film,L'Ivresse du pouvoir,L'Ivresse du pouvoir,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2007,,Best Film,Pascale Ferran,Pascale Ferran,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2007,,Best Film,Flandres,Flandres,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2008,,Best Film,Julian Schnabel,The Diving Bell and the Butterfly,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2008,,Best Film,La môme,La môme,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2008,,Best Film,La Graine et le Mulet,La Graine et le Mulet,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2008,,Best Film,Marjane Satrapi and Vincent Paronnaud,Marjane Satrapi and Vincent Paronnaud,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2008,,Best Film,La Chambre des morts,La Chambre des morts,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2009,,Best Film,Laurent Cantet,The Class±,,Winner,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2009,,Best Film,Mesrine: L'Instinct de mort,Mesrine: L'Instinct de mort,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
Lumières Awards,2009,,Best Film,Mesrine: L'Ennemi public n° 1,Mesrine: L'Ennemi public n° 1,,Nominee,French,https://en.wikipedia.org/wiki/Lumières_Award_for_Best_Film
