award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1946,Nastri d'Argento 1946,Best Actor,Andrea Checchi,Two Anonymous Letters,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1946,Nastri d'Argento 1946,Best Actress,Clara Calamai,The Adulteress,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1946,Nastri d'Argento 1946,Best Director,Alessandro Blasetti,Un giorno nella vita Vittorio De Sica - Shoeshine,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1946,Nastri d'Argento 1946,Best Supporting Actor,Gino Cervi,His Young Wife,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1946,Nastri d'Argento 1946,Best Supporting Actress,Anna Magnani,"Rome, Open City",,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1947,Nastri d'Argento 1947,Best Actor,Amedeo Nazzari,The Bandit,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1947,Nastri d'Argento 1947,Best Actress,Alida Valli,Eugenie Grandet,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1947,Nastri d'Argento 1947,Best Director,Roberto Rossellini,Paisan,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1947,Nastri d'Argento 1947,Best Score,Renzo Rossellini,Paisan,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1947,Nastri d'Argento 1947,Best Supporting Actor,Massimo Serato,The Sun Still Rises,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1947,Nastri d'Argento 1947,Best Supporting Actress,Ave Ninchi,To Live in Peace,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1948,Nastri d'Argento 1948,Best Actor,Vittorio De Sica,Heart,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1948,Nastri d'Argento 1948,Best Actress,Anna Magnani,Angelina,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1948,Nastri d'Argento 1948,Best Director,Alberto Lattuada,Flesh Will Surrender Giuseppe De Santis - Tragic Hunt,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1948,Nastri d'Argento 1948,Best Score,Renzo Rossellini,The Brothers Karamazov,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1948,Nastri d'Argento 1948,Best Screenplay,"Gaspare Cataldo, Pala & Alberto Vecchietti",The Brothers Karamazov,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
,1948,Nastri d'Argento 1948,Best Supporting Actor,Nando Bruno,Flesh Will Surrender,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1948,Nastri d'Argento 1948,Best Supporting Actress,Vivi Gioi,Tragic Hunt,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1949,Nastri d'Argento 1949,Best Actor,Massimo Girotti,In the Name of the Law,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1949,Nastri d'Argento 1949,Best Actress,Anna Magnani,L'Amore,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1949,Nastri d'Argento 1949,Best Director,Vittorio De Sica,Bicycle Thieves,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1949,Nastri d'Argento 1949,Best Score,Alessandro Cicognini,Bicycle Thieves,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1949,Nastri d'Argento 1949,Best Screenplay,"Vittorio De Sica, Cesare Zavattini, Suso Cecchi D'Amico, Oreste Biancoli, Adolfo Franci & Gerardo Guerrieri",Bicycle Thieves,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
,1949,Nastri d'Argento 1949,Best Supporting Actor,Saro Urzì,In the Name of the Law,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1949,Nastri d'Argento 1949,Best Supporting Actress,Giulietta Masina,Without Pity,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1950,Nastri d'Argento 1950,Best Actor,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1950,Nastri d'Argento 1950,Best Actress,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1950,Nastri d'Argento 1950,Best Director,Augusto Genina,Heaven over the Marshes,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1950,Nastri d'Argento 1950,Best Score,Roman Vlad,for all his works,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1950,Nastri d'Argento 1950,Best Screenplay,"Suso Cecchi D'Amico, Cesare Zavattini & Renato Castellani",It's Forever Springtime,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
,1950,Nastri d'Argento 1950,Best Supporting Actor,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1950,Nastri d'Argento 1950,Best Supporting Actress,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1951,Nastri d'Argento 1951,Best Actor,Aldo Fabrizi,Father's Dilemma,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1951,Nastri d'Argento 1951,Best Actress,Pier Angeli,Tomorrow Is Too Late,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1951,Nastri d'Argento 1951,Best Director,Alessandro Blasetti,Father's Dilemma,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1951,Nastri d'Argento 1951,Best Score,Giovanni Fusco,Story of a Love Affair,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1951,Nastri d'Argento 1951,Best Screenplay,Cesare Zavattini & Alessandro Blasetti,Father's Dilemma,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
,1951,Nastri d'Argento 1951,Best Supporting Actor,Umberto Spadaro,Il Brigante Musolino,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1951,Nastri d'Argento 1951,Best Supporting Actress,Giulietta Masina,Variety Lights,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1952,Nastri d'Argento 1952,Best Actor,Totò,Cops and Robbers,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1952,Nastri d'Argento 1952,Best Actress,Anna Magnani,Bellissima,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1952,Nastri d'Argento 1952,Best Director,Renato Castellani,Two Cents Worth of Hope,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1952,Nastri d'Argento 1952,Best Score,Mario Nascimbene,Rome 11:00,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1952,Nastri d'Argento 1952,Best Screenplay,"Ettore Maria Margadonna, Titina De Filippo & Renato Castellani",Two Cents Worth of Hope,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
,1952,Nastri d'Argento 1952,Best Supporting Actor,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actor
,1952,Nastri d'Argento 1952,Best Supporting Actress,not awarded,not awarded,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Supporting_Actress
,1953,Nastri d'Argento 1953,Best Actor,Renato Rascel,The Overcoat,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actor
,1953,Nastri d'Argento 1953,Best Actress,Ingrid Bergman,Europa '51,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Actress
,1953,Nastri d'Argento 1953,Best Director,Luigi Zampa,The City Stands Trial,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Director
,1953,Nastri d'Argento 1953,Best Score,Valentino Bucchi,Eager to Live,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Score
,1953,Nastri d'Argento 1953,Best Screenplay,not assigned,not assigned,,Winner,English,https://en.wikipedia.org/wiki/Nastro_d%27Argento_for_Best_Screenplay
