award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,One Battle After Another,"Adam Somner, Sara Murphy, and Paul Thomas Anderson",,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Bugonia,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos, Emma Stone, and Lars Knudsen",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,F1,"Jerry Bruckheimer, Joseph Kosinski, Brad Pitt, Dede Gardner, Jeremy Kleiner, and Chad Oman",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Frankenstein,"Guillermo del Toro, J. Miles Dale, and Scott Stuber",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Hamnet,"Liza Marshall, Pippa Harris, Sam Mendes, Steven Spielberg, and Nicolas Gonda",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Marty Supreme,"Eli Bush, Ronald Bronstein, Josh Safdie, Anthony Katagas, and Timothée Chalamet",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Sentimental Value,Maria Ekerhovd and Andrea Berentsen Ottmar,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Sinners,"Ryan Coogler, Zinzi Coogler, and Sev Ohanian",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Train Dreams,"Marissa McMahon, Teddy Schwarzman, Will Janowitz, Ashley Schlaifer, and Michael Heimler",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Darryl F. Zanuck Award for Outstanding Producer of Theatrical Motion Pictures,Weapons,Zach Cregger and Miri Yoon,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,My Mom Jayne,Mariska Hargitay and Trish Adlesic,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,The Alabama Solution,"Andrew Jarecki, Charlotte Kaufman, Alelur Alex Duran and Beth Shelburne",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Cover-Up,"Laura Poitras, Mark Obenhaus, Yoni Golijov and Olivia Streisand",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Mr Nobody Against Putin,"Helle Faber, Alžběta Karásková and Radovan Síbrt",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,Ocean with David Attenborough,Toby Nowlan and Keith Scholey,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,The Perfect Neighbor,"Alisa Payne, Geeta Gandbhir, Nikon Kwantu and Sam Bisbee",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Documentary Theatrical Motion Pictures,The Tale of Silyan,"Jean Dakar, Anna Hashmi, Tamara Kotevska and Jordanco Petkovski",,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Animated Theatrical Motion Pictures,KPop Demon Hunters,Michelle Wong,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Animated Theatrical Motion Pictures,The Bad Guys 2,Damon Ross,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Animated Theatrical Motion Pictures,Demon Slayer: Kimetsu no Yaiba,The Movie: Infinity Castle –  To be announced,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Animated Theatrical Motion Pictures,Elio,Mary Alice Drumm,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Animated Theatrical Motion Pictures,Zootopia 2,Yvett Merino,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",The Pitt (HBO Max),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",Andor (Disney+),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",The Diplomat (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",Pluribus (Apple TV),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",Severance (Apple TV),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Norman Felton Award for Outstanding Producer of Episodic Television, Drama",The White Lotus (HBO Max),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Danny Thomas Award for Outstanding Producer of Episodic Television, Comedy",The Studio (Apple TV),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Danny Thomas Award for Outstanding Producer of Episodic Television, Comedy",The Bear (FX / Hulu),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Danny Thomas Award for Outstanding Producer of Episodic Television, Comedy",Hacks (HBO Max),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Danny Thomas Award for Outstanding Producer of Episodic Television, Comedy",Only Murders in the Building (Hulu),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Danny Thomas Award for Outstanding Producer of Episodic Television, Comedy",South Park (Comedy Central / Paramount+),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,David L. Wolper Award for Outstanding Producer of Limited or Anthology Series Television,Adolescence (Netflix),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,David L. Wolper Award for Outstanding Producer of Limited or Anthology Series Television,The Beast in Me (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,David L. Wolper Award for Outstanding Producer of Limited or Anthology Series Television,Black Mirror (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,David L. Wolper Award for Outstanding Producer of Limited or Anthology Series Television,Black Rabbit (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,David L. Wolper Award for Outstanding Producer of Limited or Anthology Series Television,Dying for Sex (FX on Hulu),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Streamed or Televised Motion Pictures,John Candy: I Like Me (Prime Video),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Streamed or Televised Motion Pictures,Bridget Jones: Mad About the Boy (Peacock),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Streamed or Televised Motion Pictures,The Gorge (Apple TV),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Streamed or Televised Motion Pictures,Nonnas (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Streamed or Televised Motion Pictures,Mountainhead (HBO),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Non-Fiction Television,Pee-wee as Himself (HBO),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Non-Fiction Television,aka Charlie Sheen (Netflix),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Non-Fiction Television,Billy Joel: And So It Goes (HBO),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Non-Fiction Television,Mr. Scorsese (Apple TV),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Non-Fiction Television,SNL50: Beyond Saturday Night (Peacock),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Game & Competition Television,The Traitors (Peacock),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Game & Competition Television,The Amazing Race (CBS),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Game & Competition Television,Jeopardy! (ABC),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Game & Competition Television,RuPaul's Drag Race (MTV),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Producer of Game & Competition Television,Top Chef (Bravo),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Outstanding Producer of Live Entertainment, Variety, Sketch, Standup & Talk Television",The Late Show with Stephen Colbert (CBS),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Outstanding Producer of Live Entertainment, Variety, Sketch, Standup & Talk Television",The Daily Show (Comedy Central),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Outstanding Producer of Live Entertainment, Variety, Sketch, Standup & Talk Television",Jimmy Kimmel Live! (ABC),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Outstanding Producer of Live Entertainment, Variety, Sketch, Standup & Talk Television",Last Week Tonight with John Oliver (HBO),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,"Outstanding Producer of Live Entertainment, Variety, Sketch, Standup & Talk Television",SNL50: The Anniversary Special (NBC),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Sports Program,Formula 1: Drive to Survive (Netflix),,,Winner,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Sports Program,100 Foot Wave (HBO),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Sports Program,Big Dreams: The Little League World Series 2024 (ESPN),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Sports Program,Hard Knocks: Training Camp with the Buffalo Bills (HBO),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
,2026,37th Producers Guild of America Awards,Outstanding Sports Program,Surf Girls: International (Prime Video),,,Nominee,English,https://en.wikipedia.org/wiki/37th_Producers_Guild_of_America_Awards
