award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Robert Awards,1984,,Best Danish Film,Nils Malmros,Beauty and the Beast (Skønheden og udyret),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1985,,Best Danish Film,Lars von Trier,The Element of Crime (Forbrydelsens element),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1986,,Best Danish Film,Anders Refn,The Flying Devils (De flyvende djævle),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1987,,Best Danish Film,Helle Ryslinge,Cœurs flambés (Flamberede hjerter),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1988,,Best Danish Film,Bille August,Pelle the Conqueror (Pelle Erobreren),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1989,,Best Danish Film,Søren Kragh-Jacobsen,Emma's Shadow [da; de; fr; simple] (Skyggen af Emma),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1990,,Best Danish Film,Kaspar Rostrup,Waltzing Regitze (Dansen med Regitze),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1991,,Best Danish Film,Birger Larsen,Dance of the Polar Bears (Lad isbjørnene danse),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1992,,Best Danish Film,Lars von Trier,Europa,,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1993,,Best Danish Film,Nils Malmros,Pain of Love (Kærlighedens smerte),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1994,,Best Danish Film,Bille August,The House of the Spirits (Åndernes hus),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1995,,Best Danish Film,Ole Bornedal,Nightwatch (Nattevagten),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1996,,Best Danish Film,Carsten Rudolf,The Beast Within (Menneskedyret),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1997,,Best Danish Film,Lars von Trier,Breaking the Waves,,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1998,,Best Danish Film,Nils Malmros & Let's get lost,Barbara,,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,1999,,Best Danish Film,Thomas Vinterberg,The Celebration (Festen),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2000,,Best Danish Film,Susanne Bier,The One and Only (Den eneste ene),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2001,,Best Danish Film,"Per Fly
Help! I'm a Fish (Hjælp, jeg er en fisk)",The Bench (Bænken),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2002,,Best Danish Film,"Ole Christian Madsen
Mona's World (Monas verden)",Kira's Reason: A Love Story (En kærlighedshistorie),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2003,,Best Danish Film,"Susanne Bier
I Am Dina (Jeg er Dina)",Open Hearts (Elsker dig for evigt),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2004,,Best Danish Film,"Per Fly
Dogville",The Inheritance (Arven),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2005,,Best Danish Film,"Nikolaj Arcel
Aftermath (Lad de små børn)",King's Game (Kongekabale),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2006,,Best Danish Film,"Anders Thomas Jensen
Dark Horse (Voksne mennesker)",Adam's Apples (Adams æbler),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2007,,Best Danish Film,"Niels Arden Oplev
A Soap (En soap)",We Shall Overcome (Drømmen),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2008,,Best Danish Film,"Peter Schønau Fog
Daisy Diamond",The Art of Crying (Kunsten at græde i kor),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2009,,Best Danish Film,"Henrik Ruben Genz
Fear Me Not (Den du frygter)",Terribly Happy (Frygtelig lykkelig),,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2010,,Best Danish Film,"Lars von Trier
Aching Hearts (Kærestesorger)",Antichrist,,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
Robert Awards,2011,,Best Danish Film,"Tobias Lindholm and Michael Noer
Brotherhood (Broderskab)",R,,Winner,Danish,https://en.wikipedia.org/wiki/Robert_Award_for_Best_Danish_Film
