award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Morgan Freeman,The Shawshank Redemption,,Winner,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Paul Newman,Nobody's Fool,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Tim Robbins,The Shawshank Redemption,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,John Travolta,Pulp Fiction,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Jessica Lange,Blue Sky,,Winner,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Meg Ryan,When a Man Loves a Woman,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Susan Sarandon,The Client,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Leading Role,Meryl Streep,The River Wild,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Samuel L. Jackson,Pulp Fiction,,Winner,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Chazz Palminteri,Bullets over Broadway,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Gary Sinise,Forrest Gump,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,John Turturro,Quiz Show,,Nominee,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
,1994,1st,Outstanding Performance by a Female Actor in a Supporting Role,Jamie Lee Curtis,True Lies,,Winner,English,https://en.wikipedia.org/wiki/1st_Screen_Actors_Guild_Awards
