award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
,2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,← 52nd,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,Saturn Awards,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,← 52nd Saturn Awards 54th →,54th →,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Most nominations - Television coverage,Best Cinematic Adaptation Film,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Most nominations - Television coverage,Best International Animated Film,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Most nominations - Television coverage,Best New Genre Television Series,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Most nominations - Television coverage,Best Genre Comedy Television Series,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Avatar: Fire and Ash,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Bugonia,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Jurassic World Rebirth,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Predator: Badlands,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,The Running Man,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Tron: Ares,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Wicked: For Good,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Freakier Friday,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Hamnet,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,How to Train Your Dragon,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,The Life of Chuck,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Science Fiction Film - Best Fantasy Film,Lilo & Stitch,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Frankenstein,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,28 Years Later,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,The Conjuring: Last Rites,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Final Destination Bloodlines,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,The Monkey,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Weapons,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Mission: Impossible,The Final Reckoning,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Ballerina,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,F1,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Novocaine,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,Now You See Me: Now You Don't,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Action / Adventure Film,One Battle After Another,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Sinners,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Highest 2 Lowest,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Housemaid,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Long Walk,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Marty Supreme,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Wake Up Dead Man: A Knives Out Mystery,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,The Fantastic Four: First Steps,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Black Phone 2,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Captain America: Brave New World,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,A Minecraft Movie,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Superman,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Cinematic Adaptation Film,Thunderbolts*,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Zootopia 2,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,The Bad Guys 2,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,The Day the Earth Blew Up: A Looney Tunes Movie,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Elio,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,KPop Demon Hunters,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,The SpongeBob Movie: Search for SquarePants,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Demon Slayer: Kimetsu no Yaiba,The Movie: Infinity Castle ( Japan),,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Attack on Titan the Movie: The Last Attack ( Japan),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Chainsaw Man,The Movie: Reze Arc ( Japan),,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,The Colors Within ( Japan),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Ne Zha 2 ( China),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best International Animated Film,Stitch Head ( Germany),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,Dust Bunny,,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,Adulthood,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,Eden,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,Good Boy,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Plague,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Rule of Jenny Pen,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,The Toxic Avenger,,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,Sisu: Road to Revenge ( Finland),,,Winner,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
,2025,53rd Saturn Awards,Best Independent Film - Best International Film,40 Acres ( Canada),,,Nominee,English,https://en.wikipedia.org/wiki/53rd_Saturn_Awards
